Nd-146(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
3598.04 39.3014
3598.04 34.9000
3598.06 29.9226
3598.07 27.5694
3598.10 25.4854
3598.13 24.6912
3598.20 24.1079
3598.26 23.9496
3598.50 24.0795
3598.98 24.8241
3599.96 26.5283
3601.90 30.3811
3605.78 40.1268
3609.67 53.5872
3613.56 72.5494
3617.44 99.8413
3621.33 139.962
3625.21 199.887
3629.10 289.275
3635.55 518.219
3642.00 718.995
3648.45 633.316
3654.90 433.559
3660.47 306.540
3666.03 224.624
3671.60 171.662
3677.16 136.165
3688.29 93.4273
3699.42 69.6177
3710.55 54.8544
3721.68 44.9450
3743.94 32.5833
3766.20 25.1394
3788.46 20.0371
3810.72 16.1585
3821.85 14.4886
3827.42 13.6999
3830.20 13.3207
3831.59 13.1583
3832.29 13.1770
3832.46 13.2690
3832.64 13.5664
3832.72 13.9861
3832.81 15.1292
3832.86 16.6331
3832.90 20.3190
3832.92 24.7793
3832.94 34.1005
3832.95 43.9327
3832.96 62.0490
3832.97 78.8530
3832.97 99.5475
3832.98 129.789
3832.98 182.751
3832.99 278.479
3833.00 351.663
3833.01 278.643
3833.02 181.839
3833.02 110.444
3833.03 75.6943
3833.04 54.1562
3833.05 42.8916
3833.07 30.1319
3833.08 24.0150
3833.12 18.5973
3833.15 16.3940
3833.22 14.5780
3833.28 13.8748
3833.42 13.3272
3833.55 13.1165
3834.09 12.8499
3835.16 12.6540
3837.31 12.3523
3841.61 11.7788
3850.20 10.6587
3867.39 8.45811
3884.58 6.23623
3901.77 3.93863
3918.96 1.64179
3927.55 0.656311
3931.85 0.295324
3934.00 0.173320
3936.14 0.106338
3937.22 0.0985208
3938.29 0.111180
3939.37 0.147315
3940.44 0.210439
3941.52 0.304769
3942.59 0.434968
3944.74 0.827102
3946.89 1.44731
3949.04 2.38183
3951.18 3.76067
3953.33 5.78096
3955.48 8.76235
3957.63 13.2363
3959.78 20.1635
3961.93 31.3857
3964.08 50.8634
3966.22 88.1536
3967.30 120.533
3968.37 170.330
3969.45 249.964
3970.52 378.334
3971.76 592.359
3973.00 714.933
3974.24 544.457
3975.48 318.796
3976.63 188.267
3977.77 114.711
3978.92 72.6664
3980.07 47.9076
3981.21 33.1990
3982.36 24.8805
3983.50 21.0527
3984.65 20.8118
3985.80 23.8568
3986.94 30.3100
3988.09 40.6816
3989.24 55.8838
3990.38 77.3265
3991.53 106.939
3993.82 201.769
3995.37 302.749
3996.91 436.503
4000.00 697.932
4001.55 731.333
4003.09 686.395
4006.18 512.656
4008.14 414.885
4010.11 339.636
4014.03 240.589
4017.95 182.557
4021.88 146.023
4025.80 121.457
4029.73 104.030
4037.57 81.2415
4045.42 67.1622
4053.27 57.6483
4061.12 50.7113
4065.04 47.6831
4066.02 46.8538
4066.51 46.3868
4067.00 45.8482
4067.49 45.1639
4067.74 44.7171
4067.98 44.1366
4068.23 43.3031
4068.35 42.7147
4068.48 41.9309
4068.60 40.8020
4068.66 40.0428
4068.72 39.0954
4068.78 37.9193
4068.84 36.7908
4068.87 36.7295
4068.90 38.2391
4068.92 40.8122
4068.94 45.8994
4068.95 56.3807
4068.97 78.9613
4068.97 99.8435
4068.98 129.690
4069.00 186.993
4069.02 189.178
4069.03 153.966
4069.05 126.482
4069.07 106.978
4069.08 93.9277
4069.10 85.4140
4069.13 74.0081
4069.16 67.5741
4069.19 63.3014
4069.22 60.4451
4069.29 56.7198
4069.35 54.4503
4069.41 52.9259
4069.54 51.0035
4069.66 49.8317
4069.79 49.0331
4070.04 47.9915
4070.29 47.3172
4070.55 46.8253
4071.05 46.1155
4071.55 45.5866
4072.06 45.1505
4073.06 44.4227
4075.08 43.2299
4077.09 42.2019
4085.15 38.8291
4101.27 33.9566
4133.50 27.9371
4165.74 24.3006
4181.86 22.9605
4185.89 22.6610
4189.92 22.3750
4193.94 22.1091
4195.96 22.0180
4196.46 22.0295
4196.97 22.1221
4197.22 22.2781
4197.47 22.7368
4197.60 23.3617
4197.72 25.0260
4197.79 27.1361
4197.82 29.1126
4197.85 32.2924
4197.88 38.3307
4197.90 43.4721
4197.91 50.7476
4197.93 63.1915
4197.94 83.2034
4197.96 123.065
4197.97 199.674
4197.99 308.638
4198.00 377.795
4198.01 308.846
4198.03 199.937
4198.04 142.636
4198.05 105.086
4198.06 81.6777
4198.07 67.6667
4198.09 50.2924
4198.11 41.0750
4198.13 35.6614
4198.15 32.2303
4198.20 28.3057
4198.28 24.9952
4198.36 23.7007
4198.53 22.6848
4198.70 22.2995
4199.04 21.9990
4199.38 21.8764
4200.73 21.6901
4203.43 21.4956
4208.84 21.1645
4219.65 20.5591
4241.27 19.5019
4284.51 17.8273
4327.74 16.5435
4349.36 16.0027
4360.17 15.7527
4365.58 15.6343
4368.28 15.5851
4369.63 15.5968
4370.31 15.7447
4370.48 15.9057
4370.65 16.3568
4370.73 16.9684
4370.82 18.5771
4370.86 20.6167
4370.90 25.6165
4370.92 31.3742
4370.94 43.6999
4370.95 56.5498
4370.96 77.0331
4370.97 120.640
4370.98 154.350
4370.98 205.284
4370.99 323.724
4371.00 394.130
4371.01 323.882
4371.02 204.356
4371.03 132.908
4371.03 93.1548
4371.04 67.5364
4371.05 53.7755
4371.07 37.8306
4371.08 30.3666
4371.12 23.2722
4371.15 20.2573
4371.22 17.7872
4371.28 16.8500
4371.42 16.1280
4371.55 15.8608
4371.81 15.6599
4372.08 15.5841
4373.14 15.4918
4375.27 15.4284
4379.51 15.3344
4388.01 15.1592
4405.01 14.8279
4439.00 14.2246
4472.99 13.6849
4489.99 13.4346
4498.48 13.3150
4502.73 13.2616
4504.86 13.2579
4505.92 13.3470
4506.19 13.4499
4506.45 13.7429
4506.58 14.1445
4506.72 15.2387
4506.78 16.6892
4506.85 20.3662
4506.88 24.8344
4506.90 28.9458
4506.92 35.1366
4506.93 46.6041
4506.95 67.5623
4506.96 88.6194
4506.97 118.324
4506.97 166.205
4506.98 244.260
4506.99 390.770
4507.00 475.635
4507.01 375.446
4507.02 244.564
4507.03 174.321
4507.03 133.861
4507.04 85.9812
4507.06 61.0239
4507.07 46.7606
4507.08 37.3782
4507.09 31.7812
4507.12 25.1230
4507.17 19.2066
4507.22 16.8019
4507.31 14.9065
4507.41 14.1941
4507.61 13.6515
4507.80 13.4516
4508.58 13.2433
4510.14 13.1702
4513.27 13.1140
4519.51 13.0262
4532.00 12.8602
4544.50 12.6995
4550.74 12.6211
4553.86 12.5838
4555.43 12.5718
4556.21 12.5927
4556.60 12.7072
4556.79 13.1483
4556.84 13.5745
4556.89 14.6761
4556.91 16.0692
4556.94 19.1962
4556.95 22.5469
4556.96 29.0844
4556.97 44.0308
4556.98 59.1512
4556.99 88.9818
4556.99 132.119
4557.00 165.574
4557.01 132.245
4557.01 89.1341
4557.02 66.3952
4557.02 50.7405
4557.03 33.8407
4557.04 25.8554
4557.05 21.5798
4557.07 17.4494
4557.09 15.6729
4557.13 14.1061
4557.17 13.4765
4557.33 12.7973
4557.64 12.6040
4558.26 12.5456
4559.51 12.5168
4562.01 12.4825
4567.01 12.4204
4577.01 12.2996
4597.01 12.0644
4637.00 11.6128
