Pt-196(n,g) JEFF-3.2
Energy(eV) XS(b)
5765.28 10.6358
5765.41 13.7818
5765.47 15.8750
5765.54 18.4499
5765.60 21.6515
5765.67 25.6751
5765.73 30.7815
5765.79 37.3094
5765.86 45.6705
5765.92 56.2863
5766.00 72.0869
5766.07 90.2982
5766.23 114.041
5766.30 107.980
5766.38 92.1673
5766.53 57.7449
5766.64 39.9256
5766.76 28.3750
5766.87 20.8752
5766.99 15.8654
5767.21 9.93316
5767.44 6.74948
5767.67 4.86676
5767.90 3.66833
5768.35 2.29248
5768.81 1.56550
5769.27 1.13631
5769.72 0.862286
5770.18 0.676856
5771.09 0.449378
5772.00 0.320528
5772.91 0.240589
5773.83 0.187624
5775.65 0.124040
5777.47 0.0888035
5779.30 0.0672816
5781.12 0.0531942
5784.77 0.0365186
5788.42 0.0274419
5795.71 0.0185158
5803.01 0.0145650
5810.31 0.0126152
5824.90 0.0112147
5854.08 0.0122001
5883.27 0.0160390
5912.45 0.0239131
5927.04 0.0307511
5941.63 0.0413450
5956.23 0.0589533
5970.82 0.0913647
5978.11 0.118881
5985.41 0.161167
5992.71 0.230957
5994.53 0.255523
5996.35 0.284220
5998.18 0.318022
6000.00 0.358177
6001.50 0.397284
6003.01 0.443109
6004.51 0.497261
6006.02 0.561809
6007.52 0.639651
6009.02 0.734560
6010.53 0.851783
6012.03 0.998572
6013.53 1.18565
6015.04 1.42835
6016.54 1.74972
6018.05 2.18465
6019.55 2.78837
6021.05 3.64574
6022.56 4.88445
6024.06 6.66698
6026.44 10.6891
6028.82 13.4752
6030.01 12.7455
6031.20 10.8706
6033.58 6.80674
6035.79 4.32736
6038.00 2.88033
6040.20 2.01929
6042.41 1.48104
6046.82 0.884149
6051.24 0.583336
6055.65 0.412381
6060.07 0.306529
6068.90 0.188117
6077.72 0.127055
6086.55 0.0915732
6095.38 0.0691700
6104.21 0.0541368
6121.87 0.0358523
6139.53 0.0255905
