Cr-50(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
79125.3 29.3576
79150.6 19.2949
79169.3 14.1564
79187.9 10.7776
79206.6 8.55217
79225.2 7.04719
79262.5 5.23631
79299.8 4.24571
79337.1 3.64996
79374.4 3.26468
79448.9 2.81241
79523.5 2.56531
79598.1 2.41394
79747.3 2.24158
79896.4 2.14647
80045.6 2.08495
80343.9 2.00534
80642.3 1.95038
80940.6 1.90562
81537.2 1.82831
82133.9 1.75661
82730.6 1.68573
83923.9 1.53913
86310.5 1.19984
87503.8 0.992446
87802.1 0.934951
88100.5 0.874543
88398.8 0.810626
88548.0 0.781204
88585.3 0.779696
88622.5 0.795953
88641.2 0.830342
88659.8 0.941166
88669.2 1.09849
88673.8 1.25202
88678.5 1.52068
88683.1 2.04756
88685.5 2.51995
88687.8 3.28071
88690.1 4.60791
88692.5 7.18887
88693.6 9.47228
88694.8 12.9973
88696.0 18.7577
88697.1 28.1710
88698.5 45.1046
88699.9 56.8913
88701.3 46.1582
88702.7 29.4737
88703.6 21.5852
88704.5 16.1592
88706.4 9.91797
88708.2 6.74485
88710.1 4.95991
88711.9 3.86794
88713.8 3.15447
88717.5 2.31153
88721.2 1.85147
88724.9 1.57255
88732.3 1.26422
88739.7 1.10503
88747.1 1.01120
88761.9 0.908812
88791.5 0.822933
88821.1 0.784778
88880.3 0.745714
88939.5 0.721686
89057.9 0.685481
89176.3 0.653956
89413.1 0.593817
89531.5 0.563669
89590.7 0.548168
89620.3 0.540193
89635.1 0.537795
89642.5 0.547126
89646.2 0.597488
89648.0 0.781675
89649.0 1.30806
89649.4 2.36225
89649.9 6.96389
89650.2 13.7039
89650.5 7.26936
89650.9 3.26200
89651.2 1.92627
89651.9 1.09204
89653.2 0.725132
89655.8 0.595148
89661.1 0.552504
89671.7 0.536512
89692.9 0.526530
89735.3 0.513942
89820.0 0.491366
89989.4 0.446549
90158.8 0.400005
90243.5 0.376022
90285.9 0.374117
90307.1 0.434034
90312.4 0.507097
90317.7 0.715427
90320.3 0.990435
90322.9 1.67252
90324.3 2.46441
90325.6 4.12399
90326.3 5.71261
90326.9 8.41146
90327.6 13.3353
90328.2 22.7911
90328.8 36.8158
90329.4 46.4211
90330.0 37.7494
90330.6 23.9923
90331.1 16.8527
90331.6 12.2322
90332.5 7.12289
90333.4 4.67411
90334.3 3.35699
90336.1 2.04643
90337.9 1.45205
90341.5 0.936435
90345.2 0.723056
90352.4 0.548217
90359.7 0.477346
90388.7 0.391241
90446.8 0.349290
90562.9 0.309001
90795.1 0.244914
91259.5 0.130166
91491.7 0.0811431
91723.9 0.0420673
91840.0 0.0279083
91956.1 0.0185275
92072.2 0.0150757
92188.3 0.0189748
