La-139(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1971.12 3.83023
1971.14 4.59361
1971.17 5.79749
1971.20 8.05155
1971.22 12.5097
1971.24 17.0506
1971.25 24.1559
1971.26 36.7135
1971.28 59.9211
1971.29 96.0800
1971.30 117.924
1971.31 96.0897
1971.32 59.9336
1971.34 35.4680
1971.35 22.8061
1971.37 15.8807
1971.38 11.8007
1971.41 7.51811
1971.44 5.46390
1971.47 4.33148
1971.49 3.64404
1971.55 2.88901
1971.66 2.28584
1971.77 2.05526
1972.00 1.88038
1972.22 1.81574
1972.67 1.76686
1973.12 1.74796
1974.91 1.72273
1978.49 1.70047
1985.66 1.66129
2000.00 1.57569
2014.25 1.47629
2028.50 1.35898
2042.75 1.22082
2057.00 1.06464
2064.13 0.987415
2071.25 0.925680
2078.38 0.913083
2085.50 1.04244
2089.06 1.23478
2092.63 1.60942
2096.19 2.33991
2099.75 3.82722
2101.53 5.13652
2103.31 7.14774
2105.09 10.3777
2106.88 15.8802
2108.66 26.0494
2109.55 34.5190
2110.44 47.0681
2111.33 66.4972
2112.22 97.9581
2113.11 151.441
2114.00 243.947
2115.00 409.074
2116.00 535.606
2117.00 448.872
2118.00 293.846
2119.04 186.228
2120.08 125.208
2121.12 89.5668
2122.15 67.4933
2123.19 52.9738
2124.23 42.9569
2126.31 30.3799
2128.38 23.0366
2130.46 18.3427
2134.61 12.8150
2138.77 9.74870
2140.84 8.72927
2142.92 8.02169
2145.00 7.81853
2146.04 8.13357
2147.07 9.11953
2148.11 11.7408
2148.63 14.4822
2149.15 19.3651
2149.67 28.8324
2149.93 37.0742
2150.19 49.7320
2150.45 70.3948
2150.71 106.096
2150.97 172.896
2151.23 302.587
2151.46 500.785
2151.70 650.262
2151.94 542.568
2152.17 354.811
2152.36 248.836
2152.55 180.569
2152.74 136.435
2152.93 106.962
2153.31 71.8599
2153.69 52.7710
2154.07 41.2134
2154.45 33.6854
2155.21 24.7391
2155.97 19.7440
2156.73 16.6305
2158.25 13.0176
2159.77 11.0059
2161.29 9.72624
2164.32 8.17363
2167.36 7.24589
2170.40 6.61555
2171.92 6.36918
2173.44 6.16074
2174.20 6.07466
2174.95 6.01840
2175.33 6.02485
2175.71 6.12348
2175.90 6.29455
2176.09 6.79399
2176.19 7.46248
2176.24 8.10654
2176.28 9.19036
2176.33 11.3309
2176.36 13.2465
2176.38 16.1759
2176.40 21.4783
2176.43 31.2921
2176.44 40.2676
2176.45 54.3990
2176.46 77.6482
2176.47 115.648
2176.49 179.646
2176.50 225.851
2176.51 179.670
2176.53 115.675
2176.54 75.2422
2176.55 52.9607
2176.57 38.4990
2176.58 30.1339
2176.60 20.3470
2176.63 15.3964
2176.65 12.5764
2176.68 10.8261
2176.73 8.86279
2176.78 7.84624
2176.83 7.25258
2176.93 6.62036
2177.13 6.12432
2177.33 5.92917
2177.73 5.75911
2178.13 5.67361
2178.92 5.56476
2179.72 5.48146
2181.32 5.34005
2182.92 5.21568
2189.31 4.81449
2202.09 4.27470
2214.88 3.91933
2227.66 3.66351
2253.22 3.31197
2278.79 3.07262
2304.35 2.88879
2329.92 2.73032
2342.70 2.65213
2355.48 2.56606
2361.88 2.51392
2365.07 2.48246
2368.27 2.44408
2371.46 2.39251
2373.06 2.35739
2374.66 2.31074
2376.26 2.24315
2377.06 2.19563
2377.85 2.13298
2378.65 2.04830
2379.45 1.94406
2379.85 1.91890
2380.05 1.95186
2380.25 2.08293
2380.45 2.50336
