20-Ca_n-g
>  20-Ca-40:0.969371
>  20-Ca-42:0.006470
>  20-Ca-43:0.001350
>  20-Ca-44:0.020899
>  20-Ca-46:0.000040
>  20-Ca-48:0.001870
6.958310e+03 3.67071779e+00
6.958430e+03 2.12849432e+00
6.958560e+03 1.36288373e+00
6.958680e+03 9.42437604e-01
6.958930e+03 5.22367130e-01
6.959180e+03 3.30382847e-01
6.959680e+03 1.66126078e-01
6.960180e+03 1.00162550e-01
6.960500e+03 8.87590547e-02
6.962170e+03 2.94227055e-02
6.963880e+03 2.13493668e-02
6.965570e+03 1.36161458e-02
6.966160e+03 1.10125768e-02
6.967260e+03 1.08982371e-02
6.968950e+03 1.11375607e-02
6.970640e+03 1.19655882e-02
6.973320e+03 1.45508547e-02
6.974130e+03 1.48930405e-02
6.976000e+03 1.67517160e-02
6.978680e+03 1.36257934e-02
6.981360e+03 9.05818152e-03
6.983040e+03 6.99486427e-03
6.984710e+03 5.51391063e-03
6.988070e+03 3.64428692e-03
6.990090e+03 2.97730340e-03
6.991420e+03 2.63580514e-03
6.994770e+03 2.13091998e-03
6.998130e+03 1.80640360e-03
7.000000e+03 1.68100585e-03
7.001480e+03 1.58176058e-03
7.008190e+03 1.28723729e-03
7.014890e+03 1.09471490e-03
7.021600e+03 9.50319263e-04
7.021990e+03 9.43846345e-04
7.035010e+03 8.49142689e-04
7.048430e+03 7.90776732e-04
7.061840e+03 7.49357791e-04
7.071110e+03 7.28220383e-04
7.085800e+03 6.94728659e-04
7.088660e+03 6.91572190e-04
7.115490e+03 6.74128928e-04
7.142310e+03 6.61704150e-04
7.195970e+03 6.43065063e-04
7.213410e+03 6.38115074e-04
7.249620e+03 6.33272428e-04
7.303270e+03 6.27492240e-04
7.410570e+03 6.17706425e-04
7.468640e+03 6.13164604e-04
7.500000e+03 6.11428536e-04
7.588890e+03 6.06653651e-04
7.625180e+03 6.04725084e-04
7.839780e+03 5.95562369e-04
7.979090e+03 5.91791525e-04
8.000000e+03 5.91440468e-04
8.054390e+03 5.90527302e-04
8.106670e+03 5.90875006e-04
8.161690e+03 5.91313681e-04
8.268990e+03 5.95567976e-04
8.365550e+03 6.05358505e-04
8.376290e+03 6.06466997e-04
8.429940e+03 6.16620890e-04
8.483600e+03 6.32168803e-04
8.495000e+03 6.37335135e-04
8.537250e+03 6.56596577e-04
8.590900e+03 6.95899480e-04
8.624440e+03 7.36611662e-04
8.644550e+03 7.61143267e-04
8.698200e+03 8.69773198e-04
8.753890e+03 1.03879104e-03
8.760600e+03 1.05922303e-03
8.818610e+03 1.17200642e-03
8.823000e+03 1.18060682e-03
8.883330e+03 1.05231599e-03
8.885400e+03 1.04798402e-03
8.947800e+03 8.58432332e-04
8.948050e+03 8.57958536e-04
9.000000e+03 7.64864993e-04
9.012780e+03 7.42201819e-04
9.013560e+03 7.41023550e-04
9.045140e+03 7.21123283e-04
9.077500e+03 7.23913652e-04
9.079330e+03 7.27586640e-04
9.093680e+03 7.62923358e-04
9.101770e+03 8.06762150e-04
9.109860e+03 8.89850666e-04
9.117950e+03 1.07036928e-03
9.122000e+03 1.24991532e-03
9.126040e+03 1.57396025e-03
9.128060e+03 1.84348565e-03
9.130090e+03 2.24898084e-03
9.132110e+03 2.90017951e-03
9.134130e+03 4.04167947e-03
9.136150e+03 6.32337921e-03
9.137160e+03 8.42830780e-03
9.138180e+03 1.19460935e-02
9.139190e+03 1.84765505e-02
9.139690e+03 2.40462946e-02
9.140200e+03 3.25868380e-02
9.140700e+03 4.66088659e-02
9.141210e+03 7.14830166e-02
9.141720e+03 1.20304507e-01
9.141970e+03 1.62245518e-01
9.142220e+03 2.22929556e-01
9.142610e+03 3.56422117e-01
9.143000e+03 4.45443173e-01
9.143390e+03 3.56389937e-01
9.143780e+03 2.22911133e-01
9.144170e+03 1.37394294e-01
9.144560e+03 8.96106570e-02
9.144950e+03 6.19848000e-02
9.145090e+03 5.59381233e-02
9.145340e+03 4.51405448e-02
9.145730e+03 3.42163889e-02
9.146120e+03 2.68195065e-02
9.146900e+03 1.77566956e-02
9.147680e+03 1.26662162e-02
9.148450e+03 9.53738579e-03
9.150010e+03 6.06154621e-03
9.151570e+03 4.28051759e-03
9.153130e+03 3.24941710e-03
9.154690e+03 2.59991224e-03
9.156240e+03 2.16493052e-03
9.159360e+03 1.63615118e-03
9.162470e+03 1.33957697e-03
9.165590e+03 1.15667605e-03
9.168710e+03 1.03607483e-03
9.174940e+03 8.91936854e-04
9.181170e+03 8.12574572e-04
