77-Ir_n-g
> 77-Ir-191:0.373000
> 77-Ir-193:0.627000
4.137960e+01 1.64873515e+02
4.138980e+01 1.97973173e+02
4.140220e+01 2.24750818e+02
4.141000e+01 2.43877364e+02
4.143030e+01 2.18462549e+02
4.143220e+01 2.14302860e+02
4.145050e+01 1.82420235e+02
4.146230e+01 1.74686089e+02
4.147450e+01 1.78593520e+02
4.149230e+01 1.99363872e+02
4.149860e+01 2.15400124e+02
4.150740e+01 2.41295800e+02
4.152240e+01 3.08238594e+02
4.152260e+01 3.09536424e+02
4.154620e+01 4.67226292e+02
4.154660e+01 4.68973317e+02
4.157000e+01 5.73530142e+02
4.157070e+01 5.70180576e+02
4.159380e+01 4.60923630e+02
4.159470e+01 4.54591688e+02
4.161760e+01 2.94489964e+02
4.164090e+01 1.89212689e+02
4.164270e+01 1.84563664e+02
4.166420e+01 1.29668239e+02
4.168740e+01 9.48605528e+01
4.169080e+01 9.17100186e+01
4.171070e+01 7.35507396e+01
4.173890e+01 5.94482086e+01
4.175730e+01 5.04271347e+01
4.180380e+01 3.92619370e+01
4.183500e+01 3.60660186e+01
4.189690e+01 3.00943250e+01
4.193110e+01 2.91916802e+01
4.199010e+01 2.77916080e+01
4.202720e+01 2.84222134e+01
4.217630e+01 3.12239596e+01
4.221950e+01 3.38544788e+01
4.236250e+01 4.27534534e+01
4.245560e+01 5.29032981e+01
4.254870e+01 6.81089573e+01
4.260390e+01 8.22425101e+01
4.264180e+01 9.19709771e+01
4.273500e+01 1.32055839e+02
4.278150e+01 1.63019699e+02
4.282810e+01 2.06425718e+02
4.287460e+01 2.69763469e+02
4.292120e+01 3.66909031e+02
4.296770e+01 5.25740763e+02
4.298840e+01 6.50676350e+02
4.301430e+01 8.07005747e+02
4.303760e+01 1.03278970e+03
4.306090e+01 1.35499998e+03
4.308410e+01 1.82298149e+03
4.310740e+01 2.49967876e+03
4.314370e+01 3.99664321e+03
4.318000e+01 4.99230235e+03
4.321630e+01 3.99165619e+03
4.325260e+01 2.49415642e+03
4.327900e+01 1.74530666e+03
4.330530e+01 1.25344538e+03
4.333170e+01 9.29889719e+02
4.335800e+01 7.11469411e+02
4.337290e+01 6.37597744e+02
4.341080e+01 4.49714087e+02
4.346350e+01 3.07637554e+02
4.351620e+01 2.22957228e+02
4.356890e+01 1.68779825e+02
4.367430e+01 1.06270632e+02
4.375740e+01 8.01453938e+01
4.377980e+01 7.31236703e+01
4.388520e+01 5.35987344e+01
4.394960e+01 4.59983837e+01
4.399060e+01 4.12095872e+01
4.404570e+01 3.68951866e+01
