38-Sr_n-tot
>  38-Sr-84:0.005600
>  38-Sr-86:0.098600
>  38-Sr-87:0.070000
>  38-Sr-88:0.825800
>  38-Sr-89:0.000000
>  38-Sr-90:0.000000
6.341740e+02 1.25620567e+01
6.342890e+02 1.32249340e+01
6.344040e+02 1.41862912e+01
6.345180e+02 1.56045667e+01
6.346330e+02 1.76840872e+01
6.347950e+02 2.19868022e+01
6.348170e+02 2.25711579e+01
6.350000e+02 2.62464567e+01
6.351840e+02 2.35415396e+01
6.353680e+02 1.88568546e+01
6.355170e+02 1.61850254e+01
6.356670e+02 1.44684036e+01
6.358160e+02 1.33579328e+01
6.359660e+02 1.26131574e+01
6.362330e+02 1.18069751e+01
6.362640e+02 1.17146302e+01
6.364330e+02 1.14352926e+01
6.365630e+02 1.12208303e+01
6.368620e+02 1.09132854e+01
6.371610e+02 1.07041100e+01
6.377580e+02 1.04342430e+01
6.380710e+02 1.03433117e+01
6.383560e+02 1.02626115e+01
6.389530e+02 1.01388177e+01
6.395510e+02 1.00393456e+01
6.397090e+02 1.00168438e+01
6.401480e+02 9.96231400e+00
6.413430e+02 9.83807116e+00
6.413470e+02 9.83771348e+00
6.421670e+02 9.78930911e+00
6.425380e+02 9.78296656e+00
6.426150e+02 9.78223842e+00
6.429860e+02 9.79118939e+00
6.437330e+02 9.86888195e+00
6.438050e+02 9.87669072e+00
6.446240e+02 1.01027960e+01
6.449280e+02 1.02626674e+01
6.450330e+02 1.03182769e+01
6.454430e+02 1.06616825e+01
6.458520e+02 1.12267405e+01
6.462620e+02 1.22093231e+01
6.466720e+02 1.40672767e+01
6.468760e+02 1.56482135e+01
6.470810e+02 1.80416847e+01
6.472860e+02 2.18519490e+01
6.473180e+02 2.28548500e+01
6.474910e+02 2.82772479e+01
6.476950e+02 3.98203975e+01
6.479000e+02 6.12684123e+01
6.481000e+02 9.53702311e+01
6.483000e+02 1.20555870e+02
6.485000e+02 1.01223609e+02
6.487000e+02 6.85815476e+01
6.489120e+02 4.59580888e+01
6.491240e+02 3.33948199e+01
6.493360e+02 2.61851511e+01
6.495480e+02 2.17713523e+01
6.497080e+02 1.96035041e+01
6.497600e+02 1.88990273e+01
6.499710e+02 1.69309731e+01
6.503950e+02 1.44812930e+01
6.508190e+02 1.30629789e+01
6.512430e+02 1.21604317e+01
6.520900e+02 1.10992978e+01
