Au-197(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
576.886 4.72448
577.152 5.89746
577.219 6.33223
577.285 6.84774
577.352 7.46419
577.418 8.20378
577.484 9.10041
577.551 10.1952
577.617 11.5453
577.684 13.2263
577.750 15.3537
577.817 18.0843
577.883 21.6527
577.950 26.4083
578.016 32.9281
578.083 42.1315
578.149 55.6138
578.216 76.2448
578.282 109.740
578.349 167.782
578.382 213.374
578.415 276.663
578.448 365.782
578.481 490.615
578.541 810.391
578.600 1048.76
578.659 871.358
578.719 567.555
578.771 384.132
578.823 271.712
578.875 202.156
578.927 157.403
579.032 106.600
579.136 80.9971
579.241 67.3399
579.345 60.3760
