Pd-105(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
170.552 7.37846
170.586 8.02826
170.621 9.12056
170.655 10.9767
170.693 14.0717
170.730 16.1305
170.768 14.0608
170.805 10.9536
170.831 9.47173
170.856 8.47375
170.907 7.33189
170.958 6.75883
171.009 6.43867
171.111 6.11308
171.214 5.95738
171.418 5.81115
171.622 5.73982
172.030 5.66174
172.439 5.61227
174.072 5.48244
175.706 5.38362
177.340 5.29603
178.973 5.22275
179.790 5.20277
180.607 5.21908
181.015 5.25952
181.424 5.34677
181.832 5.52781
182.240 5.91752
182.445 6.27611
182.649 6.85035
182.853 7.82399
183.057 9.61443
183.261 13.3294
183.364 16.8214
183.466 22.6902
183.568 33.5181
183.619 42.6359
183.670 56.3562
183.721 78.2019
183.772 115.093
183.798 143.454
183.823 182.054
183.849 235.257
183.874 308.096
183.922 501.147
183.970 638.850
184.018 521.364
184.066 333.310
184.097 246.061
184.128 185.745
184.191 114.742
184.253 77.9275
184.315 56.9761
184.377 44.0024
184.440 35.4657
184.564 25.2660
184.689 19.6305
184.813 16.1784
185.062 12.3163
185.311 10.2928
185.560 9.08737
185.809 8.30334
186.058 7.76008
186.556 7.06604
187.054 6.64754
187.552 6.36987
188.050 6.17255
189.045 5.90968
190.041 5.73994
192.033 5.52405
194.025 5.37984
196.017 5.26456
197.012 5.21270
198.008 5.16568
199.004 5.13210
199.502 5.12973
200.000 5.15235
200.319 5.19398
200.637 5.27835
200.956 5.44767
201.274 5.80440
201.433 6.12889
201.593 6.64413
201.752 7.51129
201.911 9.09032
202.070 12.3300
202.150 15.3388
202.230 20.3368
202.309 29.4194
202.349 36.9248
202.389 48.0573
202.429 65.3611
202.468 93.7570
202.508 143.020
202.528 180.724
202.548 230.822
202.589 373.835
202.630 475.643
202.671 389.585
202.712 250.523
202.756 154.879
202.799 102.413
202.843 72.6209
202.887 54.5558
202.931 42.9058
202.974 34.9936
203.062 25.2704
203.149 19.7512
203.236 16.3128
203.411 12.4102
203.586 10.3437
203.761 9.10628
203.936 8.29992
204.110 7.74130
204.460 7.02918
204.809 6.60241
205.159 6.32157
205.509 6.12420
206.208 5.86653
206.907 5.70797
207.606 5.61516
207.781 5.61021
207.956 5.63276
208.043 5.67272
208.130 5.76856
208.174 5.86562
208.218 6.03600
208.261 6.35730
208.305 6.98947
208.343 7.87643
208.380 8.46631
208.418 7.86912
208.455 6.97457
208.484 6.50396
208.513 6.20254
208.570 5.87653
208.628 5.72059
208.686 5.63502
208.801 5.54713
208.916 5.50253
209.147 5.45433
209.378 5.42474
210.300 5.34959
212.145 5.25054
213.990 5.18222
214.451 5.17357
214.913 5.18003
215.143 5.20183
215.259 5.22583
215.374 5.26938
215.489 5.35562
215.547 5.43249
215.604 5.55447
215.662 5.76321
215.720 6.15531
215.749 6.49031
215.777 6.99380
215.806 7.77595
215.835 8.99599
