51-Sb_n-g
> 51-Sb-121:0.572100
> 51-Sb-123:0.427900
7.653160e+01 3.60572042e+01
7.655030e+01 4.43938073e+01
7.656900e+01 5.58166391e+01
7.658780e+01 7.18890143e+01
7.660650e+01 9.51124723e+01
7.662530e+01 1.29354765e+02
7.664400e+01 1.79722060e+02
7.665800e+01 2.29906207e+02
7.667200e+01 2.87230722e+02
7.670000e+01 3.58811189e+02
7.671400e+01 3.37707624e+02
7.672800e+01 2.87108485e+02
7.675600e+01 1.79564877e+02
7.677080e+01 1.41250824e+02
7.677870e+01 1.20799975e+02
7.680140e+01 8.40648624e+01
7.682410e+01 6.09121517e+01
7.684680e+01 4.57928356e+01
7.689220e+01 2.82882934e+01
7.693760e+01 1.90927562e+01
7.698300e+01 1.37277371e+01
7.702840e+01 1.03432531e+01
7.711920e+01 6.48884033e+00
7.721000e+01 4.46467571e+00
7.726190e+01 3.78310213e+00
7.730080e+01 3.27377262e+00
7.739160e+01 2.51541510e+00
7.748240e+01 2.00176076e+00
7.766400e+01 1.36861216e+00
7.775310e+01 1.19054055e+00
7.784560e+01 1.00849242e+00
7.802720e+01 7.84579625e-01
7.820880e+01 6.34103024e-01
7.857190e+01 4.48156551e-01
7.873530e+01 3.99060687e-01
7.893510e+01 3.43188075e-01
7.929830e+01 2.78704088e-01
7.966150e+01 2.34291179e-01
7.971760e+01 2.29824889e-01
8.038790e+01 1.86500784e-01
8.111430e+01 1.60015463e-01
8.168210e+01 1.49033543e-01
8.256700e+01 1.45793610e-01
8.364660e+01 1.51893794e-01
8.401980e+01 1.61158375e-01
8.462890e+01 1.78641834e-01
8.547250e+01 2.26786062e-01
8.561120e+01 2.35086463e-01
8.610230e+01 2.84832303e-01
8.659340e+01 3.60295755e-01
8.708460e+01 4.82340141e-01
8.757570e+01 6.98837685e-01
8.782130e+01 8.76563701e-01
8.806680e+01 1.14174666e+00
8.831240e+01 1.56429715e+00
8.837800e+01 1.76163116e+00
8.855790e+01 2.30326026e+00
8.880350e+01 3.78925244e+00
8.892630e+01 5.18471999e+00
8.904910e+01 7.58320471e+00
8.917190e+01 1.22746033e+01
8.923330e+01 1.65370092e+01
8.929460e+01 2.35759878e+01
8.935600e+01 3.64502150e+01
8.938670e+01 4.73025676e+01
8.941740e+01 6.38051514e+01
8.944810e+01 9.05108527e+01
8.947880e+01 1.37147374e+02
8.949420e+01 1.74107931e+02
8.950950e+01 2.26250306e+02
8.952490e+01 3.00963170e+02
8.954020e+01 4.07411565e+02
8.956510e+01 6.51086177e+02
8.959000e+01 8.13677057e+02
8.961490e+01 6.51212158e+02
8.963980e+01 4.07829436e+02
8.965800e+01 2.85545965e+02
8.967620e+01 2.05567572e+02
8.969440e+01 1.53184423e+02
8.971260e+01 1.17987158e+02
8.974900e+01 7.61329813e+01
8.978550e+01 5.37865564e+01
8.982190e+01 4.08697694e+01
8.985830e+01 3.30795134e+01
8.993110e+01 2.58539496e+01
9.000390e+01 2.58929117e+01
9.004030e+01 2.88157431e+01
9.007680e+01 3.48047446e+01
9.011320e+01 4.62042672e+01
9.014960e+01 6.87035024e+01
9.016780e+01 8.81721088e+01
9.018600e+01 1.17670772e+02
9.020420e+01 1.63659074e+02
9.021330e+01 1.95697840e+02
9.022240e+01 2.35439933e+02
9.023430e+01 2.99741713e+02
9.024620e+01 3.73250870e+02
9.027000e+01 4.64984873e+02
9.028190e+01 4.37719760e+02
9.029380e+01 3.72544440e+02
9.031760e+01 2.34100302e+02
9.034480e+01 1.36418868e+02
9.037190e+01 8.58075344e+01
9.039900e+01 5.82524026e+01
9.042620e+01 4.20372083e+01
9.045330e+01 3.18023468e+01
9.048050e+01 2.49655878e+01
9.053470e+01 1.66971558e+01
9.058900e+01 1.20697973e+01
9.064330e+01 9.20971296e+00
9.075190e+01 5.97468937e+00
9.086050e+01 4.25867138e+00
9.096900e+01 3.22575199e+00
9.118620e+01 2.07848317e+00
9.128350e+01 1.81031921e+00
9.140330e+01 1.48057627e+00
9.162040e+01 1.13440685e+00
9.183760e+01 9.61876105e-01
9.194610e+01 1.03068642e+00
9.200040e+01 1.27486378e+00
9.202760e+01 1.59501378e+00
9.205470e+01 2.25315415e+00
9.210000e+01 3.77099529e+00
9.214530e+01 2.20088091e+00
9.217600e+01 1.45049832e+00
9.220670e+01 1.09725611e+00
9.226800e+01 8.05423451e-01
9.239080e+01 6.17236615e-01
9.263620e+01 4.82823430e-01
9.312710e+01 3.56340717e-01
9.361810e+01 2.85223581e-01
9.410900e+01 2.39800000e-01
9.418900e+01 2.35562570e-01
9.509080e+01 1.92536546e-01
9.564180e+01 1.80742274e-01
9.607270e+01 1.74596875e-01
9.709450e+01 1.76711576e-01
9.803630e+01 1.92100862e-01
9.854730e+01 2.05128724e-01
1.000000e+02 2.90776071e-01
1.006010e+02 3.60317940e-01
1.012030e+02 4.67441362e-01
1.018040e+02 6.44185018e-01
1.024060e+02 9.65691903e-01
1.026640e+02 1.19766650e+00
1.027060e+02 1.23558480e+00
1.030070e+02 1.64644402e+00
1.033080e+02 2.31372660e+00
1.036080e+02 3.50570764e+00
1.037590e+02 4.48968472e+00
1.039090e+02 5.96075213e+00
1.040590e+02 8.30554856e+00
1.042100e+02 1.23732426e+01
1.042850e+02 1.56360607e+01
1.043600e+02 2.03809960e+01
1.044350e+02 2.76537934e+01
1.045100e+02 3.95800888e+01
1.045860e+02 6.11403826e+01
1.046230e+02 7.90245029e+01
1.046610e+02 1.05665598e+02
1.046980e+02 1.47753881e+02
1.047360e+02 2.18495206e+02
1.047740e+02 3.45949541e+02
1.048110e+02 5.83941142e+02
1.048460e+02 9.31785369e+02
1.048800e+02 1.16247913e+03
1.049150e+02 9.31263405e+02
1.049490e+02 5.83389299e+02
1.049740e+02 4.07333722e+02
1.050000e+02 2.91932116e+02
1.050250e+02 2.16190847e+02
1.050500e+02 1.65145827e+02
1.051010e+02 1.04128198e+02
1.051510e+02 7.11221851e+01
1.052020e+02 5.14328493e+01
1.052530e+02 3.88465251e+01
1.053280e+02 2.80801121e+01
1.053540e+02 2.43478769e+01
1.054550e+02 1.66484387e+01
1.055560e+02 1.20959911e+01
1.056570e+02 9.18150195e+00
1.057580e+02 7.20899182e+00
