38-Sr_n-g
>  38-Sr-84:0.005600
>  38-Sr-86:0.098600
>  38-Sr-87:0.070000
>  38-Sr-88:0.825800
>  38-Sr-89:0.000000
>  38-Sr-90:0.000000
5.979420e+02 2.13614320e+00
5.995370e+02 1.60907891e+00
6.011330e+02 1.25213914e+00
6.020310e+02 1.12961021e+00
6.043240e+02 8.16790367e-01
6.052550e+02 7.45702926e-01
6.075150e+02 5.73198107e-01
6.085840e+02 5.23223812e-01
6.089270e+02 5.07203394e-01
6.107060e+02 4.24173110e-01
6.125990e+02 3.75418130e-01
6.151370e+02 3.10212274e-01
6.162720e+02 2.81151186e-01
6.170880e+02 2.60366173e-01
6.199440e+02 2.23908945e-01
6.216890e+02 2.01982826e-01
6.217800e+02 2.00851409e-01
6.234690e+02 1.80286937e-01
6.236160e+02 1.79321669e-01
6.249660e+02 1.71096043e-01
6.254520e+02 1.68217905e-01
6.272890e+02 1.59123686e-01
6.277480e+02 1.57357235e-01
6.282070e+02 1.55906119e-01
6.282420e+02 1.55818235e-01
6.284360e+02 1.55392390e-01
6.286660e+02 1.54999308e-01
6.288950e+02 1.54747739e-01
6.291250e+02 1.54645186e-01
6.293540e+02 1.54731856e-01
6.295840e+02 1.55023823e-01
6.298130e+02 1.55573502e-01
6.298510e+02 1.55712439e-01
6.300430e+02 1.56960792e-01
6.302720e+02 1.58816922e-01
6.305020e+02 1.61099594e-01
6.309610e+02 1.67363091e-01
6.314200e+02 1.76892788e-01
6.315180e+02 1.80053627e-01
6.318790e+02 1.91933686e-01
6.323380e+02 2.16146643e-01
6.325670e+02 2.33883347e-01
6.327970e+02 2.57482720e-01
6.330270e+02 2.89700493e-01
6.332560e+02 3.35019437e-01
6.334860e+02 4.01265609e-01
6.337150e+02 5.02878553e-01
6.339450e+02 6.68518006e-01
6.341740e+02 9.60090230e-01
6.342890e+02 1.19256632e+00
6.344040e+02 1.52171520e+00
6.345180e+02 1.99605302e+00
6.346330e+02 2.67501151e+00
6.347950e+02 4.02446430e+00
6.348170e+02 4.20774501e+00
6.350000e+02 5.22691330e+00
6.351840e+02 4.19995686e+00
6.353680e+02 2.66368041e+00
6.355170e+02 1.82468607e+00
6.356670e+02 1.30101418e+00
6.358160e+02 9.71250242e-01
6.359660e+02 7.56093555e-01
6.362330e+02 5.32677380e-01
6.362640e+02 5.06787095e-01
6.364330e+02 4.32919044e-01
6.365630e+02 3.76261727e-01
6.368620e+02 3.00325898e-01
6.371610e+02 2.52532309e-01
6.377580e+02 1.98289418e-01
6.380710e+02 1.83494558e-01
6.383560e+02 1.70681575e-01
6.389530e+02 1.55592550e-01
6.395510e+02 1.46613090e-01
6.397090e+02 1.45154210e-01
6.401480e+02 1.43170547e-01
6.413430e+02 1.43374988e-01
6.413470e+02 1.43388498e-01
6.421670e+02 1.51839621e-01
6.425380e+02 1.58907157e-01
6.426150e+02 1.60496010e-01
6.429860e+02 1.68621706e-01
6.437330e+02 1.96599734e-01
6.438050e+02 1.99359176e-01
6.446240e+02 2.55808525e-01
6.449280e+02 2.89989233e-01
6.450330e+02 3.01866724e-01
6.454430e+02 3.69422718e-01
6.458520e+02 4.73123373e-01
6.462620e+02 6.43011667e-01
6.466720e+02 9.47751462e-01
6.468760e+02 1.19831472e+00
6.470810e+02 1.56905802e+00
6.472860e+02 2.14609831e+00
6.473180e+02 2.29459647e+00
6.474910e+02 3.09749350e+00
6.476950e+02 4.76707078e+00
6.479000e+02 7.78848556e+00
6.481000e+02 1.24229649e+01
6.483000e+02 1.55093241e+01
6.485000e+02 1.24129334e+01
6.487000e+02 7.77766274e+00
6.489120e+02 4.68038099e+00
6.491240e+02 3.00406425e+00
6.493360e+02 2.06276150e+00
6.495480e+02 1.49792575e+00
6.497080e+02 1.22577198e+00
6.497600e+02 1.13733345e+00
6.499710e+02 8.94854654e-01
6.503950e+02 6.00907794e-01
6.508190e+02 4.36971933e-01
6.512430e+02 3.36535873e-01
6.520900e+02 2.24799836e-01
