Pb-204(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
12845.0 12.4124
12850.9 16.9717
12856.8 23.2286
12862.7 31.8560
12868.5 43.7654
12874.4 60.0608
12888.7 123.408
12903.0 192.594
12910.2 200.825
12917.3 188.225
12931.6 141.227
12945.5 103.753
12959.3 79.2435
12973.1 63.3228
12987.0 52.6000
13000.8 45.0489
13014.7 39.5279
13042.4 32.0988
13070.1 27.4047
13097.7 24.2053
13153.1 20.1655
13208.5 17.7400
13263.9 16.1303
13319.3 14.9876
13333.1 14.7538
13346.9 14.5418
13353.9 14.4496
13360.8 14.3857
13364.2 14.3895
13367.7 14.4912
13369.4 14.6706
13370.3 14.8569
13371.2 15.1889
13372.0 15.8701
13372.5 16.4933
13372.9 17.5268
13373.3 19.4725
13373.6 21.1218
13373.8 23.4951
13374.0 27.4661
13374.2 33.9310
13374.4 46.4265
13374.6 69.3967
13374.8 102.839
13375.0 125.368
13375.2 103.395
13375.4 70.0898
13375.6 49.5156
13375.7 37.6135
13375.9 30.5739
13376.1 26.3851
13376.4 21.5231
13376.8 19.0430
13377.2 17.5886
13377.5 16.7103
13378.2 15.7137
13378.9 15.1837
13379.6 14.8742
13381.0 14.5347
13383.8 14.2472
13386.6 14.1163
13392.3 13.9732
13397.9 13.8769
13409.1 13.7224
13420.4 13.5870
13442.9 13.3427
13465.3 13.1222
13555.3 12.4033
13645.2 11.8636
13735.2 11.4401
13915.1 10.8078
14095.0 10.3396
14274.9 9.94673
14454.8 9.54517
14544.7 9.28703
14589.7 9.11706
14634.7 8.89113
14657.2 8.74222
14679.7 8.55393
14702.2 8.30393
14724.6 7.94972
14735.9 7.70797
14747.1 7.39812
14758.4 6.98481
14769.6 6.40447
14775.2 6.01576
14780.9 5.53031
14786.5 4.90816
14792.1 4.09067
14797.7 3.00216
14800.5 2.34560
14803.3 1.66009
14806.1 1.14756
14807.6 1.16014
14808.3 1.32206
14809.0 1.65588
14809.7 2.25727
14810.4 3.24229
14811.1 4.82505
14811.8 7.33949
14812.5 11.4035
14813.2 17.8192
14813.9 28.1112
14814.6 44.5170
14815.2 65.8601
14815.8 94.4024
14817.0 151.166
14817.6 159.683
14818.2 151.350
14819.4 116.120
14820.5 88.5005
14821.6 69.7357
14822.7 56.9850
14823.8 48.2389
14826.0 37.2391
14828.2 30.8339
14830.4 26.7238
14832.6 23.8929
14836.9 20.2893
14841.3 18.1022
14845.7 16.6447
14850.1 15.6069
14854.5 14.8331
14863.2 13.7526
14872.0 13.0370
14880.7 12.5274
14889.5 12.1457
14907.0 11.6106
14924.5 11.2521
14942.0 10.9935
14959.5 10.7973
14994.5 10.5161
15029.5 10.3215
15099.5 10.0619
15169.5 9.88945
15239.6 9.76132
15379.6 9.57374
15519.7 9.43447
15659.7 9.32146
15799.7 9.22477
15869.8 9.18076
15904.8 9.16009
15922.3 9.15335
15931.0 9.16646
15935.4 9.24094
15936.5 9.31893
15937.6 9.52821
15938.1 9.79949
15938.7 10.4538
15939.0 11.2389
15939.2 12.8611
15939.4 14.5080
15939.5 17.1465
15939.6 22.4915
15939.8 32.2720
15939.9 46.9439
15940.0 55.7621
15940.1 45.9326
15940.2 32.6292
15940.3 24.5500
15940.4 20.0458
15940.6 15.2320
