Cu-65(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
9842.26 0.738022
9842.88 0.458315
9843.51 0.311550
9844.13 0.225528
9845.38 0.133811
9846.62 0.0886093
9847.87 0.0630779
9850.36 0.0368039
9852.86 0.0242553
9855.35 0.0173045
9860.34 0.0102727
9865.33 0.00696540
9870.32 0.00515003
9880.29 0.00332665
9890.27 0.00247272
9900.24 0.00200385
9920.19 0.00152967
9960.10 0.00117463
10000.0 0.00103603
10143.9 0.000858517
10287.7 0.000781846
10575.4 0.000696044
10863.1 0.000660927
11006.9 0.000683879
11078.9 0.000809343
11096.8 0.000940303
11114.8 0.00131267
11123.8 0.00183052
11132.8 0.00329511
11137.3 0.00532273
11141.8 0.0109889
11144.0 0.0187395
11146.3 0.0400583
11147.4 0.0686663
11148.5 0.143727
11149.1 0.238619
11149.7 0.470556
11149.9 0.736840
11150.2 1.30474
11150.4 1.85976
11150.5 2.82938
11150.6 4.68022
11150.8 8.55670
11150.9 13.8439
11151.0 17.0504
11151.1 13.7798
11151.2 8.50623
11151.4 5.04022
11151.5 3.22163
11151.7 1.54143
11152.0 0.885858
11152.2 0.580425
11152.7 0.299464
11153.2 0.181994
11154.2 0.0871490
11155.2 0.0513008
11157.1 0.0240094
11159.1 0.0140321
11163.0 0.00670364
11167.0 0.00408697
11174.8 0.00218724
11182.7 0.00151507
11198.5 0.00103202
11214.2 0.000862586
11245.7 0.000742506
11277.2 0.000702071
11403.1 0.000675234
11654.9 0.000726353
11906.8 0.000888206
11969.7 0.000990930
12032.7 0.00122256
12064.2 0.00150994
12079.9 0.00178659
12095.6 0.00228382
12111.4 0.00333725
12119.3 0.00438366
12127.1 0.00629148
12135.0 0.0103619
12138.9 0.0144121
12142.9 0.0217501
12146.8 0.0373167
12148.8 0.0526346
12150.7 0.0799544
12152.7 0.136836
12153.7 0.191909
12154.7 0.287317
12155.7 0.479535
12156.6 0.946457
12157.1 1.48298
12157.6 2.62847
12157.9 3.77902
12158.1 5.71033
12158.2 7.37881
12158.4 9.56834
