Pt-195(n,tot) JEFF-3.2
Energy(eV) XS(b)
515.792 7.99755
516.059 8.01212
516.327 8.43164
516.461 9.06890
516.595 10.4485
516.729 13.6677
516.796 16.8812
516.862 22.4616
516.929 32.9957
516.963 41.9482
516.996 55.4067
517.030 76.7139
517.063 112.067
517.097 174.391
517.130 286.610
517.165 477.289
517.200 623.892
517.235 524.508
517.270 346.271
517.293 259.566
517.316 199.119
517.363 127.213
517.409 89.3885
517.455 67.5707
517.501 53.8597
517.548 44.7144
517.640 33.5738
517.732 27.2384
517.825 23.2571
518.010 18.6344
518.195 16.0893
518.380 14.4993
518.749 12.6271
519.119 11.5490
519.489 10.8314
520.229 9.88764
521.708 8.72461
523.188 7.87597
523.927 7.52189
524.667 7.25159
525.407 7.17380
526.146 7.59792
526.516 8.24776
526.886 9.51616
527.256 11.9884
527.626 17.0229
527.811 21.4610
527.996 28.2944
528.181 39.3108
528.365 58.1938
528.458 72.8890
528.550 93.4136
528.643 123.066
528.735 167.463
528.828 237.174
528.920 352.263
529.013 553.165
529.105 912.458
529.203 1523.65
529.300 1990.80
529.398 1665.89
529.495 1088.85
529.565 791.346
529.634 589.878
529.704 453.663
529.773 359.452
529.912 243.186
530.051 177.669
530.190 137.300
530.329 110.654
530.607 78.6242
530.890 60.4511
531.172 49.2011
531.454 41.6784
531.736 36.3543
532.301 29.4055
532.866 25.1233
533.430 22.2408
533.995 20.1732
535.124 17.3964
536.253 15.5922
537.383 14.2929
539.641 12.4307
541.900 10.9629
543.029 10.2499
544.158 9.50298
545.287 8.72338
545.852 8.37363
546.417 8.19412
546.699 8.28292
546.981 8.65060
547.264 9.59668
547.546 11.8476
547.828 17.4564
547.969 23.2999
548.040 27.7372
548.110 33.7783
548.181 42.2266
548.252 54.3773
548.322 72.4914
548.393 100.674
548.463 147.149
548.534 229.092
548.569 293.988
548.605 385.077
548.640 514.498
548.675 696.888
548.738 1166.95
548.800 1528.67
548.863 1283.31
548.925 842.801
548.963 644.475
549.001 501.137
549.076 324.180
549.152 227.435
549.227 170.164
549.303 133.615
549.378 108.949
549.529 78.6156
549.680 61.2438
549.831 50.2867
550.134 37.5612
550.436 30.5814
550.738 26.2461
551.040 23.3139
551.342 21.2029
551.946 18.3568
552.550 16.4981
553.759 14.0906
554.967 12.3975
555.571 11.6531
556.176 10.9651
556.780 10.4722
557.082 10.4887
557.384 11.0526
557.686 13.1757
557.837 15.7568
557.988 20.8079
558.064 25.1280
558.139 31.6006
558.215 41.6979
558.290 58.2756
558.328 70.6834
558.366 87.4350
558.404 110.584
558.441 143.326
558.479 191.267
558.517 263.220
558.555 374.555
558.592 546.398
558.646 919.304
558.700 1209.21
558.727 1168.23
558.754 1020.39
558.808 675.473
558.869 416.625
558.931 277.009
558.993 198.542
559.054 151.082
559.116 120.395
559.177 99.4305
559.300 73.3798
559.424 58.2841
559.547 48.6789
559.793 37.4417
560.040 31.2289
560.286 27.3560
560.532 24.7333
560.778 22.8485
561.271 20.3278
561.764 18.7200
562.256 17.6009
562.749 16.7729
563.734 15.6171
