31-Ga_n-tot
>  31-Ga-69:0.601080
>  31-Ga-71:0.398920
7.788500e+02 8.73035546e+00
7.851820e+02 8.60517424e+00
7.972790e+02 8.41023535e+00
8.007510e+02 8.35869019e+00
8.157080e+02 8.16978497e+00
8.163200e+02 8.16269686e+00
8.474590e+02 7.86242271e+00
8.525670e+02 7.82065911e+00
8.785970e+02 7.63504809e+00
9.097350e+02 7.43846340e+00
9.253040e+02 7.34704440e+00
9.262830e+02 7.34158621e+00
9.291970e+02 7.32730925e+00
9.330890e+02 7.31000536e+00
9.350350e+02 7.30358343e+00
9.369810e+02 7.30328049e+00
9.379540e+02 7.31126163e+00
9.384410e+02 7.32139701e+00
9.389270e+02 7.34134448e+00
9.394140e+02 7.38479172e+00
9.396570e+02 7.42711257e+00
9.399010e+02 7.50090352e+00
9.401440e+02 7.64561835e+00
9.402650e+02 7.77580390e+00
9.403870e+02 7.98706066e+00
9.405090e+02 8.36160080e+00
9.405700e+02 8.66574186e+00
9.406300e+02 9.11097689e+00
9.406910e+02 9.79344371e+00
9.407520e+02 1.08964562e+01
9.408130e+02 1.27775066e+01
9.408740e+02 1.60634612e+01
9.409370e+02 2.13480621e+01
9.410000e+02 2.48649468e+01
9.410630e+02 2.13404799e+01
9.411270e+02 1.60646437e+01
9.411840e+02 1.29134621e+01
9.412420e+02 1.10538788e+01
9.412990e+02 9.93645147e+00
9.413570e+02 9.23244447e+00
9.414720e+02 8.44554092e+00
9.415870e+02 8.04555857e+00
9.417020e+02 7.81691408e+00
9.418170e+02 7.67459068e+00
9.420460e+02 7.51438794e+00
9.422760e+02 7.43089858e+00
9.425060e+02 7.38179100e+00
9.429660e+02 7.32878307e+00
9.434260e+02 7.30165162e+00
9.438860e+02 7.28538771e+00
9.448060e+02 7.26649839e+00
9.466460e+02 7.24681225e+00
9.484860e+02 7.23394837e+00
9.521650e+02 7.21317596e+00
9.558450e+02 7.19430652e+00
9.632040e+02 7.15815093e+00
9.705630e+02 7.12283686e+00
1.000000e+03 6.98552720e+00
1.045940e+03 6.79244399e+00
1.062970e+03 6.72281100e+00
1.068910e+03 6.69891905e+00
1.074650e+03 6.67631908e+00
1.080400e+03 6.65454112e+00
1.083270e+03 6.64475703e+00
1.086140e+03 6.63802866e+00
1.087570e+03 6.63879717e+00
1.088290e+03 6.64233301e+00
1.089010e+03 6.65098700e+00
1.089730e+03 6.67219500e+00
1.090090e+03 6.69408843e+00
1.090440e+03 6.73382931e+00
1.090620e+03 6.76674854e+00
1.090800e+03 6.81543309e+00
1.090980e+03 6.89247686e+00
1.091160e+03 7.02258497e+00
1.091340e+03 7.27049815e+00
1.091430e+03 7.48668704e+00
1.091520e+03 7.82170621e+00
1.091610e+03 8.39262274e+00
1.091700e+03 9.43801472e+00
1.091750e+03 1.03249148e+01
1.091790e+03 1.16482531e+01
1.091840e+03 1.36780590e+01
1.091880e+03 1.67122455e+01
1.091940e+03 2.28136485e+01
1.092000e+03 2.67866538e+01
1.092060e+03 2.27086557e+01
1.092120e+03 1.67138071e+01
1.092160e+03 1.37916392e+01
1.092210e+03 1.18333222e+01
1.092250e+03 1.05222327e+01
1.092290e+03 9.64217626e+00
1.092370e+03 8.54199672e+00
1.092460e+03 7.94200327e+00
1.092540e+03 7.57579664e+00
1.092620e+03 7.34235058e+00
1.092790e+03 7.06860381e+00
1.092960e+03 6.92188115e+00
1.093120e+03 6.83431010e+00
1.093460e+03 6.73923971e+00
1.093790e+03 6.69119377e+00
1.094130e+03 6.66326959e+00
1.094790e+03 6.63312317e+00
1.095460e+03 6.61722242e+00
1.096130e+03 6.60720176e+00
1.097460e+03 6.59444846e+00
1.100130e+03 6.57840846e+00
1.102800e+03 6.56590290e+00
1.108150e+03 6.54344910e+00
1.113490e+03 6.52212001e+00
1.118830e+03 6.50151296e+00
1.124170e+03 6.48257340e+00
1.125940e+03 6.47771579e+00
1.126840e+03 6.47515618e+00
1.128180e+03 6.47299262e+00
1.129510e+03 6.47355046e+00
1.130850e+03 6.48078146e+00
1.131520e+03 6.49052039e+00
1.132180e+03 6.51010143e+00
1.132520e+03 6.52718145e+00
1.132850e+03 6.55348925e+00
1.133180e+03 6.59630037e+00
1.133520e+03 6.67153895e+00
1.133850e+03 6.82185502e+00
1.134020e+03 6.95947757e+00
1.134190e+03 7.18696083e+00
1.134350e+03 7.60103968e+00
1.134440e+03 7.94946957e+00
1.134520e+03 8.46762072e+00
1.134600e+03 9.30239467e+00
1.134690e+03 1.07068057e+01
1.134770e+03 1.32757647e+01
1.134850e+03 1.81933252e+01
1.134930e+03 2.52603865e+01
1.135000e+03 2.99768323e+01
1.135070e+03 2.52620115e+01
1.135150e+03 1.81954967e+01
1.135210e+03 1.44914800e+01
1.135260e+03 1.21547425e+01
1.135320e+03 1.06194545e+01
1.135370e+03 9.61638632e+00
1.135490e+03 8.42037521e+00
1.135600e+03 7.78059896e+00
1.135710e+03 7.40282937e+00
