27-Co_n-g
>  27-Co-59:1.000000
8.778330e+03 1.64548000e-02
8.783660e+03 1.26390000e-02
8.788980e+03 1.05356000e-02
8.799640e+03 8.40345000e-03
8.820950e+03 6.81048000e-03
8.842260e+03 6.19652000e-03
8.927490e+03 5.39510000e-03
9.097950e+03 4.87584000e-03
9.268420e+03 4.72539000e-03
9.353650e+03 5.01199000e-03
9.396270e+03 6.17493000e-03
9.417580e+03 1.05734000e-02
9.428230e+03 2.74125000e-02
9.430900e+03 4.42498000e-02
9.433560e+03 9.01675000e-02
9.434890e+03 1.50778000e-01
9.436220e+03 3.08823000e-01
9.436890e+03 5.05575000e-01
9.437560e+03 9.75649000e-01
9.437890e+03 1.50043000e+00
9.438220e+03 2.57845000e+00
9.438390e+03 3.59253000e+00
9.438550e+03 5.27251000e+00
9.438720e+03 8.25853000e+00
9.438890e+03 1.37615000e+01
9.439040e+03 2.20614000e+01
9.439200e+03 2.75572000e+01
9.439360e+03 2.20088000e+01
9.439520e+03 1.37643000e+01
9.439640e+03 9.32579000e+00
9.439770e+03 6.52573000e+00
9.439890e+03 4.74685000e+00
9.440020e+03 3.58558000e+00
9.440270e+03 2.21996000e+00
9.440510e+03 1.50076000e+00
9.441010e+03 8.11089000e-01
9.441510e+03 5.06160000e-01
9.442510e+03 2.51674000e-01
9.443510e+03 1.51082000e-01
9.445500e+03 7.33334000e-02
9.447500e+03 4.44058000e-02
9.451490e+03 2.29229000e-02
9.455480e+03 1.51823000e-02
9.471450e+03 7.60963000e-03
9.503390e+03 5.91443000e-03
9.535320e+03 6.00591000e-03
9.567260e+03 6.73683000e-03
9.599200e+03 8.54140000e-03
9.615160e+03 1.03891000e-02
9.631130e+03 1.37822000e-02
9.647100e+03 2.10268000e-02
9.655080e+03 2.82024000e-02
9.663070e+03 4.11758000e-02
9.667060e+03 5.20070000e-02
9.671050e+03 6.83941000e-02
9.675040e+03 9.48992000e-02
9.679040e+03 1.41937000e-01
9.681030e+03 1.80483000e-01
9.683030e+03 2.37743000e-01
9.685020e+03 3.28065000e-01
9.687020e+03 4.82619000e-01
9.689020e+03 7.79757000e-01
9.690010e+03 1.04290000e+00
9.691010e+03 1.46349000e+00
9.692010e+03 2.19254000e+00
9.692510e+03 2.77229000e+00
9.693010e+03 3.60327000e+00
9.693510e+03 4.84127000e+00
9.693760e+03 5.69465000e+00
9.694010e+03 6.76455000e+00
9.694260e+03 8.12906000e+00
9.694510e+03 9.86569000e+00
9.694750e+03 1.20826000e+01
9.695000e+03 1.48756000e+01
9.695300e+03 1.90239000e+01
9.695600e+03 2.35982000e+01
9.696200e+03 2.83731000e+01
9.696500e+03 2.60869000e+01
9.696800e+03 2.18175000e+01
9.697400e+03 1.34874000e+01
9.697990e+03 8.36678000e+00
9.698580e+03 5.49284000e+00
9.699170e+03 3.81992000e+00
9.699760e+03 2.78801000e+00
9.700360e+03 2.11553000e+00
9.700950e+03 1.65621000e+00
9.702130e+03 1.09054000e+00
9.703310e+03 7.70577000e-01
9.704490e+03 5.72931000e-01
9.706860e+03 3.52299000e-01
9.709220e+03 2.38718000e-01
9.711580e+03 1.72762000e-01
9.713950e+03 1.31130000e-01
9.716310e+03 1.03191000e-01
9.721040e+03 6.92003000e-02
9.725770e+03 5.01117000e-02
9.730500e+03 3.83354000e-02
9.735230e+03 3.05642000e-02
9.744680e+03 2.12713000e-02
9.754140e+03 1.61413000e-02
9.773050e+03 1.09715000e-02
9.791960e+03 8.55461000e-03
9.810880e+03 7.23965000e-03
9.848700e+03 5.94747000e-03
