Gd-158(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1452.06 1.49111
1452.30 1.59499
1452.54 1.71084
1452.77 1.84054
1453.01 1.98634
1453.24 2.15097
1453.48 2.33778
1453.95 2.79540
1454.42 3.40602
1454.90 4.24729
1455.37 5.44410
1455.84 7.22895
1456.31 10.0500
1456.55 12.1118
1456.78 14.8612
1457.02 18.6265
1457.26 23.9438
1457.49 31.7177
1457.73 43.5099
1457.96 61.9798
1458.20 91.0364
1458.50 145.021
1458.80 179.847
1459.10 143.254
1459.40 89.6335
1459.64 60.2990
1459.89 41.9606
1460.13 30.3970
1460.38 22.8669
1460.86 14.1017
1461.35 9.50248
1461.84 6.81188
1462.33 5.11771
1463.30 3.18608
1464.28 2.17293
1465.25 1.57738
1466.23 1.19813
1467.20 0.942101
1469.15 0.627889
1471.10 0.449897
1473.05 0.339193
1475.00 0.265667
1478.90 0.176885
1482.80 0.127261
1486.70 0.0966550
1490.59 0.0764230
1498.39 0.0521638
1506.19 0.0387976
1521.79 0.0259032
1537.38 0.0218407
1545.18 0.0224582
1552.98 0.0258839
1560.78 0.0354908
1564.68 0.0458321
1568.58 0.0652259
1570.53 0.0817803
1572.48 0.107210
1574.43 0.149120
1576.38 0.225256
1577.35 0.289132
1578.33 0.386163
1579.30 0.543934
1580.28 0.825636
1580.76 1.05865
1581.25 1.40659
1581.49 1.64972
1581.74 1.96207
1581.98 2.37260
1582.10 2.62801
1582.23 2.92435
1582.35 3.27690
1582.47 3.69715
1582.59 4.20352
1582.71 4.82110
1582.84 5.58473
1582.96 6.54392
1583.08 7.77088
1583.20 9.35887
1583.32 11.5009
1583.44 14.4560
1583.57 18.6816
1583.69 24.9290
1583.81 34.8298
1583.93 51.4379
1584.05 81.2688
1584.11 104.851
1584.17 136.313
1584.29 217.730
1584.40 271.569
1584.51 217.169
1584.63 135.866
1584.70 97.6141
1584.78 71.6447
1584.85 54.0536
1584.93 41.8911
1585.08 26.9541
1585.23 18.6837
1585.39 13.6324
1585.54 10.3632
1585.84 6.55803
1586.14 4.50794
1586.45 3.28904
1586.75 2.50244
1587.05 1.96904
1587.66 1.30975
1588.27 0.934210
1588.88 0.700301
1589.48 0.545065
1590.70 0.357728
1591.91 0.253585
1593.12 0.189688
1594.34 0.147742
1596.76 0.0977556
1599.19 0.0702353
1601.62 0.0534702
1604.04 0.0424947
1608.90 0.0294474
