51-Sb_n-tot
> 51-Sb-121:0.572100
> 51-Sb-123:0.427900
1.049740e+02 7.52985853e+02
1.050000e+02 5.45744750e+02
1.050250e+02 4.08871823e+02
1.050500e+02 3.16102550e+02
1.051010e+02 2.04374164e+02
1.051510e+02 1.43325420e+02
1.052020e+02 1.06555700e+02
1.052530e+02 8.28292276e+01
1.053280e+02 6.22699381e+01
1.053540e+02 5.51427564e+01
1.054550e+02 4.01731140e+01
1.055560e+02 3.11654451e+01
1.056570e+02 2.52987761e+01
1.057580e+02 2.12604810e+01
1.059610e+02 1.61793841e+01
1.061630e+02 1.32030197e+01
1.063650e+02 1.12957205e+01
1.065670e+02 9.99218832e+00
1.066590e+02 9.62069755e+00
1.069720e+02 8.35751719e+00
1.073760e+02 7.39645525e+00
1.077810e+02 6.77424173e+00
1.079910e+02 6.55074806e+00
1.081860e+02 6.34472242e+00
1.086570e+02 6.02637945e+00
1.089950e+02 5.80548428e+00
1.093230e+02 5.67856032e+00
1.096560e+02 5.56683880e+00
1.098040e+02 5.53250690e+00
1.099890e+02 5.51476029e+00
1.101560e+02 5.53036571e+00
1.103220e+02 5.60116673e+00
1.104050e+02 5.68508704e+00
1.104890e+02 5.85502319e+00
1.105300e+02 6.01838838e+00
1.105720e+02 6.31347448e+00
1.106130e+02 6.95131653e+00
1.106340e+02 7.58309624e+00
1.106550e+02 8.63857894e+00
1.106780e+02 1.03576084e+01
1.107000e+02 1.15194828e+01
1.107450e+02 8.87155503e+00
1.107790e+02 7.55734286e+00
1.108140e+02 7.10160507e+00
1.108820e+02 7.08289497e+00
1.109510e+02 7.61869107e+00
1.110190e+02 8.74563411e+00
1.110880e+02 1.10224278e+01
1.111220e+02 1.30555098e+01
1.111560e+02 1.62726671e+01
1.111900e+02 2.17652378e+01
