63-Eu_n-g
> 63-Eu-151:0.478100
> 63-Eu-153:0.521900
5.558050e+00 3.82631477e+01
5.575600e+00 3.70314091e+01
5.620030e+00 3.45729299e+01
5.682000e+00 3.60554219e+01
5.708630e+00 3.84853378e+01
5.743980e+00 4.25592548e+01
5.775140e+00 4.98359349e+01
5.805950e+00 5.80941357e+01
5.836940e+00 7.24855892e+01
5.841650e+00 7.60617121e+01
5.867930e+00 9.79240470e+01
5.898910e+00 1.43046034e+02
5.908160e+00 1.69006197e+02
5.929900e+00 2.32417712e+02
5.941420e+00 2.86001479e+02
5.954950e+00 3.50858947e+02
5.974680e+00 4.16148038e+02
5.980000e+00 4.35128271e+02
6.005100e+00 3.77762866e+02
6.007930e+00 3.67218278e+02
6.030200e+00 2.95616615e+02
6.041190e+00 2.78603418e+02
6.058060e+00 2.71155863e+02
6.074440e+00 2.85184856e+02
6.085930e+00 3.13390652e+02
6.091070e+00 3.29333961e+02
6.107700e+00 4.09409690e+02
6.113790e+00 4.49671213e+02
6.120780e+00 4.98141293e+02
6.133850e+00 6.02519037e+02
6.141650e+00 6.39839594e+02
6.160000e+00 7.31706460e+02
6.186150e+00 5.86000347e+02
6.197380e+00 4.94149721e+02
6.212300e+00 3.74040860e+02
6.228780e+00 2.79955104e+02
6.245260e+00 2.14046729e+02
6.253100e+00 1.95226545e+02
6.278230e+00 1.36632241e+02
6.311190e+00 9.62854726e+01
6.344150e+00 7.28597456e+01
6.364550e+00 6.36603537e+01
6.377110e+00 5.84607692e+01
6.410080e+00 4.95308736e+01
6.476000e+00 3.89788240e+01
6.476010e+00 3.89779041e+01
6.476020e+00 3.89771930e+01
6.476030e+00 3.89757707e+01
6.476060e+00 3.89728545e+01
6.476070e+00 3.89716736e+01
6.476110e+00 3.89670777e+01
6.476130e+00 3.89651973e+01
6.476230e+00 3.89556420e+01
6.476260e+00 3.89524907e+01
6.476450e+00 3.89325326e+01
6.476520e+00 3.89253892e+01
6.476900e+00 3.88867479e+01
6.477030e+00 3.88736265e+01
6.477800e+00 3.87958775e+01
6.478070e+00 3.87688031e+01
6.479590e+00 3.86169422e+01
6.480130e+00 3.85647525e+01
6.483190e+00 3.82706053e+01
6.484260e+00 3.81728156e+01
6.490370e+00 3.76211285e+01
6.492520e+00 3.74468054e+01
6.504740e+00 3.64825537e+01
6.509030e+00 3.62093153e+01
6.533480e+00 3.47578023e+01
6.542060e+00 3.44343230e+01
6.590960e+00 3.30355215e+01
6.608130e+00 3.29579966e+01
6.705910e+00 3.48753156e+01
6.740250e+00 3.60787404e+01
6.806310e+00 4.10284633e+01
6.820870e+00 4.28806683e+01
6.872380e+00 4.98092148e+01
6.935830e+00 6.54001583e+01
6.938440e+00 6.60554628e+01
6.971470e+00 8.07550184e+01
7.004500e+00 1.05756673e+02
7.027250e+00 1.32146690e+02
7.050000e+00 1.56158639e+02
7.095500e+00 1.71201285e+02
7.132900e+00 2.16397466e+02
7.151600e+00 2.58800371e+02
7.165740e+00 3.05721229e+02
7.170300e+00 3.20871395e+02
7.189000e+00 4.13137395e+02
7.207700e+00 5.54629049e+02
7.226400e+00 7.79324924e+02
7.245100e+00 1.14004025e+03
7.267550e+00 1.78313452e+03
7.290000e+00 2.22650729e+03
7.312450e+00 1.85796587e+03
7.334900e+00 1.31197285e+03
7.350350e+00 1.09460963e+03
7.365800e+00 1.01308418e+03
7.381250e+00 1.05778192e+03
7.395650e+00 1.22372640e+03
7.396700e+00 1.23583027e+03
7.407530e+00 1.44341278e+03
7.418350e+00 1.69692153e+03
7.440000e+00 2.00406458e+03
7.450830e+00 1.87501210e+03
7.461650e+00 1.59958925e+03
7.483300e+00 1.02531193e+03
7.509300e+00 6.03013535e+02
7.535300e+00 3.87205573e+02
7.561300e+00 2.69716485e+02
7.587300e+00 1.99961858e+02
7.625560e+00 1.44935925e+02
7.639300e+00 1.25248304e+02
7.691300e+00 8.83488469e+01
7.743300e+00 6.74432695e+01
