82-Pb_n-tot
> 82-Pb-204:0.014000
> 82-Pb-206:0.241000
> 82-Pb-207:0.221000
> 82-Pb-208:0.524000
3.778080e+03 1.07899159e+01
3.786650e+03 1.07895704e+01
3.790940e+03 1.07894947e+01
3.795230e+03 1.07896934e+01
3.797370e+03 1.07901660e+01
3.798440e+03 1.07906873e+01
3.799520e+03 1.07916743e+01
3.800590e+03 1.07937929e+01
3.801120e+03 1.07958695e+01
3.801660e+03 1.07995417e+01
3.801930e+03 1.08025328e+01
3.802200e+03 1.08069422e+01
3.802460e+03 1.08138173e+01
3.802730e+03 1.08253778e+01
3.803000e+03 1.08469889e+01
3.803130e+03 1.08655618e+01
3.803270e+03 1.08943292e+01
3.803400e+03 1.09419885e+01
3.803540e+03 1.10280817e+01
3.803600e+03 1.10985386e+01
3.803670e+03 1.12009024e+01
3.803740e+03 1.13528235e+01
3.803800e+03 1.15738042e+01
3.803900e+03 1.20481511e+01
3.804000e+03 1.23605712e+01
3.804100e+03 1.20440833e+01
3.804200e+03 1.15751172e+01
3.804310e+03 1.12330370e+01
3.804430e+03 1.10606041e+01
3.804550e+03 1.09687608e+01
3.804670e+03 1.09156192e+01
3.804780e+03 1.08825511e+01
3.804900e+03 1.08607261e+01
3.805130e+03 1.08348451e+01
3.805370e+03 1.08206146e+01
3.805600e+03 1.08120223e+01
3.806070e+03 1.08026380e+01
3.806540e+03 1.07978765e+01
3.807000e+03 1.07951399e+01
3.807940e+03 1.07922557e+01
3.808870e+03 1.07908336e+01
3.809810e+03 1.07900173e+01
3.811680e+03 1.07891354e+01
3.815420e+03 1.07883601e+01
3.819160e+03 1.07879558e+01
3.826630e+03 1.07874107e+01
3.834110e+03 1.07869633e+01
3.849070e+03 1.07861398e+01
3.864030e+03 1.07853430e+01
3.870550e+03 1.07850016e+01
3.923850e+03 1.07822496e+01
3.973230e+03 1.07797233e+01
3.983680e+03 1.07791991e+01
4.031570e+03 1.07768102e+01
4.043510e+03 1.07762138e+01
4.163170e+03 1.07702729e+01
4.178580e+03 1.07695129e+01
4.223000e+03 1.07673972e+01
4.252910e+03 1.07659977e+01
4.260390e+03 1.07656705e+01
4.267870e+03 1.07653965e+01
4.271610e+03 1.07653351e+01
4.275350e+03 1.07654879e+01
4.277220e+03 1.07658569e+01
4.278150e+03 1.07662635e+01
4.279080e+03 1.07670340e+01
4.280020e+03 1.07686877e+01
4.280490e+03 1.07703090e+01
4.280950e+03 1.07731696e+01
4.281420e+03 1.07789363e+01
4.281660e+03 1.07842870e+01
4.281890e+03 1.07932193e+01
4.282120e+03 1.08099215e+01
4.282240e+03 1.08242252e+01
4.282360e+03 1.08460652e+01
4.282470e+03 1.08822835e+01
4.282590e+03 1.09471384e+01
4.282710e+03 1.10755435e+01
4.282770e+03 1.11857424e+01
4.282820e+03 1.13466048e+01
4.282910e+03 1.16985168e+01
4.283000e+03 1.19300764e+01
4.283090e+03 1.16954024e+01
4.283180e+03 1.13479767e+01
4.283230e+03 1.11963451e+01
4.283280e+03 1.10912075e+01
4.283390e+03 1.09641018e+01
4.283500e+03 1.08966053e+01
4.283600e+03 1.08576201e+01
4.283710e+03 1.08333864e+01
4.283810e+03 1.08174033e+01
4.284030e+03 1.07984017e+01
4.284240e+03 1.07879796e+01
4.284450e+03 1.07817212e+01
4.284880e+03 1.07748697e+01
4.285300e+03 1.07713926e+01
4.285720e+03 1.07693953e+01
4.286570e+03 1.07672861e+01
4.287420e+03 1.07662437e+01
4.288270e+03 1.07656423e+01
4.289970e+03 1.07649897e+01
4.293360e+03 1.07644046e+01
4.296760e+03 1.07640906e+01
4.303550e+03 1.07636549e+01
4.310340e+03 1.07632920e+01
4.337500e+03 1.07619608e+01
4.391820e+03 1.07593712e+01
4.500460e+03 1.07542216e+01
4.589290e+03 1.07500221e+01
4.609100e+03 1.07491224e+01
4.636260e+03 1.07478966e+01
4.663420e+03 1.07466905e+01
4.677000e+03 1.07461163e+01
4.690580e+03 1.07456270e+01
4.697370e+03 1.07455014e+01
4.700770e+03 1.07455323e+01
4.704160e+03 1.07457195e+01
4.707560e+03 1.07462990e+01
4.709250e+03 1.07469530e+01
4.710950e+03 1.07482012e+01
4.712650e+03 1.07509146e+01
4.713500e+03 1.07535978e+01
4.714350e+03 1.07583838e+01
4.714770e+03 1.07623260e+01
4.715190e+03 1.07681709e+01
4.715620e+03 1.07774076e+01
4.716040e+03 1.07931449e+01
4.716470e+03 1.08233424e+01
4.716680e+03 1.08498864e+01
4.716890e+03 1.08920459e+01
4.717100e+03 1.09644594e+01
4.717320e+03 1.11026698e+01
4.717420e+03 1.12223427e+01
4.717530e+03 1.14060190e+01
4.717630e+03 1.16982992e+01
4.717740e+03 1.21675097e+01
4.717870e+03 1.30233813e+01
4.718000e+03 1.35953889e+01
4.718130e+03 1.30265926e+01
4.718260e+03 1.21715662e+01
4.718400e+03 1.15986633e+01
4.718540e+03 1.12887154e+01
4.718670e+03 1.11147470e+01
4.718810e+03 1.10109897e+01
4.718950e+03 1.09441924e+01
4.719090e+03 1.08995739e+01
4.719360e+03 1.08452280e+01
4.719640e+03 1.08148666e+01
4.719910e+03 1.07963817e+01
4.720460e+03 1.07759232e+01
4.721010e+03 1.07654509e+01
4.721560e+03 1.07594012e+01
4.722110e+03 1.07555830e+01
4.722660e+03 1.07530165e+01
4.723760e+03 1.07498757e+01
4.724860e+03 1.07480915e+01
4.727070e+03 1.07462124e+01
4.729270e+03 1.07452634e+01
4.731470e+03 1.07446922e+01
4.735870e+03 1.07440133e+01
4.744670e+03 1.07432601e+01
4.753480e+03 1.07427312e+01
4.771090e+03 1.07418346e+01
4.788700e+03 1.07409975e+01
4.859130e+03 1.07377498e+01
4.929570e+03 1.07345243e+01
5.000000e+03 1.07312965e+01
5.212070e+03 1.07220529e+01
5.424140e+03 1.07126711e+01
5.848280e+03 1.06931124e+01
6.060340e+03 1.06825219e+01
6.250000e+03 1.06718099e+01
6.272410e+03 1.06706030e+01
6.378450e+03 1.06636394e+01
6.431470e+03 1.06594540e+01
6.484480e+03 1.06543735e+01
6.537500e+03 1.06475897e+01
6.564010e+03 1.06429885e+01
6.590520e+03 1.06368786e+01
6.603770e+03 1.06329136e+01
6.617030e+03 1.06280093e+01
6.630280e+03 1.06217270e+01
6.643530e+03 1.06133307e+01
6.650160e+03 1.06079754e+01
6.656790e+03 1.06015754e+01
6.663420e+03 1.05939047e+01
6.670040e+03 1.05849356e+01
6.676670e+03 1.05758890e+01
6.678330e+03 1.05742143e+01
6.679980e+03 1.05732231e+01
6.681640e+03 1.05734022e+01
6.683300e+03 1.05755712e+01
6.684130e+03 1.05778149e+01
6.684950e+03 1.05811605e+01
6.685780e+03 1.05859783e+01
6.686610e+03 1.05927546e+01
6.687440e+03 1.06022011e+01
6.688270e+03 1.06152791e+01
6.689100e+03 1.06334169e+01
6.689920e+03 1.06587037e+01
6.690750e+03 1.06943366e+01
6.691580e+03 1.07450910e+01
6.692410e+03 1.08188193e+01
6.693240e+03 1.09279284e+01
6.694070e+03 1.10938006e+01
6.694890e+03 1.13519792e+01
6.695720e+03 1.17632335e+01
6.696550e+03 1.24206163e+01
6.697780e+03 1.40021612e+01
6.699000e+03 1.54929164e+01
6.699610e+03 1.55147530e+01
6.700230e+03 1.50461133e+01
6.701450e+03 1.37249965e+01
6.702270e+03 1.30227192e+01
6.703080e+03 1.25124941e+01
6.704710e+03 1.18808236e+01
6.706340e+03 1.15332859e+01
6.707970e+03 1.13244448e+01
6.709600e+03 1.11887930e+01
