73-Ta_n-tot
> 73-Ta-181:1.000000
5.898780e+01 1.51023000e+01
5.899920e+01 1.81059000e+01
5.901060e+01 2.29080000e+01
5.902190e+01 3.06494000e+01
5.903600e+01 4.50846000e+01
5.905000e+01 5.51759000e+01
5.906410e+01 4.61770000e+01
5.907810e+01 3.20089000e+01
5.909380e+01 2.20361000e+01
5.910940e+01 1.67455000e+01
5.912510e+01 1.38118000e+01
5.914070e+01 1.20643000e+01
5.915640e+01 1.09505000e+01
5.917200e+01 1.02014000e+01
5.920330e+01 9.28860000e+00
5.923460e+01 8.77400000e+00
5.926600e+01 8.45420000e+00
5.932860e+01 8.08994000e+00
5.939120e+01 7.89387000e+00
5.945380e+01 7.77304000e+00
5.957900e+01 7.63135000e+00
5.982950e+01 7.49113000e+00
6.007990e+01 7.41191000e+00
6.058080e+01 7.31385000e+00
6.108180e+01 7.27403000e+00
6.158270e+01 7.35634000e+00
6.183310e+01 7.52063000e+00
6.208360e+01 7.90524000e+00
6.220880e+01 8.27264000e+00
6.233400e+01 8.87438000e+00
6.245930e+01 9.91859000e+00
6.258450e+01 1.18933000e+01
6.264710e+01 1.35811000e+01
6.270970e+01 1.61603000e+01
6.277230e+01 2.03451000e+01
6.283500e+01 2.77091000e+01
6.289760e+01 4.22918000e+01
6.292890e+01 5.54980000e+01
6.296020e+01 7.69810000e+01
6.299150e+01 1.15035000e+02
6.300710e+01 1.45850000e+02
6.302280e+01 1.90737000e+02
6.303850e+01 2.59032000e+02
6.305410e+01 3.67937000e+02
6.306980e+01 5.50100000e+02
6.308540e+01 8.60600000e+02
6.310270e+01 1.38946000e+03
6.312000e+01 1.75580000e+03
6.313730e+01 1.42198000e+03
6.315460e+01 9.01257000e+02
6.316800e+01 6.24696000e+02
6.318130e+01 4.46767000e+02
6.319460e+01 3.31655000e+02
6.320800e+01 2.54982000e+02
6.323470e+01 1.64159000e+02
6.326140e+01 1.15273000e+02
6.328810e+01 8.62163000e+01
6.331470e+01 6.76046000e+01
6.336810e+01 4.60277000e+01
6.342150e+01 3.44508000e+01
6.347490e+01 2.75083000e+01
6.352830e+01 2.30049000e+01
6.358160e+01 1.99087000e+01
6.368840e+01 1.60216000e+01
6.379510e+01 1.37472000e+01
6.390190e+01 1.22891000e+01
6.400860e+01 1.12908000e+01
6.422220e+01 1.00337000e+01
6.443570e+01 9.28736000e+00
6.464920e+01 8.79766000e+00
6.486270e+01 8.45232000e+00
6.528970e+01 7.99469000e+00
6.571670e+01 7.69907000e+00
6.657070e+01 7.31886000e+00
6.742480e+01 7.06026000e+00
6.827880e+01 6.85219000e+00
6.998690e+01 6.48920000e+00
7.169490e+01 6.12554000e+00
7.254900e+01 5.92608000e+00
7.340300e+01 5.70850000e+00
7.425700e+01 5.48126000e+00
7.468400e+01 5.38433000e+00
7.511100e+01 5.34704000e+00
7.553810e+01 5.52112000e+00
7.575160e+01 5.84411000e+00
7.596510e+01 6.60220000e+00
7.607180e+01 7.33048000e+00
7.617860e+01 8.52832000e+00
7.628530e+01 1.06154000e+01
7.639210e+01 1.45759000e+01
7.644550e+01 1.79672000e+01
7.649890e+01 2.31555000e+01
