Pd-110(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
960.002 0.192572
960.330 0.144315
960.657 0.112632
961.313 0.0748191
961.969 0.0539025
963.280 0.0326517
964.592 0.0225588
965.903 0.0169722
968.526 0.0113503
973.772 0.00756538
979.017 0.00700136
984.263 0.00830453
989.509 0.0126731
992.132 0.0176190
994.754 0.0273960
996.066 0.0362126
997.377 0.0505534
998.689 0.0761508
999.344 0.0972311
1000.00 0.128693
1000.53 0.167197
1001.06 0.226232
1001.60 0.323466
1002.13 0.500635
1002.39 0.649726
1002.66 0.877063
1002.93 1.24874
1003.19 1.91874
1003.33 2.47652
1003.46 3.31807
1003.59 4.67404
1003.72 7.06703
1003.79 9.03461
1003.86 11.8978
1003.92 16.4509
1003.99 24.0426
1004.06 38.6312
1004.09 51.1548
1004.12 70.7484
1004.16 103.691
1004.19 164.560
1004.21 217.414
1004.22 291.296
1004.24 411.307
1004.26 583.992
1004.28 944.154
1004.30 1170.96
1004.32 927.439
1004.35 583.992
1004.37 370.318
1004.39 246.170
1004.41 172.477
1004.43 128.232
1004.47 76.3186
1004.51 50.7017
1004.55 35.7374
1004.59 26.6769
1004.68 16.3709
1004.76 11.0477
1004.84 7.95027
1004.93 5.99243
1005.01 4.67726
1005.18 3.07580
1005.34 2.17527
1005.51 1.61929
1005.67 1.25217
1006.01 0.812846
1006.34 0.570033
1006.67 0.421876
1007.00 0.325118
1007.66 0.209923
1008.33 0.146801
1008.99 0.108509
1009.66 0.0835737
1010.98 0.0540553
1012.31 0.0379463
1014.97 0.0218286
1017.62 0.0143145
1020.28 0.0102042
1025.59 0.00607446
1030.90 0.00413013
1036.21 0.00305358
1046.83 0.00195204
1057.45 0.00142133
1068.07 0.00112460
1089.30 0.000835826
1110.54 0.000758546
1131.78 0.000917425
1142.40 0.00124086
1153.02 0.00223225
1158.33 0.00364444
1163.64 0.00769343
1166.30 0.0133557
1167.63 0.0190403
1168.95 0.0294660
1170.28 0.0518939
1170.95 0.0743268
1171.61 0.115278
1171.94 0.149907
1172.27 0.202912
1172.61 0.290024
1172.94 0.447609
1173.10 0.580057
1173.27 0.781350
1173.43 1.10896
1173.60 1.69564
1173.68 2.18083
1173.77 2.90809
1173.85 4.06950
1173.93 6.09273
1174.02 10.0940
1174.06 13.8028
1174.10 19.7833
1174.14 30.9626
1174.16 40.3878
1174.18 53.8616
1174.20 76.3585
1174.22 112.728
1174.24 182.882
1174.26 319.238
1174.28 510.956
1174.30 637.664
1174.32 510.957
1174.34 318.361
1174.35 197.311
1174.37 128.365
1174.39 88.5734
1174.41 64.2362
1174.43 48.4903
1174.44 37.7994
1174.48 24.7196
1174.52 17.3725
1174.55 12.8567
1174.62 7.84035
1174.70 5.27020
1174.77 3.78244
1174.84 2.84541
1174.91 2.22486
1175.06 1.45908
1175.20 1.03225
1175.34 0.767120
1175.49 0.593429
1175.77 0.384365
1176.06 0.269423
1176.35 0.199314
1176.63 0.153426
1177.21 0.0989317
1177.78 0.0691426
1178.93 0.0392925
1180.08 0.0253677
1181.23 0.0177772
1183.53 0.0101949
1188.12 0.00475124
1192.71 0.00283740
1201.90 0.00146480
1211.09 0.000984166
1247.85 0.000565298
1266.23 0.000593240
1284.60 0.000805894
1302.98 0.00208195
1307.58 0.00341241
1312.17 0.00720422
1314.47 0.0124956
1316.77 0.0275140
1317.92 0.0483782
1318.49 0.0691866
1319.06 0.107152
1319.64 0.188212
1319.93 0.268392
1320.21 0.413413
1320.36 0.535065
1320.50 0.717941
1320.64 1.01614
1320.79 1.54226
1320.86 1.97685
1320.93 2.62424
1321.00 3.64935
1321.07 5.38059
1321.15 8.76597
1321.18 11.7856
1321.22 16.6499
1321.25 25.1816
1321.29 42.0125
1321.31 57.1008
1321.33 81.0815
1321.34 121.013
1321.36 185.246
1321.38 295.522
1321.40 370.544
1321.42 295.521
1321.44 185.247
1321.45 133.159
1321.47 98.4311
1321.49 58.1561
1321.52 37.1030
1321.55 25.8349
1321.57 18.7388
1321.60 14.3185
1321.65 9.11306
1321.70 6.25315
1321.76 4.57657
1321.81 3.47537
1321.86 2.73966
1321.97 1.82073
1322.07 1.29677
1322.18 0.970183
1322.28 0.753031
1322.49 0.490442
1322.70 0.345167
1323.12 0.197524
1323.54 0.127688
1323.96 0.0893917
1324.80 0.0508533
1325.64 0.0328434
1326.49 0.0230013
1328.17 0.0131667
1331.53 0.00609479
1334.89 0.00360973
1341.62 0.00183264
1348.35 0.00121481
1361.80 0.000789846
1375.25 0.000668904
1388.71 0.000658613
1402.16 0.000761312
1415.62 0.00138908
1422.34 0.00386088
1424.02 0.00640396
1425.71 0.0136085
1426.55 0.0236049
1427.39 0.0517625
1427.81 0.0905377
1428.23 0.197943
1428.44 0.342712
1428.54 0.483428
1428.65 0.732639
1428.75 1.23861
1428.81 1.71977
1428.86 2.52450
1428.91 4.09536
1428.94 5.45559
1428.96 7.60984
1428.99 11.4888
1429.02 18.6973
1429.03 24.9516
1429.04 34.5780
1429.06 49.9713
1429.07 76.5884
1429.08 121.331
1429.10 152.936
1429.12 121.332
1429.13 76.3459
1429.14 54.7210
1429.15 39.6405
1429.16 29.5956
1429.18 22.7476
1429.20 14.4647
1429.22 10.0839
1429.24 7.30333
1429.26 5.58760
1429.30 3.52919
1429.35 2.40616
1429.39 1.75534
1429.48 1.05098
1429.56 0.695658
1429.65 0.495950
1429.82 0.288457
1430.00 0.188062
1430.17 0.132550
1430.51 0.0759835
1431.20 0.0346004
1431.89 0.0198836
1433.27 0.00924259
1434.65 0.00548919
1440.18 0.00185413
1451.22 0.000975202
1462.27 0.000855580
1473.32 0.000859075
1495.41 0.000989971
1517.50 0.00124261
1539.59 0.00167189
1561.68 0.00245978
1572.73 0.00315017
1583.78 0.00435646
1589.30 0.00548068
1594.82 0.00785017
1597.58 0.0106396
1600.34 0.0179112
1601.73 0.0276699
1603.11 0.0548501
1603.80 0.0922940
1604.14 0.129443
1604.49 0.196929
1604.83 0.339757
1605.00 0.480767
1605.18 0.732425
1605.26 0.943706
1605.35 1.25796
1605.44 1.76106
1605.52 2.64071
1605.57 3.37071
1605.61 4.42044
1605.65 6.04657
1605.69 8.75820
1605.74 13.7688
1605.76 18.1463
1605.78 24.5420
1605.80 35.4887
1605.82 53.9205
1605.85 91.4603
1605.86 123.778
1605.87 166.704
1605.88 265.864
1605.90 332.925
1605.92 265.865
1605.93 166.214
1605.95 110.577
1605.96 76.4517
1605.98 55.1145
1605.99 41.2629
1606.02 24.9269
1606.05 16.7703
1606.08 11.8820
1606.10 8.92723
1606.16 5.51388
1606.22 3.73677
1606.28 2.69754
1606.33 2.03841
1606.39 1.60102
1606.50 1.05617
1606.62 0.751422
1606.84 0.436282
1607.07 0.285425
1607.30 0.202383
1607.75 0.118432
1608.21 0.0789543
1608.66 0.0574108
1609.57 0.0359202
1611.39 0.0207462
1613.20 0.0157852
1616.84 0.0131478
1620.47 0.0134251
1627.74 0.0173670
1635.01 0.0260112
1638.65 0.0334861
1642.28 0.0449659
1645.92 0.0638152
1649.55 0.0979200
1651.37 0.126411
1653.19 0.169503
1655.01 0.239268
1655.91 0.291587
1656.37 0.324402
1656.82 0.363094
1657.28 0.409263
1657.73 0.464703
1658.19 0.532386
1658.64 0.615796
1659.10 0.720695
1659.55 0.854481
1660.00 1.02918
1660.46 1.26324
1660.91 1.58760
1661.37 2.05262
1661.82 2.75365
1662.27 3.87875
1662.73 5.84764
1662.96 7.42223
1663.18 9.69621
1663.41 13.1202
1663.64 18.5225
1663.86 27.4393
1664.09 42.3963
1664.35 67.8637
1664.60 84.7333
1664.86 67.7312
1665.11 42.3711
1665.33 27.6223
1665.55 18.7805
1665.78 13.3534
1666.00 9.90783
1666.44 6.00047
1666.89 3.99667
1667.33 2.84117
1667.78 2.12104
1668.67 1.30780
1669.56 0.884903
1670.45 0.638283
1671.33 0.482020
1672.22 0.376889
1674.00 0.248690
1675.78 0.176693
1677.56 0.132388
1679.34 0.103424
1682.89 0.0701327
1686.45 0.0564792
1688.23 0.0580646
1689.12 0.0635086
1690.01 0.0760890
1690.90 0.106159
1691.34 0.137379
1691.79 0.195048
1692.23 0.319080
1692.45 0.441825
1692.68 0.663443
1692.79 0.850092
1692.90 1.12987
1693.01 1.58109
1693.12 2.37833
1693.18 3.03573
1693.23 3.99052
1693.29 5.51579
1693.34 8.05671
1693.40 12.9720
1693.43 17.2909
1693.45 23.8280
1693.48 35.3079
1693.51 57.0031
1693.52 75.5888
1693.54 103.797
1693.55 147.983
1693.56 212.598
1693.58 339.394
1693.60 425.197
1693.62 339.395
1693.64 212.601
1693.65 156.124
1693.66 114.433
1693.68 68.0873
1693.71 43.5545
1693.73 30.4274
1693.75 22.0941
1693.78 16.9173
1693.82 10.8015
1693.87 7.42477
1693.92 5.41323
1694.01 3.25806
1694.10 2.16811
1694.20 1.55362
1694.29 1.16972
1694.38 0.914005
1694.57 0.604027
1694.76 0.432256
1695.13 0.256837
1695.50 0.173575
1695.88 0.127707
1696.62 0.0811050
1698.11 0.0462758
1699.61 0.0330094
1701.10 0.0261593
1702.59 0.0219417
1705.58 0.0168723
1711.55 0.0116641
1717.52 0.00881620
1729.46 0.00568882
1741.40 0.00403109
1753.35 0.00304644
1765.29 0.00245595
1777.23 0.00235725
1783.20 0.00357263
1786.18 0.00897496
1787.68 0.0303456
1788.05 0.0519871
1788.42 0.111877
1788.61 0.192648
1788.80 0.407836
1788.89 0.688808
1788.98 1.39003
1789.03 2.23623
1789.05 2.95862
1789.08 4.08791
1789.10 6.09498
1789.12 9.70346
1789.14 12.9008
1789.15 17.2735
1789.16 24.6170
1789.17 35.3276
1789.19 56.9809
1789.20 70.5398
1789.22 56.9814
1789.23 35.2134
1789.25 21.1451
1789.26 13.5732
1789.28 9.28265
1789.30 6.69119
1789.33 3.90796
1789.36 2.54481
1789.39 1.78376
1789.42 1.31785
1789.49 0.802188
1789.62 0.386771
1789.74 0.227089
1790.00 0.105908
1790.26 0.0614496
1790.77 0.0287117
1791.28 0.0169740
1793.33 0.00541727
1797.42 0.00241287
1805.62 0.00155739
1813.81 0.00134697
1822.00 0.00128514
1830.19 0.00136653
