Rh-103(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
388.787 1.48865
388.821 1.08329
388.855 0.822861
388.889 0.647438
388.957 0.434770
389.025 0.316050
389.093 0.243582
389.229 0.163502
389.365 0.122706
389.500 0.0992579
389.772 0.0748507
390.315 0.0569346
390.859 0.0510453
393.032 0.0494287
395.206 0.0563362
397.380 0.0698491
399.553 0.0974202
400.640 0.123804
401.727 0.170662
402.814 0.268185
403.357 0.363379
403.901 0.533840
404.172 0.675147
404.444 0.887720
404.716 1.22918
404.988 1.82960
405.259 3.03581
405.395 4.15709
405.531 6.04429
405.667 9.58876
405.735 12.6473
405.803 17.4087
405.871 25.3726
405.939 39.9163
405.973 51.9879
406.006 69.6855
406.040 96.4330
406.074 136.629
406.098 175.014
406.122 218.699
406.170 273.266
406.194 257.081
406.218 218.488
406.266 136.596
406.307 89.2426
406.349 60.6890
406.391 43.2249
406.432 32.0989
406.516 19.4705
406.599 12.9852
406.683 9.24876
406.766 6.91738
406.933 4.28608
407.099 2.91889
407.266 2.12052
407.433 1.61475
407.599 1.27455
407.933 0.859988
408.266 0.627005
408.600 0.483506
408.933 0.389178
409.600 0.277389
410.266 0.217047
411.600 0.159867
412.933 0.137907
414.267 0.131125
416.934 0.140721
419.601 0.173530
422.268 0.237163
424.935 0.362094
426.268 0.476328
426.935 0.575452
427.269 0.699296
427.435 0.927180
427.519 1.31148
427.560 1.76859
427.602 2.68446
427.636 3.92097
427.670 4.74366
427.704 3.92853
427.738 2.70708
427.777 1.84427
427.816 1.40309
427.894 1.03120
428.050 0.840499
428.361 0.815483
428.984 0.943292
430.230 1.43961
430.853 1.86853
431.476 2.54570
432.098 3.83292
432.410 5.47384
432.488 6.41300
432.566 8.14628
432.605 9.70321
432.644 12.2628
432.682 16.8554
432.721 25.5682
432.756 37.9342
432.790 46.1969
432.824 38.1876
432.859 26.1497
432.895 18.1202
432.932 13.8735
433.005 10.2918
433.151 8.81814
433.444 10.2199
433.737 13.7266
433.883 16.3989
434.029 20.0006
434.176 24.9822
434.322 32.1047
434.468 42.7642
434.615 59.6808
434.761 88.7231
434.834 111.589
434.907 144.014
434.981 191.830
435.054 264.971
435.127 381.206
435.200 566.867
435.290 905.335
435.380 1130.18
435.471 902.974
435.561 563.364
435.626 396.437
435.690 286.044
435.755 212.968
435.819 163.430
435.948 103.684
436.077 71.0564
436.206 51.5220
436.335 38.9960
436.592 24.4986
436.850 16.7766
437.108 12.1968
437.366 9.26226
437.624 7.27123
438.139 4.82183
438.655 3.43099
439.171 2.56684
439.686 1.99401
440.718 1.30700
441.749 0.930806
442.781 0.724152
443.296 0.726391
443.425 0.783072
443.554 0.940757
443.619 1.12311
443.683 1.49385
443.715 1.83409
443.747 2.38188
443.780 3.31144
443.812 4.92225
443.846 7.54786
443.880 9.29776
443.914 7.54074
443.948 4.90761
443.972 3.61391
443.997 2.75484
444.045 1.79622
444.093 1.32415
444.142 1.06425
444.238 0.803513
444.335 0.680673
444.528 0.566855
444.722 0.512483
445.495 0.423583
446.268 0.408961
446.655 0.489322
446.752 0.564537
446.849 0.733092
446.897 0.905482
446.945 1.22044
446.994 1.86493
447.018 2.44399
447.042 3.31245
447.076 5.08703
447.110 6.27052
447.144 5.08791
447.178 3.31396
447.221 1.98685
447.263 1.33980
447.305 1.00277
447.348 0.810999
447.432 0.616934
447.517 0.528371
447.686 0.457972
447.855 0.439348
448.194 0.461761
448.532 0.549313
448.870 0.758864
449.040 0.967668
449.209 1.33647
449.378 2.07114
449.463 2.74346
449.547 3.85436
449.632 5.87596
449.674 7.56512
449.716 10.1076
449.759 14.1550
449.801 21.0531
449.843 33.7374
449.886 58.1890
449.904 74.4979
449.923 93.0311
449.960 116.170
449.997 92.9215
450.035 58.1752
450.079 32.8396
450.123 20.1401
450.168 13.3876
450.212 9.48486
450.257 7.05836
450.301 5.45781
450.390 3.55501
450.479 2.51413
450.568 1.88634
450.745 1.19917
450.923 0.850753
451.100 0.649792
451.456 0.437278
451.811 0.331543
452.166 0.270202
452.877 0.203129
454.298 0.144138
455.719 0.115451
458.561 0.0845086
461.403 0.0671917
467.087 0.0512990
468.508 0.0521978
469.929 0.0609041
470.640 0.0752817
470.995 0.0900388
471.351 0.117000
471.706 0.173599
471.883 0.228339
472.061 0.324466
472.239 0.516812
472.328 0.694335
472.416 0.991097
472.505 1.54140
472.550 2.01055
472.594 2.73140
472.638 3.91253
472.683 6.01206
472.727 10.1246
472.749 13.6558
472.772 18.7879
472.806 30.0663
472.840 37.5606
472.874 30.0332
472.909 18.7904
472.933 13.3190
472.956 9.68268
472.980 7.25447
473.004 5.59474
473.052 3.57781
473.100 2.47163
473.148 1.80551
473.196 1.37761
473.291 0.880298
473.387 0.614736
473.483 0.456845
473.674 0.286739
473.865 0.201884
474.057 0.153596
474.439 0.103468
474.822 0.0792931
475.205 0.0658064
475.970 0.0521680
477.501 0.0445374
478.267 0.0524093
478.458 0.0613620
478.649 0.0842623
478.745 0.111434
478.841 0.171485
478.889 0.232544
478.936 0.343670
478.984 0.569947
479.008 0.771778
479.032 1.07453
479.066 1.69725
479.100 2.11061
479.134 1.69536
479.168 1.07456
479.196 0.728068
479.225 0.514618
479.281 0.294661
479.338 0.194957
479.394 0.143008
