Cr-50(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
82730.6 0.000250440
83923.9 0.000227783
86310.5 0.000262168
87503.8 0.000328779
87802.1 0.000364875
88100.5 0.000438741
88398.8 0.000750794
88548.0 0.00189489
88585.3 0.00304552
88622.5 0.00623355
88641.2 0.0105326
88659.8 0.0221156
88669.2 0.0371853
88673.8 0.0513501
88678.5 0.0755302
88683.1 0.121854
88685.5 0.162733
88687.8 0.227846
88690.1 0.340199
88692.5 0.556280
88693.6 0.745925
88694.8 1.03696
88696.0 1.50950
88697.1 2.27601
88698.5 3.63904
88699.9 4.55337
88701.3 3.64126
88702.7 2.27776
88703.6 1.64008
88704.5 1.20410
88706.4 0.706180
88708.2 0.455318
88710.1 0.315386
88711.9 0.230469
88713.8 0.175423
88717.5 0.111102
88721.2 0.0765390
88724.9 0.0559079
88732.3 0.0335989
88739.7 0.0224502
88747.1 0.0160978
88761.9 0.00951008
88791.5 0.00458024
88821.1 0.00279271
88880.3 0.00148983
88939.5 0.00102995
89057.9 0.000707424
89176.3 0.000604985
89413.1 0.000566227
89531.5 0.000612509
89590.7 0.000787301
89620.3 0.00145762
89635.1 0.00405672
89642.5 0.0139169
89646.2 0.0494428
89648.0 0.164972
89649.0 0.478978
89649.4 1.09256
89649.9 3.71466
89650.2 7.43336
89650.5 3.71643
89650.9 1.47210
89651.2 0.735358
89651.9 0.282944
89653.2 0.0900709
89655.8 0.0257856
89661.1 0.00727983
89671.7 0.00230272
89692.9 0.00101718
89735.3 0.000698427
89820.0 0.000640459
89989.4 0.000716877
90158.8 0.00114067
90243.5 0.00272820
90285.9 0.00882229
90307.1 0.0316089
90312.4 0.0537087
90317.7 0.111428
90320.3 0.183741
90322.9 0.356772
90324.3 0.552956
90325.6 0.957110
90326.3 1.33936
90326.9 1.98298
90327.6 3.14610
90328.2 5.35516
90328.8 8.58284
90329.4 10.6975
90330.0 8.56771
90330.6 5.34335
90331.1 3.69236
90331.6 2.63229
90332.5 1.47084
90333.4 0.920760
90334.3 0.628121
90336.1 0.341146
90337.9 0.213642
90341.5 0.106020
90345.2 0.0632285
90352.4 0.0300251
90359.7 0.0176441
90388.7 0.00508058
90446.8 0.00179477
90562.9 0.000977130
90795.1 0.000826298
91259.5 0.000937237
91491.7 0.00103809
91723.9 0.00116413
91840.0 0.00123790
91956.1 0.00131991
92072.2 0.00141123
92188.3 0.00151312
92304.4 0.00162714
92420.5 0.00175507
92536.6 0.00189912
92652.7 0.00206188
92768.9 0.00224651
92885.0 0.00245676
93117.2 0.00297331
93349.4 0.00366046
93581.6 0.00458881
93813.8 0.00585595
94046.0 0.00757955
94264.3 0.00969195
