Mo-95(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
318.061 0.0354573
319.894 0.0395522
323.560 0.0530705
325.393 0.0669103
326.310 0.0789272
327.226 0.0990765
328.143 0.139067
328.601 0.177052
329.059 0.243846
329.517 0.379898
329.747 0.508989
329.976 0.732256
330.205 1.16979
330.319 1.56601
330.434 2.21410
330.548 3.38017
330.606 4.34311
330.663 5.77287
330.720 8.01658
330.778 11.7564
330.835 18.4147
330.892 30.6717
330.946 48.9452
331.000 61.0903
331.054 48.9524
331.108 30.6816
331.161 19.0438
331.215 12.4649
331.268 8.64667
331.321 6.30200
331.375 4.78061
331.428 3.74543
331.534 2.47711
331.641 1.76244
331.748 1.32272
331.961 0.834168
332.174 0.583867
332.387 0.439348
332.813 0.288199
333.240 0.215681
333.666 0.176074
334.518 0.138208
336.223 0.118437
337.929 0.122020
341.339 0.157995
344.749 0.235707
346.454 0.302849
348.159 0.406022
349.864 0.575628
351.570 0.883096
352.422 1.14040
353.275 1.53056
354.127 2.16365
354.980 3.29239
355.406 4.22208
355.832 5.61009
356.259 7.81490
356.685 11.6255
356.898 14.6689
357.111 19.0744
357.324 25.7926
357.538 36.7373
357.751 56.2864
357.857 72.3144
357.964 95.9674
358.070 132.710
358.177 193.074
358.284 298.655
358.390 488.777
358.495 782.695
358.600 978.742
358.705 782.226
358.810 488.304
358.905 313.854
359.000 210.766
359.095 148.737
359.190 109.654
359.380 65.8972
359.570 43.6449
359.760 30.9241
359.950 23.0196
360.329 14.1436
360.709 9.54936
361.089 6.87400
361.469 5.18174
361.849 4.04446
362.608 2.65901
363.368 1.87994
364.128 1.39892
364.887 1.08140
366.407 0.701570
367.926 0.491795
369.445 0.363908
370.965 0.280259
374.003 0.181159
377.042 0.126968
380.080 0.0941738
383.119 0.0728540
383.119 0.0728528
383.120 0.0728494
383.120 0.0728465
383.121 0.0728402
383.123 0.0728282
383.128 0.0728036
383.136 0.0727549
383.153 0.0726572
383.188 0.0724624
383.256 0.0720759
383.392 0.0713125
383.666 0.0698233
384.212 0.0669873
385.305 0.0618339
387.491 0.0532450
391.863 0.0409384
400.607 0.0271858
409.351 0.0214903
411.537 0.0218644
413.723 0.0253374
414.816 0.0310887
415.362 0.0370030
415.909 0.0478248
416.455 0.0705594
416.729 0.0925699
417.002 0.131223
417.275 0.208563
417.412 0.279958
417.548 0.399314
417.685 0.620641
417.753 0.809321
417.821 1.09921
417.890 1.57415
417.958 2.41823
418.026 4.07102
418.061 5.49211
418.095 7.55044
418.147 12.0705
418.200 15.0837
418.253 12.0720
418.305 7.55224
418.350 4.98956
418.395 3.42421
418.440 2.45658
418.485 1.83397
418.574 1.12369
418.664 0.756091
418.753 0.543271
418.843 0.410006
419.022 0.259080
419.201 0.180342
419.380 0.134262
419.738 0.0852526
420.097 0.0610904
420.455 0.0474176
421.171 0.0332598
421.888 0.0263992
422.604 0.0225182
424.037 0.0184248
426.903 0.0150773
429.769 0.0136035
441.232 0.0118591
446.964 0.0123698
452.696 0.0145478
455.562 0.0170834
458.427 0.0219992
461.293 0.0330031
462.726 0.0443250
464.159 0.0655942
464.159 0.0655983
464.160 0.0656129
464.161 0.0656275
464.162 0.0656546
464.165 0.0657110
464.170 0.0658220
464.180 0.0660448
464.202 0.0664944
464.244 0.0674094
464.329 0.0693049
464.498 0.0733783
464.838 0.0828462
465.516 0.109166
466.195 0.152221
466.874 0.229875
467.213 0.294545
467.552 0.392141
467.891 0.549441
468.231 0.827134
468.400 1.05357
468.570 1.38799
468.740 1.91207
468.909 2.79924
469.079 4.47935
469.164 5.94212
469.249 8.24014
469.333 12.1267
469.418 19.3724
469.461 25.4967
469.503 34.6766
469.545 48.8477
469.588 70.8058
469.644 113.325
469.700 141.689
469.756 113.335
469.812 70.8195
469.871 42.5544
469.930 27.1887
469.989 18.5326
470.048 13.3345
470.107 10.0049
470.166 7.76756
470.284 5.05113
470.402 3.53707
470.520 2.61257
470.756 1.59078
470.992 1.06952
471.227 0.768805
471.463 0.579709
471.699 0.453256
472.171 0.299870
472.642 0.213965
473.114 0.161071
473.586 0.126219
474.529 0.0845822
475.473 0.0616153
476.416 0.0476231
477.359 0.0384770
479.246 0.0276528
481.133 0.0217548
484.906 0.0159404
492.453 0.0121384
500.000 0.0114705
513.562 0.0135796
520.343 0.0165417
527.124 0.0222164
533.904 0.0345085
537.295 0.0467767
540.685 0.0691569
542.381 0.0880339
544.076 0.116905
545.771 0.164341
547.466 0.250555
548.314 0.322963
549.161 0.433197
