Cl-35(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
0.606460 29.5276
0.618320 29.4381
0.625000 29.3892
0.630180 29.3512
0.642041 29.2672
0.647067 29.2316
0.653901 29.1850
0.665762 29.1040
0.677622 29.0263
0.681960 28.9979
0.689482 28.9503
0.701343 28.8752
0.713203 28.8034
0.721695 28.7520
0.725064 28.7323
0.736924 28.6627
0.750000 28.5891
0.760645 28.5292
0.784366 28.4015
0.808086 28.2795
0.809600 28.2717
0.831807 28.1620
0.855528 28.0495
0.875000 27.9608
0.879249 27.9415
0.879370 27.9409
0.902970 27.8375
0.926690 27.7377
0.929521 27.7258
0.950411 27.6407
0.974132 27.5476
0.997853 27.4575
1.00000 27.4497
1.02157 27.3708
1.02443 27.3604
1.04529 27.2870
1.05416 27.2558
1.06902 27.2047
1.11646 27.0491
1.12500 27.0226
1.16390 26.9024
1.21134 26.7639
1.25000 26.6570
1.25878 26.6328
1.30622 26.5104
1.33090 26.4468
1.35366 26.3925
1.39349 26.2975
1.44855 26.1696
1.50000 26.0604
1.54343 25.9682
1.63831 25.7849
1.65466 25.7534
1.73320 25.6139
1.75000 25.5841
1.75874 25.5686
1.82808 25.4558
1.89157 25.3526
1.92296 25.3072
2.00000 25.1958
2.11273 25.0328
2.30250 24.7942
2.32459 24.7665
2.37500 24.7092
2.49226 24.5760
2.50672 24.5598
2.68203 24.3826
2.72784 24.3363
2.75000 24.3156
2.87180 24.2016
2.88678 24.1876
3.06156 24.0387
3.12500 23.9847
3.13539 23.9759
3.25133 23.8854
3.37949 23.7854
3.44110 23.7418
3.50000 23.7002
3.63086 23.6076
3.71808 23.5460
3.82063 23.4806
3.97454 23.3825
4.20016 23.2441
4.21665 23.2340
4.25000 23.2155
4.57969 23.0330
4.64918 22.9946
4.95923 22.8366
5.00000 22.8158
5.01345 22.8089
5.33876 22.6561
5.45568 22.6013
5.62500 22.5264
5.71829 22.4851
5.77356 22.4607
6.09783 22.3268
6.25000 22.2640
6.27078 22.2554
6.47736 22.1754
6.75898 22.0664
6.85689 22.0308
7.23642 21.8929
7.30421 21.8683
7.50000 21.8009
7.61596 21.7610
7.69447 21.7341
8.37502 21.5112
8.43330 21.4922
8.75000 21.3944
9.13409 21.2759
9.89315 21.0558
