K-39(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
55817.9 15.0276
55818.8 11.1766
55819.6 8.48328
55821.4 5.21303
55823.2 3.47922
55824.9 2.48193
55826.7 1.85690
55828.5 1.44582
55832.0 0.953195
55835.5 0.681446
55839.1 0.516676
55846.1 0.334456
55860.3 0.186149
55874.4 0.127817
55902.7 0.0823139
55930.9 0.0655887
55987.4 0.0555724
56043.9 0.0565110
56157.0 0.0729638
56270.0 0.105198
56383.1 0.155928
56496.1 0.231235
56609.1 0.340650
56665.6 0.413069
56693.9 0.457973
56708.0 0.495271
56715.1 0.560041
56718.6 0.723164
56720.4 1.08110
56721.3 1.62406
56722.2 3.11045
56723.1 5.74487
56724.1 3.13420
56725.0 1.66642
56725.8 1.11477
56727.6 0.753654
56731.0 0.594136
56738.0 0.548478
56751.8 0.555863
56779.5 0.603782
56834.8 0.723339
56945.6 1.04193
57056.3 1.50506
57167.1 2.18730
57277.8 3.20944
57388.5 4.76673
57499.3 7.16643
57610.0 10.8375
57798.0 20.6890
57986.0 29.2285
58174.0 26.1122
58362.0 18.6881
58584.1 12.5198
58695.1 10.5185
58750.6 9.71437
58778.4 9.36832
58792.3 9.26323
58799.2 9.40214
58801.0 9.57001
58802.7 9.96387
58804.4 11.1309
58805.3 12.6968
58806.2 16.1657
58806.8 20.5004
58807.4 23.3435
58808.0 20.4461
58808.6 16.1684
58809.2 13.6190
58809.7 12.1195
58810.8 10.6059
58813.0 9.58771
58815.2 9.24924
58817.3 9.08852
58826.0 8.83393
58843.5 8.59451
58878.3 8.21749
58948.0 7.56663
59087.4 6.53229
59366.2 5.18387
59505.6 4.77873
59644.9 4.59528
59714.6 4.67270
59784.3 5.05432
59819.2 5.51556
59854.0 6.39709
59888.9 8.20335
59906.3 9.78823
59923.7 12.1194
59950.1 17.1662
59976.4 20.5401
60002.8 17.0902
60029.1 11.8949
60046.4 9.49221
60063.7 7.84200
60098.3 5.91474
60132.9 4.91698
60167.5 4.33984
60236.6 3.72032
60305.8 3.39372
60375.0 3.18542
60444.2 3.03497
60582.5 2.81917
60859.2 2.53420
61135.9 2.33565
61689.3 2.06291
61966.0 1.96569
62104.4 1.92691
62173.6 1.92067
62190.9 1.92952
62208.2 1.96235
62216.8 2.01006
62225.4 2.13926
62229.8 2.30370
62234.1 2.70152
62236.3 3.15115
62238.4 4.08774
62239.5 4.97825
62240.6 6.48566
62241.7 9.22989
62242.7 14.4837
62243.7 22.0886
62244.7 27.1610
62245.7 22.1679
62246.6 14.5673
62247.3 10.8159
62248.0 8.31792
62248.7 6.66809
62249.4 5.55050
62250.8 4.20714
62252.2 3.47513
62255.0 2.75689
62257.8 2.43266
62263.4 2.15541
62269.0 2.04350
62280.2 1.95409
62291.4 1.91863
62313.8 1.88848
62336.1 1.87398
62425.6 1.84372
62604.7 1.80299
62962.7 1.74033
63678.7 1.66714
64394.8 1.66044
65110.8 1.73812
65826.9 1.95717
66542.9 2.47385
66900.9 2.96528
67259.0 3.76357
67617.0 5.11152
67975.0 7.43785
68373.9 11.6851
68573.3 14.0806
68673.0 15.0500
68722.9 15.4184
68747.8 15.5666
68760.3 15.6548
68766.5 15.8281
68769.6 16.3925
68770.4 16.8693
68771.2 17.8998
68772.0 20.6594
68772.4 23.9356
68772.8 30.2628
68773.1 39.4661
68773.5 45.8278
68773.8 39.9534
68774.1 31.2364
68774.6 24.8303
68775.0 21.5378
68775.8 18.6412
68776.6 17.4788
68777.4 16.9174
