56-Ba_n-g
> 56-Ba-130:0.001060
> 56-Ba-132:0.001010
> 56-Ba-134:0.024170
> 56-Ba-135:0.065920
> 56-Ba-136:0.078540
> 56-Ba-137:0.112320
> 56-Ba-138:0.716980
1.286960e+02 1.75602993e-02
1.289900e+02 1.72009290e-02
1.292030e+02 1.81970366e-02
1.292580e+02 1.84808346e-02
1.298210e+02 2.14880698e-02
1.300000e+02 2.24900096e-02
1.303450e+02 2.26527645e-02
1.303840e+02 2.26780337e-02
1.309460e+02 2.32523477e-02
1.314870e+02 2.41058111e-02
1.315090e+02 2.41421291e-02
1.320720e+02 2.55680437e-02
1.325660e+02 2.75520644e-02
1.326340e+02 2.78298773e-02
1.331970e+02 3.16310073e-02
1.337590e+02 3.84600328e-02
1.340410e+02 4.40736266e-02
1.343200e+02 5.23369164e-02
1.343220e+02 5.23964997e-02
1.346030e+02 6.55055286e-02
1.348850e+02 8.76829308e-02
1.351660e+02 1.29569370e-01
1.353070e+02 1.65957621e-01
1.354470e+02 2.22913191e-01
1.355880e+02 3.18893582e-01
1.357290e+02 4.96527893e-01
1.357990e+02 6.45891258e-01
1.358690e+02 8.68032103e-01
1.359400e+02 1.20805647e+00
1.360100e+02 1.72974695e+00
1.360550e+02 2.21585392e+00
1.361050e+02 2.75597385e+00
1.362000e+02 3.43794552e+00
1.362950e+02 2.75163739e+00
1.363900e+02 1.72544026e+00
1.364840e+02 1.07476203e+00
1.365770e+02 7.07909513e-01
1.366710e+02 4.94914821e-01
1.367650e+02 3.64309688e-01
1.368580e+02 2.79489253e-01
1.369520e+02 2.21842860e-01
1.371390e+02 1.51123193e-01
1.373270e+02 1.11315445e-01
1.375140e+02 8.68110355e-02
1.378880e+02 5.95507657e-02
1.382630e+02 4.55489646e-02
1.386380e+02 3.74245456e-02
1.386960e+02 3.66286204e-02
1.390120e+02 3.23024690e-02
1.393870e+02 2.88633526e-02
1.401360e+02 2.46636335e-02
1.402910e+02 2.41711088e-02
1.408850e+02 2.23514824e-02
1.416340e+02 2.09479252e-02
1.423830e+02 2.00317136e-02
1.438820e+02 1.89580255e-02
1.448270e+02 1.85988973e-02
1.451900e+02 1.84671902e-02
1.453800e+02 1.83991202e-02
1.468780e+02 1.81049704e-02
1.483760e+02 1.79418800e-02
1.500000e+02 1.78750947e-02
1.509570e+02 1.75784250e-02
1.513730e+02 1.74548813e-02
1.522330e+02 1.72384593e-02
1.543690e+02 1.68467684e-02
1.573660e+02 1.63658275e-02
1.603630e+02 1.59274837e-02
1.632180e+02 1.55599955e-02
1.634600e+02 1.55308849e-02
1.641750e+02 1.54470618e-02
1.663560e+02 1.52643679e-02
1.693520e+02 1.50860693e-02
1.700000e+02 1.50696024e-02
1.723490e+02 1.50310549e-02
1.738470e+02 1.50814627e-02
1.753450e+02 1.52279701e-02
1.754790e+02 1.52514942e-02
1.760950e+02 1.53627196e-02
1.761170e+02 1.53684689e-02
1.768440e+02 1.55774293e-02
1.772180e+02 1.57156884e-02
1.774060e+02 1.57943439e-02
1.775930e+02 1.58803010e-02
1.777800e+02 1.59744412e-02
1.779670e+02 1.60776445e-02
1.781550e+02 1.61909726e-02
1.783420e+02 1.63156726e-02
1.785290e+02 1.64532941e-02
