Si-28(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.50852E+06 5.70640E-05
1.51039E+06 8.49314E-05
1.51132E+06 0.000180529
1.51179E+06 0.000509972
1.51202E+06 0.00152704
1.51214E+06 0.00407612
1.51220E+06 0.00859488
1.51222E+06 0.0140126
1.51225E+06 0.0256523
1.51230E+06 0.0593512
1.51232E+06 0.0536969
1.51235E+06 0.0344484
1.51238E+06 0.0181688
1.51241E+06 0.0106508
1.51246E+06 0.00474197
1.51258E+06 0.00168480
1.51281E+06 0.000539253
1.51328E+06 0.000190160
1.51421E+06 9.63888E-05
1.51607E+06 8.02347E-05
1.51793E+06 9.00935E-05
1.51979E+06 0.000112957
1.52166E+06 0.000157594
1.52259E+06 0.000195932
1.52352E+06 0.000254817
1.52445E+06 0.000351023
1.52538E+06 0.000521108
1.52631E+06 0.000851280
1.52678E+06 0.00113182
1.52724E+06 0.00153607
1.52797E+06 0.00243260
1.52870E+06 0.00302773
1.52943E+06 0.00243301
1.53016E+06 0.00153804
1.53094E+06 0.000935332
1.53171E+06 0.000609515
1.53249E+06 0.000426494
1.53327E+06 0.000317009
1.53482E+06 0.000200497
1.53637E+06 0.000144274
1.53793E+06 0.000113489
1.53948E+06 9.51787E-05
1.54258E+06 7.63077E-05
1.54879E+06 6.61314E-05
1.55501E+06 7.06370E-05
1.56122E+06 8.63023E-05
1.56743E+06 0.000121282
1.57053E+06 0.000155465
1.57364E+06 0.000220433
1.57519E+06 0.000283228
1.57675E+06 0.000407353
1.57752E+06 0.000530204
1.57830E+06 0.000763380
1.57869E+06 0.000971250
1.57907E+06 0.00130629
1.57946E+06 0.00188435
1.57985E+06 0.00292863
1.58060E+06 0.00594261
1.58098E+06 0.00509681
1.58135E+06 0.00337626
1.58172E+06 0.00224341
1.58208E+06 0.00160681
1.58245E+06 0.00124787
1.58281E+06 0.00103860
1.58354E+06 0.000837132
1.58428E+06 0.000771383
1.58574E+06 0.000806783
1.58720E+06 0.000957955
1.59000E+06 0.00143066
1.59280E+06 0.00181128
1.59519E+06 0.00226063
1.59620E+06 0.00274491
1.59720E+06 0.00288348
1.59840E+06 0.00208121
1.59921E+06 0.00153329
1.60024E+06 0.00107865
1.60126E+06 0.000805602
1.60331E+06 0.000515396
1.60536E+06 0.000370246
1.60741E+06 0.000286204
1.61151E+06 0.000197909
1.61561E+06 0.000157533
1.61970E+06 0.000139999
1.62380E+06 0.000136926
1.62790E+06 0.000146496
1.63200E+06 0.000172234
1.63580E+06 0.000225293
1.63770E+06 0.000279559
1.63960E+06 0.000389993
1.64030E+06 0.000463346
1.64116E+06 0.000604201
1.64203E+06 0.000840224
1.64289E+06 0.00120642
1.64375E+06 0.00154461
1.64418E+06 0.00156090
1.64461E+06 0.00144648
1.64548E+06 0.00106243
1.64634E+06 0.000758523
1.64720E+06 0.000579090
1.64818E+06 0.000467506
1.64915E+06 0.000408368
1.65110E+06 0.000370391
1.65278E+06 0.000402153
1.65446E+06 0.000544020
1.65530E+06 0.000726379
1.65614E+06 0.00112870
1.65698E+06 0.00221615
1.65740E+06 0.00350420
1.65782E+06 0.00593863
1.65821E+06 0.00906715
1.65860E+06 0.00958460
1.65938E+06 0.00403504
1.66001E+06 0.00200962
1.66064E+06 0.00119646
1.66127E+06 0.000817223
