Ca-43(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E+07 2.50350
1.04910E+07 2.44420
1.05000E+07 2.44320
1.07394E+07 2.41630
1.09268E+07 2.39610
1.09600E+07 2.39260
1.10000E+07 2.38850
1.12804E+07 2.36030
1.15000E+07 2.33950
1.15530E+07 2.33470
1.15756E+07 2.33260
1.15870E+07 2.33160
1.15870E+07 2.33160
1.20000E+07 2.29640
1.24875E+07 2.25970
1.25000E+07 2.25890
1.26588E+07 2.24810
1.30000E+07 2.22660
1.30157E+07 2.22570
1.35000E+07 2.19920
1.35465E+07 2.19690
1.38487E+07 2.18270
1.38733E+07 2.18160
1.40000E+07 2.17610
1.41609E+07 2.16950
1.45000E+07 2.15670
1.45231E+07 2.15580
1.47503E+07 2.14810
1.50000E+07 2.14040
1.55000E+07 2.12680
1.60000E+07 2.11540
1.63248E+07 2.10910
1.63606E+07 2.10850
1.63606E+07 2.10850
1.64778E+07 2.10640
1.65000E+07 2.10600
1.70000E+07 2.09830
1.75000E+07 2.09210
1.79477E+07 2.08770
1.80000E+07 2.08720
1.80320E+07 2.08700
1.81100E+07 2.08630
1.85000E+07 2.08370
1.86374E+07 2.08290
1.86375E+07 2.08290
1.87294E+07 2.08250
1.87546E+07 2.08240
1.90000E+07 2.08140
1.95000E+07 2.08030
1.98694E+07 2.08020
1.98694E+07 2.08020
2.00000E+07 2.08030
2.00000E+07 2.08045
2.10000E+07 2.08377
2.20000E+07 2.09114
2.30000E+07 2.10184
2.40000E+07 2.11533
2.50000E+07 2.13070
2.60000E+07 2.14740
2.70000E+07 2.16460
2.80000E+07 2.18190
2.90000E+07 2.19890
3.00000E+07 2.21510
3.10000E+07 2.23030
3.20000E+07 2.24440
3.30000E+07 2.25710
3.40000E+07 2.26849
3.50000E+07 2.27855
3.60000E+07 2.28702
3.70000E+07 2.29409
3.80000E+07 2.29964
3.90000E+07 2.30379
