Nb-93(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
723.389 0.490138
724.008 0.319553
724.627 0.238536
725.245 0.194813
726.482 0.154381
727.720 0.141053
728.957 0.140701
731.432 0.166975
732.669 0.196218
733.906 0.243598
735.144 0.323375
736.381 0.469493
737.000 0.592115
737.618 0.778055
738.237 1.07947
738.856 1.61543
739.165 2.05559
739.474 2.71037
739.784 3.74556
740.093 5.52284
740.248 6.93226
740.402 8.95979
740.557 12.0225
740.712 16.9476
740.866 25.5796
740.944 32.5150
741.021 42.5650
741.098 57.7901
741.176 81.9356
741.253 122.121
741.330 190.220
741.415 304.248
741.500 380.211
741.585 304.036
741.670 190.037
741.731 133.852
741.792 96.6456
741.852 71.9934
741.913 55.2728
742.034 35.0937
742.155 24.0678
742.276 17.4643
742.397 13.2293
742.639 8.32703
742.882 5.71539
743.124 4.16635
743.366 3.17340
743.608 2.49999
744.093 1.67143
744.577 1.20084
745.062 0.908339
745.546 0.714273
746.515 0.481001
747.484 0.351636
748.453 0.272712
749.422 0.221304
751.360 0.162000
753.298 0.135604
754.267 0.134532
755.236 0.153809
755.721 0.187263
755.963 0.220916
756.205 0.280294
756.448 0.397528
756.569 0.503293
756.690 0.675140
756.811 0.979739
756.932 1.58987
756.993 2.14626
757.053 3.04418
757.114 4.57834
757.174 7.25401
757.237 11.5559
757.300 14.4171
757.363 11.5488
757.426 7.24808
757.466 5.32517
757.506 3.99295
757.585 2.42095
757.665 1.60864
757.745 1.14837
757.824 0.865379
757.904 0.680566
758.063 0.462446
758.223 0.343966
758.382 0.272669
758.701 0.194608
759.019 0.154792
759.338 0.131549
759.975 0.106354
761.250 0.0851751
762.524 0.0756207
765.074 0.0659725
767.623 0.0606929
772.721 0.0547656
777.820 0.0515297
788.016 0.0483270
798.213 0.0470260
818.607 0.0466826
839.000 0.0479355
857.350 0.0503508
875.699 0.0549126
884.874 0.0588453
894.049 0.0652448
903.223 0.0783072
905.517 0.0848791
907.811 0.0969196
908.958 0.109496
910.105 0.139345
910.678 0.176653
910.965 0.211885
911.251 0.273159
911.538 0.395260
911.681 0.508266
911.825 0.697971
911.968 1.05331
912.040 1.35955
912.111 1.83472
912.183 2.62714
912.255 4.07110
912.291 5.26554
912.327 7.01139
912.362 9.63003
912.398 13.5564
912.449 21.6342
912.500 27.0028
912.551 21.6165
912.602 13.5426
912.645 9.01298
912.688 6.23560
912.731 4.50554
912.774 3.39053
912.860 2.11176
912.945 1.44706
913.031 1.06202
913.117 0.820454
913.288 0.547076
913.459 0.404779
913.631 0.321775
913.974 0.234359
914.316 0.192290
914.659 0.169407
915.345 0.147958
916.716 0.138371
918.087 0.143088
920.829 0.171643
923.572 0.229843
924.943 0.279277
926.314 0.354517
927.685 0.477047
929.056 0.696745
929.742 0.878830
930.427 1.15248
931.113 1.59128
931.799 2.36045
932.141 2.98334
932.484 3.89805
932.827 5.31871
933.170 7.69577
933.341 9.53369
933.512 12.1148
933.684 15.8917
933.855 21.7107
934.027 31.2823
934.198 48.3947
934.284 62.2578
934.369 82.2132
934.455 111.502
934.541 154.308
934.671 246.837
934.800 308.411
934.930 246.687
935.060 154.175
935.198 92.0147
935.337 58.5295
935.475 39.7823
935.614 28.5584
935.752 21.4062
935.890 16.6042
936.167 10.7949
936.444 7.56661
936.721 5.59782
937.274 3.42591
937.828 2.32040
938.382 1.68359
938.935 1.28401
939.489 1.01722
940.596 0.694912
941.704 0.515918
942.811 0.407345
943.918 0.337754
946.133 0.262747
948.347 0.245845
949.454 0.270015
950.008 0.302225
950.562 0.365398
951.115 0.502153
951.392 0.635308
951.669 0.868590
951.946 1.33077
952.084 1.75237
952.223 2.44728
952.361 3.70794
952.430 4.75816
952.499 6.33437
952.569 8.83375
952.638 13.0700
952.707 20.7972
952.776 35.5314
952.838 56.7540
952.900 70.9006
952.962 56.7198
953.024 35.5056
953.070 24.7280
953.116 17.7059
953.162 13.1190
953.208 10.0443
953.300 6.37227
