Cu-65(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
12157.9 4.67212
12158.1 7.02293
12158.2 9.33912
12158.4 12.6611
12158.5 17.8170
12158.6 25.8171
12158.7 35.4466
12158.8 47.7855
12159.0 69.9715
12159.1 71.2506
12159.2 65.4853
12159.4 47.8729
12159.5 37.8576
12159.7 31.0575
12159.9 22.4454
12160.2 17.4372
12160.5 14.4997
12160.7 12.4948
12161.0 11.1510
12161.5 9.41649
12162.0 8.34546
12162.6 7.64893
12163.6 6.78147
12164.7 6.27246
12165.7 5.93954
12167.8 5.53183
12169.9 5.29100
12172.0 5.13306
12176.2 4.93656
12180.4 4.81772
12184.6 4.73735
12193.0 4.63273
12201.5 4.56510
12209.9 4.51566
12226.7 4.44361
12243.5 4.38903
12260.3 4.34284
12294.0 4.26205
12428.5 3.96585
12563.1 3.62925
12697.6 3.19899
12832.2 2.60347
12899.4 2.20647
12966.7 1.71582
13034.0 1.12636
13067.6 0.824338
13101.3 0.599696
13118.1 0.577174
13134.9 0.690829
13143.3 0.833856
13151.7 1.06514
13160.1 1.42055
13168.5 1.95253
13176.9 2.73924
13185.4 3.89933
13193.8 5.61679
13202.2 8.18264
13210.6 12.0648
13219.0 18.0198
13227.4 27.2454
13235.8 41.4452
13250.4 82.0231
13265.0 122.745
13279.6 115.656
13294.2 85.0579
13296.5 80.6906
13297.0 79.6687
13297.6 78.7647
13297.9 78.4418
13298.2 78.4053
13298.5 79.2399
13298.6 80.6257
13298.7 83.7266
13298.9 88.8562
13299.0 93.4665
13299.1 91.1003
13299.3 85.9684
13299.4 83.1349
13299.5 80.9829
13299.7 78.4283
13299.9 76.9954
13300.1 76.0459
13300.5 74.7473
13300.8 73.8006
13301.6 72.2049
13302.4 70.8122
13305.6 65.8616
13312.0 57.5394
13324.7 45.2836
13337.4 36.9982
13350.1 31.1954
13375.5 23.8208
13400.9 19.4531
13426.3 16.6178
13451.7 14.6486
13502.4 12.1141
13553.2 10.5600
13604.0 9.50725
13654.8 8.73367
13680.2 8.39867
13686.6 8.31147
13692.9 8.21546
13699.3 8.10619
13700.9 8.09045
13702.4 8.13281
13703.2 8.24647
13704.0 8.60756
13704.4 9.08201
13704.8 10.1146
13705.0 11.1556
13705.2 12.9567
13705.4 16.2853
13705.6 22.5471
13706.0 43.0562
13706.2 39.2371
13706.4 28.8958
13706.5 24.0463
13706.6 20.3971
13706.9 15.9303
13707.1 13.5257
13707.3 12.1596
13707.8 10.6553
13708.3 9.90321
13709.2 9.19010
13710.2 8.86098
13712.0 8.55533
13713.9 8.40890
13717.7 8.25657
13721.4 8.16821
13729.0 8.04936
13736.5 7.95871
13751.5 7.80711
13766.6 7.67380
13796.7 7.43352
13811.7 7.31550
13819.3 7.24298
13823.0 7.18041
13824.9 7.11053
13825.9 7.04199
13826.3 7.03115
13826.6 7.15844
13826.8 8.03391
13827.0 10.5928
13827.2 9.78980
13827.5 8.37982
13827.8 7.90849
13828.3 7.57817
13829.4 7.39409
13831.6 7.29145
13835.9 7.22011
13844.7 7.14393
13862.2 7.02764
13897.1 6.82475
13967.0 6.46838
14001.9 6.30577
14036.9 6.14970
14071.8 5.98849
14080.5 5.93774
14089.3 5.86563
14093.6 5.80709
14098.0 5.70458
14100.2 5.61184
14102.4 5.44711
14103.5 5.30447
14104.6 5.07537
14105.1 4.90810
14105.7 4.72641
14105.9 4.68593
14106.2 4.86025
14106.5 5.95937
14106.6 7.83293
14106.7 12.1839
14106.9 20.2675
14107.0 29.7181
14107.1 29.2001
14107.3 23.3466
14107.4 18.7658
14107.5 15.5800
14107.7 12.0495
14108.0 10.2868
14108.2 9.27443
14108.7 8.18936
14109.2 7.63004
14110.1 7.06953
14111.1 6.79445
14113.0 6.52051
14114.9 6.38700
14118.7 6.25698
14122.6 6.19659
14130.2 6.15050
14137.9 6.15254
14153.2 6.26094
14168.5 6.56068
14183.8 7.25714
14191.4 7.91015
14199.1 8.95683
14206.8 10.7127
14214.4 13.8235
14222.1 19.7248
14229.7 31.5450
14244.0 73.0839
14247.6 74.6315
14251.2 68.5067
14258.3 48.7562
14262.9 38.4377
14267.5 30.9604
14276.6 21.8492
14285.8 16.9690
14294.9 14.1074
14304.1 12.2854
14313.2 11.0512
14331.6 9.51491
