29-Cu_n-tot
>  29-Cu-63:0.691500
>  29-Cu-65:0.308500
3.143080e+03 5.61420137e+00
3.143520e+03 5.54465256e+00
3.143970e+03 5.51031068e+00
3.144850e+03 5.47615243e+00
3.145730e+03 5.45842181e+00
3.147490e+03 5.43830843e+00
3.148040e+03 5.43429716e+00
3.149260e+03 5.42578055e+00
3.152790e+03 5.40788534e+00
3.156310e+03 5.39327162e+00
3.170430e+03 5.34281375e+00
3.198650e+03 5.25023179e+00
3.231890e+03 5.14627881e+00
3.255090e+03 5.07578769e+00
3.273820e+03 5.02156412e+00
3.284300e+03 4.98998935e+00
3.294780e+03 4.95597359e+00
3.300020e+03 4.93664227e+00
3.305260e+03 4.91341089e+00
3.307880e+03 4.89882866e+00
3.310500e+03 4.88128682e+00
3.311810e+03 4.87289622e+00
3.313120e+03 4.87452546e+00
3.313780e+03 4.89476510e+00
3.314100e+03 4.92154158e+00
3.314430e+03 4.97537803e+00
3.314760e+03 5.09236226e+00
3.314920e+03 5.20208683e+00
3.315090e+03 5.37996720e+00
3.315250e+03 5.69001240e+00
3.315410e+03 6.27118092e+00
3.315580e+03 7.46752324e+00
3.315660e+03 8.53041273e+00
3.315740e+03 1.00938168e+01
3.315870e+03 1.38747794e+01
3.316000e+03 1.69216455e+01
3.316130e+03 1.51701931e+01
3.316260e+03 1.17457948e+01
3.316350e+03 9.90525715e+00
3.316450e+03 8.64946729e+00
3.316540e+03 7.79686877e+00
3.316640e+03 7.20467689e+00
3.316820e+03 6.46903891e+00
3.317010e+03 6.05028238e+00
3.317200e+03 5.78951977e+00
3.317390e+03 5.61555423e+00
3.317760e+03 5.40329390e+00
3.318140e+03 5.28182217e+00
3.318520e+03 5.20460644e+00
3.319270e+03 5.11352864e+00
3.320770e+03 5.02922721e+00
3.322270e+03 4.98911954e+00
3.325280e+03 4.94812074e+00
3.328290e+03 4.92493497e+00
3.334300e+03 4.89476372e+00
3.340320e+03 4.87215905e+00
3.352350e+03 4.83416048e+00
3.364380e+03 4.79972314e+00
3.367990e+03 4.79010602e+00
3.412500e+03 4.67524992e+00
3.460620e+03 4.55462578e+00
3.472650e+03 4.52365550e+00
3.480880e+03 4.50126642e+00
3.484680e+03 4.49093200e+00
3.490690e+03 4.47287141e+00
3.496710e+03 4.45185361e+00
3.499720e+03 4.43899015e+00
3.502720e+03 4.42328913e+00
3.504230e+03 4.41473224e+00
3.505730e+03 4.41085440e+00
3.506480e+03 4.41991379e+00
3.507230e+03 4.46616896e+00
3.507610e+03 4.53886793e+00
3.507990e+03 4.72875540e+00
3.508170e+03 4.94283872e+00
3.508360e+03 5.36333720e+00
3.508460e+03 5.72986319e+00
3.508550e+03 6.28921154e+00
3.508640e+03 7.16593765e+00
3.508740e+03 8.52842417e+00
3.508870e+03 1.15166137e+01
3.509000e+03 1.39301459e+01
3.509130e+03 1.25462368e+01
3.509260e+03 9.83817427e+00
3.509420e+03 7.74973065e+00
3.509570e+03 6.62483456e+00
3.509720e+03 5.98878056e+00
3.509870e+03 5.60186018e+00
3.510170e+03 5.17751043e+00
3.510470e+03 4.96110165e+00
3.511080e+03 4.75303092e+00
3.511680e+03 4.65669726e+00
3.512890e+03 4.56783342e+00
3.514100e+03 4.52638573e+00
3.516520e+03 4.48568568e+00
3.518940e+03 4.46400879e+00
3.523770e+03 4.43777416e+00
3.528610e+03 4.41942503e+00
3.537330e+03 4.39298336e+00
3.538280e+03 4.39005575e+00
3.547950e+03 4.36378929e+00
3.565550e+03 4.31996257e+00
3.572600e+03 4.30183415e+00
3.579660e+03 4.28317755e+00
3.583190e+03 4.27373511e+00
3.586640e+03 4.26549259e+00
3.586720e+03 4.26531054e+00
3.588480e+03 4.26374949e+00
3.590240e+03 4.27126142e+00
3.591130e+03 4.28860885e+00
3.591570e+03 4.30803508e+00
3.592010e+03 4.34477434e+00
3.592450e+03 4.42211528e+00
3.592670e+03 4.49518813e+00
3.592890e+03 4.61695153e+00
3.593110e+03 4.84028856e+00
3.593220e+03 5.02485716e+00
3.593330e+03 5.29886300e+00
3.593440e+03 5.72483594e+00
3.593550e+03 6.42330385e+00
3.593660e+03 7.63320306e+00
3.593770e+03 9.78776011e+00
3.593890e+03 1.33844811e+01
3.594000e+03 1.60292447e+01
3.594120e+03 1.39634482e+01
3.594230e+03 1.04928779e+01
3.594310e+03 8.80497964e+00
3.594380e+03 7.64410375e+00
3.594540e+03 6.30113706e+00
3.594690e+03 5.61229477e+00
3.594840e+03 5.22149124e+00
3.595000e+03 4.98035081e+00
3.595150e+03 4.82145290e+00
3.595450e+03 4.63142236e+00
3.595760e+03 4.52587196e+00
3.596070e+03 4.46073505e+00
3.596680e+03 4.38686071e+00
3.597290e+03 4.34718360e+00
3.597900e+03 4.32287905e+00
3.599130e+03 4.29464994e+00
3.601580e+03 4.26757277e+00
3.604030e+03 4.25284485e+00
3.608920e+03 4.23365541e+00
3.613820e+03 4.21888109e+00
3.623620e+03 4.19320104e+00
3.633410e+03 4.16933757e+00
3.664010e+03 4.09918885e+00
3.672600e+03 4.07974015e+00
3.711780e+03 3.99966851e+00
3.741380e+03 3.95578847e+00
3.750960e+03 3.94145430e+00
3.780060e+03 3.94900476e+00
3.790140e+03 3.95109134e+00
3.799410e+03 3.98661686e+00
3.809080e+03 4.02221703e+00
3.809730e+03 4.02442250e+00
3.813910e+03 4.06431612e+00
3.816330e+03 4.08950561e+00
