La-139(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
2153.69 2.23639
2154.07 1.60989
2154.45 1.21415
2155.21 0.763310
2155.97 0.526004
2156.73 0.386388
2158.25 0.236813
2159.77 0.162349
2161.29 0.119851
2164.32 0.0753604
2167.36 0.0537922
2170.40 0.0427506
2171.92 0.0407147
2173.44 0.0440594
2174.20 0.0522297
2174.95 0.0782676
2175.33 0.115459
2175.71 0.219696
2175.90 0.361314
2176.09 0.744751
2176.19 1.24495
2176.24 1.72332
2176.28 2.52553
2176.33 4.10615
2176.36 5.51903
2176.38 7.67842
2176.40 11.5855
2176.43 18.8144
2176.44 25.4249
2176.45 35.8318
2176.46 52.9519
2176.47 80.9317
2176.49 128.051
2176.50 162.062
2176.51 128.051
2176.53 80.9318
2176.54 51.1637
2176.55 34.7606
2176.57 24.1151
2176.58 17.9579
2176.60 10.7556
2176.63 7.11354
2176.65 5.03989
2176.68 3.75369
2176.73 2.31273
2176.78 1.56857
2176.83 1.13561
2176.93 0.678116
2177.13 0.328291
2177.33 0.199497
2177.73 0.103391
2178.13 0.0686117
2178.92 0.0426744
2179.72 0.0328951
2181.32 0.0248389
2182.92 0.0211237
2189.31 0.0145845
2202.09 0.00920703
2214.88 0.00655564
2227.66 0.00498539
2253.22 0.00327233
2278.79 0.00242207
2304.35 0.00198302
2329.92 0.00182730
2342.70 0.00188989
2355.48 0.00220597
2361.88 0.00266927
2365.07 0.00313040
2368.27 0.00396848
2371.46 0.00575529
2373.06 0.00753542
2374.66 0.0107860
2376.26 0.0177499
2377.06 0.0246961
2377.85 0.0373745
2378.65 0.0644057
2379.45 0.139762
2379.85 0.242193
2380.05 0.342457
2380.25 0.520219
2380.45 0.886714
2380.55 1.23547
2380.65 1.83046
2380.75 3.00028
2380.80 4.05319
2380.85 5.76589
2380.90 8.81384
2380.93 11.3041
2380.95 14.9700
2380.98 20.6322
2381.00 29.8794
2381.03 45.8704
2381.05 73.5272
2381.08 118.123
2381.10 147.082
2381.13 118.120
2381.15 73.5246
2381.17 48.4840
2381.19 32.9323
2381.22 23.4266
2381.24 17.5885
2381.28 10.7292
2381.32 7.17324
2381.37 5.11613
2381.41 3.82618
2381.50 2.36599
2381.58 1.60453
2381.67 1.15873
2381.75 0.875748
2381.84 0.685060
2382.01 0.451140
2382.18 0.320142
2382.36 0.239056
2382.53 0.185416
2382.87 0.120973
2383.22 0.0854224
2383.56 0.0636515
2383.91 0.0494352
2384.60 0.0325371
2385.28 0.0232793
2386.66 0.0140176
2388.04 0.00971045
2389.42 0.00737576
2392.17 0.00507854
2394.93 0.00405376
2397.68 0.00353895
2403.19 0.00314509
2414.21 0.00333792
2425.23 0.00435474
2430.74 0.00531229
2436.25 0.00681967
2441.77 0.00933500
2447.28 0.0139439
2450.03 0.0178303
2452.79 0.0237558
2455.54 0.0334389
2458.30 0.0508743
2459.67 0.0653769
2461.05 0.0872126
2462.43 0.122359
2463.81 0.184178
2464.50 0.234459
2465.18 0.308568
2465.87 0.424235
2466.56 0.618814
2466.91 0.770662
2467.25 0.984632
2467.60 1.30128
2467.94 1.79318
2468.28 2.61776
2468.63 4.12300
2468.80 5.37104
2468.97 7.20744
2469.14 9.97698
2469.32 14.1560
2469.56 22.6613
2469.80 28.3344
2470.04 22.6557
2470.28 14.1506
2470.48 9.58795
2470.67 6.72063
2470.86 4.89457
2471.05 3.69231
2471.43 2.28878
2471.81 1.54556
2472.20 1.10886
2472.58 0.833350
2473.34 0.518694
2474.11 0.353076
2474.87 0.255756
2475.64 0.193745
2476.40 0.151844
2477.93 0.100493
2479.46 0.0714709
2480.99 0.0534707
2482.51 0.0415595
2485.57 0.0272601
2488.63 0.0193352
2491.68 0.0144906
2494.74 0.0113148
2500.86 0.00754141
2506.97 0.00547145
2513.08 0.00421501
2519.20 0.00339607
2531.43 0.00243083
2543.66 0.00190914
2568.11 0.00140949
2592.57 0.00122277
2617.02 0.00122486
2629.25 0.00134151
2641.48 0.00172536
2647.60 0.00227173
2650.65 0.00282030
2653.71 0.00382665
2656.77 0.00598925
2658.30 0.00815355
2659.82 0.0121127
2661.35 0.0205978
2662.12 0.0290467
2662.88 0.0444342
2663.65 0.0771764
2664.41 0.167695
2664.79 0.289299
2664.98 0.407151
2665.17 0.615174
2665.36 1.03528
2665.46 1.43031
2665.56 2.09242
2665.65 3.35995
2665.70 4.46817
2665.75 6.16981
2665.79 9.10547
2665.82 11.3916
2665.84 14.6050
2665.87 19.2748
2665.89 26.3025
2665.91 37.1973
2665.94 53.3584
2665.97 85.8363
2666.00 106.665
2666.03 85.8344
2666.06 53.3564
2666.09 37.1956
2666.11 26.6648
2666.13 19.7531
2666.16 15.0940
2666.20 9.43660
2666.25 6.45299
2666.30 4.64320
2666.34 3.51368
2666.43 2.19720
2666.53 1.50039
2666.62 1.08854
2666.71 0.825383
2666.81 0.647200
2666.99 0.428473
2667.18 0.304494
2667.36 0.227533
2667.55 0.176742
2667.92 0.115341
2668.29 0.0812843
2669.04 0.0468255
2669.78 0.0305794
2670.52 0.0216739
2672.01 0.0127309
2673.50 0.00855861
2674.98 0.00628212
2677.96 0.00401232
2680.93 0.00296206
2683.91 0.00239441
2689.85 0.00183935
2701.75 0.00147465
2713.65 0.00138882
2737.44 0.00144699
2761.23 0.00165905
2785.02 0.00205281
2808.81 0.00287521
2820.71 0.00378037
2826.66 0.00459282
2832.61 0.00598686
2838.55 0.00882585
2844.50 0.0165491
2847.48 0.0270242
2848.96 0.0373517
2850.45 0.0559949
2851.19 0.0715684
2851.94 0.0951065
2852.68 0.133265
2853.42 0.201004
2853.80 0.256690
