Sn-116(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
3392.37 18.2919
3392.38 29.1781
3392.40 36.5488
3392.42 29.1782
3392.43 18.2920
3392.45 10.3102
3392.47 6.33201
3392.49 4.20814
3392.51 2.97712
3392.56 1.68305
3392.60 1.09004
3392.68 0.563957
3392.76 0.348534
3392.92 0.177977
3393.08 0.113220
3393.73 0.0462422
3395.02 0.0271305
3396.32 0.0224103
3397.61 0.0199888
3402.79 0.0149187
3413.14 0.00984676
3423.49 0.00711037
3433.85 0.00548177
3444.20 0.00454370
3454.55 0.00433527
3459.73 0.00485051
3464.91 0.00694085
3470.08 0.0193415
3471.38 0.0322628
3472.67 0.0688122
3473.32 0.119192
3473.96 0.259529
3474.29 0.450069
3474.45 0.636331
3474.61 0.965529
3474.77 1.64301
3474.85 2.28583
3474.93 3.39377
3475.02 5.54847
3475.06 7.51045
3475.10 10.6112
3475.14 16.2430
3475.18 27.2333
3475.20 37.1712
3475.22 53.1275
