Cl-35(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
4250.12 21.2045
4250.18 22.9636
4250.23 24.8456
4250.28 26.8354
4250.46 33.6309
4250.51 35.6057
4250.56 37.3827
4250.59 38.1670
4250.62 38.8660
4250.64 39.4683
4250.67 39.9637
4250.70 40.3436
4250.72 40.6008
4250.76 40.7469
4250.80 40.6007
4250.83 40.3434
4250.86 39.9635
4250.88 39.4680
4250.91 38.8656
4250.93 38.1667
4250.96 37.3823
4251.01 35.6054
4251.07 33.6306
4251.24 26.8358
4251.29 24.8462
4251.35 22.9644
4251.40 21.2054
4251.45 19.5757
4251.51 18.0754
4251.56 16.7006
4251.61 15.4449
4251.67 14.3003
4251.72 13.2583
4251.77 12.3100
4251.83 11.4471
4251.88 10.6614
4251.93 9.94545
4251.99 9.29244
4252.04 8.69610
4252.09 8.15077
4252.15 7.65139
4252.20 7.19339
4252.25 6.77269
4252.30 6.38566
4252.36 6.02905
4252.41 5.69994
4252.46 5.39576
4252.52 5.11417
4252.57 4.85312
4252.62 4.61075
4252.68 4.38539
4252.73 4.17556
4252.78 3.97991
4252.84 3.79725
4252.89 3.62650
4252.94 3.46666
4253.00 3.31687
4253.05 3.17632
4253.10 3.04428
4253.16 2.92011
4253.21 2.80321
4253.26 2.69303
4253.32 2.58908
4253.37 2.49091
4253.44 2.37571
4253.50 2.26816
4253.61 2.11043
4253.71 1.96835
4253.80 1.86305
4253.89 1.76587
4253.97 1.67932
4254.05 1.59891
4254.14 1.52406
4254.22 1.45429
4254.35 1.35213
4254.49 1.26027
4254.62 1.17737
4254.75 1.10233
4254.89 1.03419
4255.02 0.972128
4255.15 0.915454
4255.28 0.863566
4255.42 0.815943
4255.55 0.772132
4255.68 0.731740
4255.82 0.694421
4255.95 0.659875
4256.08 0.627833
4256.22 0.598061
4256.35 0.570350
4256.48 0.544516
4256.61 0.520393
4256.75 0.497833
4256.88 0.476706
4257.01 0.456892
4257.15 0.438287
4257.28 0.420792
4257.41 0.404323
4257.55 0.388801
4257.68 0.374154
4257.81 0.360319
