24-Cr_n-g
>  24-Cr-50:0.043450
>  24-Cr-52:0.837898
>  24-Cr-53:0.095001
>  24-Cr-54:0.023650
1.921260e+04 1.18403125e-01
1.921300e+04 1.31604605e-01
1.921340e+04 1.59534675e-01
1.921410e+04 2.10684051e-01
1.921470e+04 2.81083121e-01
1.921490e+04 3.14702975e-01
1.921530e+04 3.82552154e-01
1.921610e+04 6.09728159e-01
1.921650e+04 6.75900537e-01
1.921700e+04 7.58872214e-01
1.921790e+04 6.06640455e-01
1.921880e+04 3.81176900e-01
1.921950e+04 2.48841219e-01
1.921960e+04 2.38989260e-01
1.922030e+04 1.70168044e-01
1.922110e+04 1.21408690e-01
1.922180e+04 9.06896492e-02
1.922260e+04 7.19639309e-02
1.922330e+04 5.56436635e-02
1.922490e+04 3.77418136e-02
1.922640e+04 2.73470289e-02
1.922790e+04 2.08775130e-02
1.923100e+04 1.35102140e-02
1.923400e+04 9.63385661e-03
1.923500e+04 8.89464706e-03
1.923710e+04 7.39595413e-03
1.924010e+04 5.99244004e-03
1.924320e+04 5.04675087e-03
1.924930e+04 3.88959290e-03
1.925540e+04 3.23701614e-03
1.925970e+04 2.95149027e-03
1.926150e+04 2.83792110e-03
1.926760e+04 2.58902159e-03
1.927980e+04 2.30377776e-03
1.928440e+04 2.24982527e-03
1.929200e+04 2.16749418e-03
1.930900e+04 2.10475360e-03
1.931110e+04 2.09788770e-03
1.931640e+04 2.09430591e-03
1.932090e+04 2.10865979e-03
1.933920e+04 2.29535783e-03
1.934080e+04 2.39766772e-03
1.934840e+04 2.89542854e-03
1.935290e+04 5.03348710e-03
1.935520e+04 1.23903636e-02
1.935640e+04 3.46007409e-02
1.935690e+04 8.72408911e-02
1.935750e+04 4.54406010e-01
1.935780e+04 9.07435322e-01
1.935800e+04 4.54418769e-01
1.935870e+04 7.88390468e-02
1.935930e+04 3.02561673e-02
1.936060e+04 1.08707095e-02
