I-127(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
383.609 3.49240
383.952 4.55418
384.295 6.24083
384.638 9.14314
384.810 11.4465
384.981 14.7604
385.153 19.7649
385.324 27.8078
385.496 41.8866
385.581 53.2004
385.667 69.5599
385.753 94.3010
385.839 133.462
385.924 198.464
386.010 308.298
386.105 493.746
386.200 617.512
386.295 493.489
386.390 308.037
386.495 180.155
386.601 112.985
386.706 76.0681
386.811 54.2455
386.917 40.4635
387.022 31.2700
387.233 20.2196
387.443 14.1157
387.654 10.4084
388.075 6.33223
388.496 4.26267
388.918 3.07169
389.339 2.32438
389.760 1.82523
390.602 1.22272
391.445 0.895413
392.287 0.751816
392.498 0.774544
392.709 0.895965
392.814 1.06642
392.919 1.46893
392.972 1.89326
393.024 2.68743
393.077 4.36914
393.103 5.91947
393.130 8.31271
393.165 12.9930
393.200 16.1012
393.235 12.9706
393.270 8.29552
393.297 5.88796
393.323 4.33316
393.349 3.31759
393.376 2.63986
393.428 1.83150
393.481 1.39458
393.586 0.964106
393.692 0.765233
393.902 0.585750
394.113 0.502876
394.955 0.369380
396.640 0.262819
398.325 0.205638
400.010 0.169994
403.380 0.131941
406.750 0.119251
410.120 0.126922
413.490 0.168701
415.175 0.223468
416.017 0.273633
416.860 0.358704
417.702 0.526775
418.123 0.685182
418.545 0.962563
418.966 1.52849
419.177 2.06971
419.387 3.01799
419.598 4.92145
419.703 6.69295
419.808 9.68601
419.914 15.3352
419.966 20.2504
420.019 27.9420
420.045 33.5444
