11-Na_n-tot
>  11-Na-23:1.000000
4.977200e+05 2.28273000e+00
5.000000e+05 2.23882000e+00
5.001100e+05 2.22873000e+00
5.040100e+05 2.17975000e+00
5.078000e+05 2.13199000e+00
5.081700e+05 2.16467000e+00
5.083900e+05 2.50745000e+00
5.085200e+05 2.93005000e+00
5.086000e+05 3.15034000e+00
5.086700e+05 2.98434000e+00
5.088600e+05 2.38482000e+00
5.090100e+05 2.17161000e+00
5.092700e+05 2.10660000e+00
5.114000e+05 2.07415000e+00
5.194600e+05 1.93341000e+00
5.225600e+05 1.99350000e+00
5.269400e+05 2.14530000e+00
5.274100e+05 2.18407000e+00
5.298200e+05 2.38354000e+00
5.330900e+05 2.79526000e+00
5.367900e+05 3.33691000e+00
5.391300e+05 3.61864000e+00
5.410600e+05 3.77696000e+00
5.417700e+05 3.83532000e+00
5.437200e+05 3.92196000e+00
5.461500e+05 3.97978000e+00
5.485400e+05 3.99416000e+00
5.532200e+05 3.97256000e+00
5.581000e+05 3.93641000e+00
5.592600e+05 3.92702000e+00
5.629500e+05 3.89716000e+00
5.634000e+05 3.97080000e+00
5.636800e+05 4.21396000e+00
5.637900e+05 4.50794000e+00
5.639400e+05 4.91648000e+00
5.639900e+05 5.04096000e+00
5.640800e+05 4.89841000e+00
5.642800e+05 4.25664000e+00
5.644600e+05 4.00963000e+00
5.648000e+05 3.88409000e+00
5.658200e+05 3.89706000e+00
5.662600e+05 3.84068000e+00
5.699000e+05 3.84514000e+00
5.729100e+05 3.88496000e+00
5.745900e+05 3.90721000e+00
5.803100e+05 4.06915000e+00
5.834100e+05 4.16734000e+00
5.839700e+05 4.20372000e+00
5.875800e+05 4.43880000e+00
5.905600e+05 4.71044000e+00
5.924200e+05 4.87652000e+00
5.936000e+05 4.98190000e+00
5.963200e+05 5.13045000e+00
5.964600e+05 5.13809000e+00
5.975900e+05 5.21307000e+00
5.987900e+05 5.34632000e+00
5.989200e+05 5.41156000e+00
5.992600e+05 5.58312000e+00
5.995600e+05 6.05112000e+00
5.997400e+05 6.34554000e+00
5.999200e+05 6.00456000e+00
6.000000e+05 5.86988000e+00
6.001600e+05 5.60022000e+00
6.004000e+05 5.30548000e+00
6.007500e+05 5.16693000e+00
6.008700e+05 5.14791000e+00
6.014100e+05 5.06283000e+00
6.041200e+05 4.85156000e+00
6.053400e+05 4.75656000e+00
6.067200e+05 4.65442000e+00
6.073700e+05 4.60637000e+00
6.099700e+05 4.48937000e+00
6.114800e+05 4.42148000e+00
6.147000e+05 4.29433000e+00
6.158200e+05 4.27105000e+00
6.194600e+05 4.19614000e+00
6.216700e+05 4.20861000e+00
6.225600e+05 4.21357000e+00
6.246700e+05 4.29809000e+00
6.255700e+05 4.44116000e+00
6.266200e+05 4.60778000e+00
6.271100e+05 4.70191000e+00
6.275900e+05 4.59863000e+00
6.289800e+05 4.33583000e+00
6.301200e+05 4.31252000e+00
6.303600e+05 4.30751000e+00
6.333700e+05 4.33767000e+00
6.341000e+05 4.34513000e+00
6.359700e+05 4.37201000e+00
6.367000e+05 4.38264000e+00
6.392200e+05 4.45655000e+00
6.427900e+05 4.56100000e+00
6.489700e+05 4.79914000e+00
6.527800e+05 4.94597000e+00
6.574200e+05 5.18917000e+00
6.600000e+05 5.32440000e+00
6.633500e+05 5.49997000e+00
6.682200e+05 5.78173000e+00
6.697700e+05 5.90714000e+00
6.739100e+05 6.24183000e+00
6.813900e+05 6.84280000e+00
6.825200e+05 7.07751000e+00
6.830100e+05 7.99760000e+00
6.834200e+05 8.81439000e+00
6.835800e+05 8.42020000e+00
6.840700e+05 7.36869000e+00
6.848000e+05 7.19009000e+00
6.865100e+05 7.31218000e+00
6.879700e+05 7.45718000e+00
6.887800e+05 7.53762000e+00
6.939400e+05 7.96949000e+00
6.957700e+05 8.11652000e+00
6.983800e+05 8.32645000e+00
7.011300e+05 8.52353000e+00
7.022800e+05 8.57892000e+00
7.044400e+05 8.68306000e+00
7.074800e+05 8.76944000e+00
7.077500e+05 8.77700000e+00
7.103500e+05 8.81458000e+00
7.133300e+05 8.75062000e+00
7.138700e+05 8.73942000e+00
7.181700e+05 8.51435000e+00
7.185300e+05 8.48645000e+00
7.217800e+05 8.23480000e+00
7.225400e+05 8.17609000e+00
7.256800e+05 7.84935000e+00
7.260600e+05 7.80993000e+00
7.302800e+05 7.25594000e+00
7.334800e+05 6.82330000e+00
7.354900e+05 6.55158000e+00
7.386800e+05 6.11050000e+00
7.409900e+05 5.79110000e+00
7.448600e+05 5.25590000e+00
7.468300e+05 5.07755000e+00
7.471300e+05 5.07433000e+00
7.476800e+05 5.06816000e+00
7.481000e+05 5.53761000e+00
7.487300e+05 5.00228000e+00
7.493000e+05 4.85214000e+00
7.500000e+05 4.71949000e+00
7.500400e+05 4.71176000e+00
7.523300e+05 4.59628000e+00
7.549100e+05 4.46624000e+00
7.572600e+05 4.39402000e+00
7.575300e+05 4.39170000e+00
7.589400e+05 4.37957000e+00
7.616300e+05 4.53122000e+00
7.627300e+05 4.55709000e+00
7.634700e+05 4.57471000e+00
7.651500e+05 5.31130000e+00
7.656600e+05 5.80253000e+00
7.661600e+05 5.91795000e+00
7.665000e+05 6.19248000e+00
7.670000e+05 6.38750000e+00
7.688500e+05 6.30080000e+00
7.705300e+05 6.49239000e+00
7.717000e+05 6.62601000e+00
7.732100e+05 6.90033000e+00
7.760700e+05 7.08095000e+00
7.779100e+05 7.13146000e+00
7.795900e+05 7.08814000e+00
7.809300e+05 7.04201000e+00
7.829500e+05 6.97255000e+00
7.861400e+05 6.83532000e+00
7.867800e+05 6.79815000e+00
7.895000e+05 6.64025000e+00
7.960500e+05 6.16359000e+00
8.000000e+05 5.88852000e+00
8.017300e+05 5.76800000e+00
8.044500e+05 5.57848000e+00
8.101600e+05 5.22458000e+00
8.127800e+05 5.09080000e+00
8.182200e+05 4.81292000e+00
8.264400e+05 4.51182000e+00
8.272900e+05 4.48073000e+00
8.326600e+05 4.30006000e+00
8.405500e+05 4.11230000e+00
8.426900e+05 4.06714000e+00
8.504600e+05 3.90294000e+00
8.524400e+05 3.88157000e+00
8.578500e+05 3.82342000e+00
8.589400e+05 3.82039000e+00
8.657400e+05 3.80169000e+00
8.719400e+05 3.82945000e+00
8.738000e+05 3.83783000e+00
8.800000e+05 3.91988000e+00
8.803500e+05 3.92448000e+00
8.836400e+05 4.05438000e+00
8.865700e+05 4.17007000e+00
8.922800e+05 4.48068000e+00
8.933900e+05 4.58550000e+00
8.966400e+05 4.89235000e+00
8.972900e+05 4.95200000e+00
8.991600e+05 5.12351000e+00
9.022900e+05 5.46153000e+00
9.024900e+05 5.47756000e+00
9.045600e+05 5.64615000e+00
9.057000e+05 5.73285000e+00
9.075200e+05 5.90031000e+00
9.113900e+05 5.87699000e+00
9.115900e+05 5.86962000e+00
9.132100e+05 5.80794000e+00
9.150300e+05 5.68648000e+00
9.173000e+05 5.47851000e+00
9.227600e+05 4.98161000e+00
9.265400e+05 4.66434000e+00
9.286800e+05 4.48458000e+00
9.336900e+05 4.14376000e+00
9.364100e+05 3.95883000e+00
9.432400e+05 3.62948000e+00
9.441000e+05 3.60139000e+00
9.464200e+05 3.52548000e+00
9.496100e+05 3.35790000e+00
9.525700e+05 3.28865000e+00
9.532000e+05 3.27981000e+00
9.590500e+05 3.19837000e+00
9.621200e+05 3.15571000e+00
9.642500e+05 3.15078000e+00
9.646300e+05 3.14991000e+00
9.657600e+05 3.23650000e+00
9.664500e+05 3.72753000e+00
9.666700e+05 4.61180000e+00
9.671300e+05 4.98726000e+00
9.678100e+05 4.73319000e+00
9.682700e+05 4.21315000e+00
9.684900e+05 3.46772000e+00
9.691800e+05 3.21336000e+00
9.712200e+05 3.20195000e+00
9.733500e+05 3.27677000e+00
9.741800e+05 3.30592000e+00
9.764600e+05 3.46769000e+00
9.791900e+05 3.75655000e+00
9.805500e+05 3.92992000e+00
9.819200e+05 3.99931000e+00
9.824500e+05 4.00053000e+00
9.844200e+05 4.00519000e+00
9.857900e+05 3.91265000e+00
9.870000e+05 3.81588000e+00
9.889700e+05 3.65855000e+00
9.922000e+05 3.43251000e+00
9.926100e+05 3.40408000e+00
