64-Gd_n-tot
> 64-Gd-152:0.002000
> 64-Gd-154:0.021800
> 64-Gd-155:0.148000
> 64-Gd-156:0.204700
> 64-Gd-157:0.156500
> 64-Gd-158:0.248400
> 64-Gd-160:0.218600
1.954760e+01 2.21782066e+01
1.956060e+01 2.32389918e+01
1.961120e+01 2.75751958e+01
1.967490e+01 3.69683164e+01
1.970670e+01 4.46095048e+01
1.973850e+01 5.59711172e+01
1.975660e+01 6.62058728e+01
1.977030e+01 7.40371967e+01
1.980210e+01 1.04891954e+02
1.983390e+01 1.61922140e+02
1.985460e+01 2.34488813e+02
1.986570e+01 2.73490012e+02
1.989290e+01 4.28533370e+02
1.992000e+01 5.31980183e+02
1.993630e+01 4.89646721e+02
1.995260e+01 3.96072699e+02
1.997430e+01 2.76005145e+02
2.000000e+01 1.82062634e+02
2.003040e+01 1.21648130e+02
2.006080e+01 8.97366493e+01
2.006380e+01 8.79727700e+01
2.009120e+01 7.24422989e+01
2.012170e+01 6.25990144e+01
2.012760e+01 6.14972624e+01
2.015210e+01 5.78248201e+01
2.016000e+01 5.72970891e+01
2.018250e+01 5.57940593e+01
2.019140e+01 5.58329101e+01
2.022330e+01 5.74348890e+01
2.024330e+01 5.94019113e+01
2.025520e+01 6.12039752e+01
2.028110e+01 6.69672754e+01
2.028590e+01 6.80375296e+01
2.028710e+01 6.83051605e+01
2.030410e+01 7.39667558e+01
2.031890e+01 7.93536552e+01
2.031990e+01 7.98918375e+01
2.035080e+01 9.65216722e+01
2.036500e+01 1.08402951e+02
2.038270e+01 1.23614168e+02
2.041460e+01 1.68491316e+02
2.042580e+01 1.96471716e+02
2.044650e+01 2.48629157e+02
2.046250e+01 3.13151439e+02
2.047840e+01 4.05272473e+02
2.048660e+01 4.74035934e+02
2.049440e+01 5.39643493e+02
2.051030e+01 7.34676484e+02
2.053520e+01 1.16871874e+03
2.054740e+01 1.31481688e+03
2.056000e+01 1.46615639e+03
2.056220e+01 1.44174817e+03
2.057180e+01 1.33524771e+03
2.058490e+01 1.18992036e+03
2.060830e+01 7.88051202e+02
2.060970e+01 7.64089243e+02
2.062510e+01 5.77388149e+02
2.063990e+01 4.51148387e+02
2.064040e+01 4.46883530e+02
2.066910e+01 3.03204031e+02
2.067120e+01 2.92911264e+02
2.070190e+01 2.17336073e+02
2.072990e+01 1.80828508e+02
2.073260e+01 1.77680934e+02
2.076030e+01 1.61824075e+02
2.076330e+01 1.60566543e+02
2.079070e+01 1.58133306e+02
2.079400e+01 1.58630785e+02
2.082110e+01 1.69731976e+02
2.084320e+01 1.87390854e+02
2.085160e+01 1.94117932e+02
2.085550e+01 1.99928233e+02
2.085760e+01 2.03415301e+02
2.088200e+01 2.43935236e+02
2.091240e+01 3.33061742e+02
2.091690e+01 3.57541977e+02
2.094280e+01 5.00566286e+02
2.097320e+01 8.17887818e+02
2.097840e+01 9.05230399e+02
2.100060e+01 1.27937694e+03
2.100160e+01 1.29623056e+03
2.103000e+01 1.62279874e+03
2.105840e+01 1.31209075e+03
2.108680e+01 8.34841332e+02
2.110130e+01 6.63942632e+02
2.110650e+01 6.02836153e+02
2.112430e+01 4.61948429e+02
2.112620e+01 4.46915054e+02
