77-Ir_n-tot
> 77-Ir-191:0.373000
> 77-Ir-193:0.627000
4.161760e+01 3.09685521e+02
4.164090e+01 2.01714633e+02
4.164270e+01 1.96945965e+02
4.166420e+01 1.40663782e+02
4.168740e+01 1.04963147e+02
4.169080e+01 1.01729088e+02
4.171070e+01 8.31036433e+01
4.173890e+01 6.86197001e+01
4.175730e+01 5.93675614e+01
4.180380e+01 4.78988818e+01
4.183500e+01 4.46116125e+01
4.189690e+01 3.85034052e+01
4.193110e+01 3.76104333e+01
4.199010e+01 3.62508600e+01
4.202720e+01 3.70335932e+01
4.217630e+01 4.04969501e+01
4.221950e+01 4.36658169e+01
4.236250e+01 5.43920892e+01
4.245560e+01 6.68864654e+01
4.254870e+01 8.59437760e+01
4.260390e+01 1.03989451e+02
4.264180e+01 1.16410510e+02
4.273500e+01 1.68558200e+02
4.278150e+01 2.09381681e+02
4.282810e+01 2.67145360e+02
4.287460e+01 3.52225637e+02
4.292120e+01 4.83952744e+02
4.296770e+01 7.01389586e+02
4.298840e+01 8.74113143e+02
4.301430e+01 1.09023647e+03
4.303760e+01 1.40465302e+03
4.306090e+01 1.85579318e+03
4.308410e+01 2.51490929e+03
4.310740e+01 3.47444614e+03
4.314370e+01 5.62343323e+03
4.318000e+01 7.11484153e+03
4.321630e+01 5.76515609e+03
4.325260e+01 3.65260601e+03
4.327900e+01 2.58259249e+03
4.330530e+01 1.87455867e+03
4.333170e+01 1.40583815e+03
4.335800e+01 1.08759141e+03
4.337290e+01 9.79128503e+02
4.341080e+01 7.03256120e+02
4.346350e+01 4.92475900e+02
4.351620e+01 3.65594551e+02
4.356890e+01 2.83627093e+02
4.367430e+01 1.87768701e+02
4.375740e+01 1.46936090e+02
4.377980e+01 1.35947019e+02
4.388520e+01 1.04775421e+02
4.394960e+01 9.23907504e+01
4.399060e+01 8.45500691e+01
4.404570e+01 7.73166230e+01
