42-Mo_n-tot
> 42-Mo-100:0.098200
>  42-Mo-92:0.145300
>  42-Mo-94:0.091500
>  42-Mo-95:0.158400
>  42-Mo-96:0.166700
>  42-Mo-97:0.096000
>  42-Mo-98:0.243900
1.137450e+02 5.67458796e+00
1.138140e+02 5.52774936e+00
1.138840e+02 5.43716540e+00
1.139600e+02 5.38100037e+00
1.140220e+02 5.33520275e+00
1.141280e+02 5.29423900e+00
1.141610e+02 5.28154024e+00
1.142990e+02 5.24936038e+00
1.145760e+02 5.21275493e+00
1.145880e+02 5.21199818e+00
1.150210e+02 5.18475457e+00
1.151300e+02 5.17821202e+00
1.156840e+02 5.16010707e+00
1.159140e+02 5.15606099e+00
1.160120e+02 5.15498979e+00
1.160980e+02 5.15405478e+00
1.163600e+02 5.15124760e+00
1.165840e+02 5.15097685e+00
1.168070e+02 5.15401194e+00
1.170300e+02 5.16457262e+00
1.171420e+02 5.17611212e+00
1.172540e+02 5.19662023e+00
1.173650e+02 5.23577521e+00
1.174210e+02 5.26913111e+00
1.174350e+02 5.28179084e+00
1.174770e+02 5.31977154e+00
1.175330e+02 5.40074289e+00
1.175880e+02 5.53877784e+00
1.176440e+02 5.79138511e+00
1.177000e+02 6.27375157e+00
1.177500e+02 6.96846269e+00
1.178000e+02 7.43089605e+00
1.178500e+02 6.96714877e+00
1.179000e+02 6.27055348e+00
1.179510e+02 5.81754225e+00
1.180020e+02 5.56632310e+00
1.180530e+02 5.42202872e+00
1.181030e+02 5.33427356e+00
1.181540e+02 5.27743656e+00
1.182050e+02 5.23887734e+00
1.182350e+02 5.22492515e+00
1.183070e+02 5.19144647e+00
1.184080e+02 5.16442803e+00
1.185100e+02 5.14748873e+00
1.187130e+02 5.12783431e+00
1.189170e+02 5.11683501e+00
1.190080e+02 5.11362259e+00
1.191200e+02 5.11094190e+00
1.195270e+02 5.10622076e+00
1.199330e+02 5.10433931e+00
1.201160e+02 5.10403126e+00
1.202820e+02 5.10588744e+00
1.203400e+02 5.10653741e+00
1.203730e+02 5.10696831e+00
1.206700e+02 5.11088666e+00
1.209470e+02 5.11694662e+00
1.211530e+02 5.12288270e+00
1.211540e+02 5.12291257e+00
1.211550e+02 5.12294324e+00
1.211560e+02 5.12297074e+00
1.211590e+02 5.12305798e+00
1.211660e+02 5.12326789e+00
1.211780e+02 5.12362004e+00
1.212030e+02 5.12435818e+00
1.212240e+02 5.12497954e+00
1.212530e+02 5.12606869e+00
1.213530e+02 5.12983227e+00
1.215010e+02 5.13542411e+00
1.215540e+02 5.13791364e+00
1.217780e+02 5.14848059e+00
1.219540e+02 5.15865053e+00
1.220550e+02 5.16451672e+00
1.223320e+02 5.18400589e+00
1.225100e+02 5.19906731e+00
1.226090e+02 5.20747162e+00
1.227550e+02 5.22228999e+00
1.228860e+02 5.23562713e+00
1.231630e+02 5.26920128e+00
1.234400e+02 5.30907170e+00
1.235790e+02 5.33499718e+00
1.239940e+02 5.41256210e+00
1.241130e+02 5.44381919e+00
1.243570e+02 5.50805938e+00
1.245480e+02 5.55839733e+00
1.246480e+02 5.59561365e+00
1.250000e+02 5.72713656e+00
1.251020e+02 5.76524601e+00
1.251820e+02 5.80789910e+00
1.254490e+02 5.95095363e+00
1.256560e+02 6.06271029e+00
1.257160e+02 6.10958782e+00
1.259760e+02 6.31517088e+00
1.259840e+02 6.32149660e+00
1.261170e+02 6.42882011e+00
