Y-90(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
9612.00 227.153
9615.99 216.651
9619.98 174.340
9622.70 150.503
9625.42 132.961
9630.86 110.946
9636.30 98.5548
9641.75 90.8796
9652.63 82.0118
9663.51 77.0104
9685.28 71.3899
9707.04 68.3036
9728.81 66.7817
9750.57 67.1575
9772.34 71.2751
9783.22 76.2694
9794.10 85.0570
9805.11 100.313
9819.56 132.842
9834.00 158.293
9848.45 138.641
9862.89 104.841
9878.13 80.5381
9893.37 65.7462
9908.61 55.9235
9923.85 48.6729
9939.08 43.1634
9954.32 40.5015
9961.94 42.0667
9969.56 48.8829
9977.18 68.4578
9980.99 88.2929
9984.80 120.035
9988.35 164.890
9991.90 226.575
9999.00 356.720
9999.99 367.338
10000.0 7.66331
12500.0 7.64335
15000.0 7.64578
17000.0 7.65683
20000.0 7.68215
25000.0 7.73621
30000.0 7.79595
35000.0 7.85658
40000.0 7.91597
50000.0 8.02779
60000.0 8.12883
70000.0 8.21928
80000.0 8.30001
90000.0 8.37205
100000 8.43632
125000 8.56834
150000 8.66727
170000 8.72757
200000 8.79296
204780 8.80099
204780 8.79832
204802 8.79829
300000 9.25689
400000 9.22758
689682 8.18641
750000 7.97001
785485 7.83020
900000 7.53199
950000 7.39620
964369 7.34951
1.00000E+06 7.27880
1.01000E+06 7.25501
1.02000E+06 7.23052
1.03000E+06 7.20928
1.04000E+06 7.18822
1.05000E+06 7.16667
1.05926E+06 7.14570
1.06000E+06 7.14436
1.07000E+06 7.12496
1.08000E+06 7.10412
1.09000E+06 7.08211
1.10000E+06 7.06054
1.11000E+06 7.03838
1.13000E+06 6.99280
1.14000E+06 6.96932
1.15000E+06 6.94915
1.16000E+06 6.92858
1.17000E+06 6.90795
1.20000E+06 6.84394
1.20326E+06 6.83691
1.22529E+06 6.79203
1.30000E+06 6.69029
1.31277E+06 6.67019
1.38664E+06 6.57188
1.50000E+06 6.50208
1.55000E+06 6.48757
1.60000E+06 6.44414
1.63000E+06 6.45251
1.65000E+06 6.43389
1.69000E+06 6.40470
1.70000E+06 6.43823
1.75000E+06 6.40097
1.80000E+06 6.40357
1.85000E+06 6.37508
1.90000E+06 6.38331
1.95000E+06 6.38609
2.00000E+06 6.36437
2.01000E+06 6.36003
2.02000E+06 6.35568
2.04000E+06 6.37326
2.06000E+06 6.36419
