16-S_n-g
>   16-S-32:0.949995
>   16-S-33:0.007501
>   16-S-34:0.042504
1.602080e+05 4.47819432e-01
1.602110e+05 2.79245670e-01
1.602150e+05 1.85111615e-01
1.602180e+05 1.31962245e-01
1.602240e+05 7.54612922e-02
1.602300e+05 4.85619938e-02
1.602360e+05 3.38004014e-02
1.602420e+05 2.48665534e-02
1.602540e+05 1.50830298e-02
1.602660e+05 1.01361208e-02
1.602790e+05 7.29644311e-03
1.603030e+05 4.33186003e-03
1.603270e+05 2.89725339e-03
1.603520e+05 2.09608442e-03
1.604010e+05 1.27975333e-03
1.604490e+05 8.93293096e-04
1.604980e+05 6.80332337e-04
1.605960e+05 4.65721057e-04
1.606930e+05 3.64977136e-04
1.607910e+05 3.09612568e-04
1.609860e+05 2.53651601e-04
1.613770e+05 2.11942840e-04
1.617670e+05 1.95815553e-04
1.625300e+05 1.85059071e-04
1.633280e+05 1.73809497e-04
1.633880e+05 1.73459319e-04
1.664510e+05 1.55600213e-04
1.695740e+05 1.43836037e-04
1.711360e+05 1.43685268e-04
1.719170e+05 1.62371335e-04
1.721120e+05 1.83648052e-04
1.723070e+05 2.45238757e-04
1.724050e+05 3.31434492e-04
1.725020e+05 5.75782547e-04
1.725510e+05 9.13762187e-04
1.726000e+05 1.86061832e-03
1.726240e+05 3.15278248e-03
1.726490e+05 6.70039627e-03
1.726610e+05 1.14180999e-02
1.726730e+05 2.38626544e-02
1.726790e+05 3.95824116e-02
1.726850e+05 7.79445397e-02
1.726910e+05 2.15229267e-01
1.726940e+05 4.56637246e-01
1.726960e+05 7.40405503e-01
1.726970e+05 1.31264639e+00
1.726990e+05 2.09109129e+00
1.727000e+05 2.62675547e+00
1.727010e+05 2.26809436e+00
1.727030e+05 1.31260839e+00
1.727040e+05 7.15030186e-01
1.727060e+05 4.18584247e-01
1.727090e+05 1.90040150e-01
1.727130e+05 1.04913948e-01
1.727160e+05 6.69235527e-02
1.727230e+05 3.36210029e-02
1.727290e+05 2.02956131e-02
1.727430e+05 9.64369912e-03
1.727560e+05 5.66397055e-03
1.727830e+05 2.66800927e-03
1.728090e+05 1.58318144e-03
1.728630e+05 7.86937341e-04
1.729160e+05 5.02865949e-04
1.730230e+05 2.97208956e-04
1.731290e+05 2.24461014e-04
1.733420e+05 1.71791041e-04
1.735560e+05 1.52909538e-04
1.741000e+05 1.40200156e-04
1.744090e+05 1.32981131e-04
1.761150e+05 1.24630269e-04
1.795270e+05 1.17968092e-04
1.805750e+05 1.18238188e-04
1.816940e+05 1.18526864e-04
1.863510e+05 1.19742823e-04
1.870500e+05 1.22766400e-04
1.897640e+05 1.34507182e-04
1.931760e+05 1.76403698e-04
1.935250e+05 1.86001964e-04
1.948820e+05 2.23323760e-04
1.965880e+05 3.14903425e-04
1.974410e+05 3.95604624e-04
1.982940e+05 5.22454680e-04
1.991470e+05 7.34793836e-04
2.000000e+05 1.11740725e-03
2.005500e+05 1.53369878e-03
