17-Cl_n-g
>  17-Cl-35:0.757600
>  17-Cl-37:0.242400
3.961760e+02 9.32589283e+00
3.962380e+02 1.00021265e+01
3.963010e+02 1.07518474e+01
3.963630e+02 1.15854346e+01
3.964250e+02 1.25153886e+01
3.964670e+02 1.31957891e+01
3.965080e+02 1.39303580e+01
3.965500e+02 1.47244743e+01
3.965910e+02 1.55843503e+01
3.966330e+02 1.65168801e+01
3.966740e+02 1.75297912e+01
3.967160e+02 1.86317204e+01
3.967570e+02 1.98322891e+01
3.967990e+02 2.11424067e+01
3.968400e+02 2.25741949e+01
3.968820e+02 2.41409874e+01
3.969230e+02 2.58577847e+01
3.969650e+02 2.77411025e+01
3.970060e+02 2.98089717e+01
3.970480e+02 3.20809383e+01
3.970890e+02 3.45777606e+01
3.971310e+02 3.73211816e+01
3.971720e+02 4.03332477e+01
3.972140e+02 4.36347927e+01
3.972550e+02 4.72443778e+01
3.972970e+02 5.11754884e+01
3.973380e+02 5.54333519e+01
3.973800e+02 6.00102408e+01
3.974210e+02 6.48802450e+01
3.974830e+02 7.26148864e+01
3.975870e+02 8.57603070e+01
3.976390e+02 9.17597413e+01
3.976810e+02 9.58879037e+01
3.977120e+02 9.84341972e+01
3.977430e+02 1.00406230e+02
3.977740e+02 1.01725969e+02
3.978070e+02 1.02353262e+02
3.978150e+02 1.02380536e+02
3.978470e+02 1.02016130e+02
3.978670e+02 1.01371412e+02
3.978880e+02 1.00419109e+02
3.979090e+02 9.91766450e+01
3.979300e+02 9.76652330e+01
3.979500e+02 9.59113890e+01
3.979920e+02 9.17892874e+01
3.980330e+02 8.70504993e+01
3.981060e+02 7.79668752e+01
3.981890e+02 6.74610844e+01
3.982300e+02 6.24641821e+01
