Eu-153(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
42.9383 58.7423
42.9670 71.7885
42.9957 91.8909
43.0244 124.567
43.0532 181.346
43.0819 288.073
43.0962 375.853
43.1106 499.067
43.1230 638.008
43.1353 797.985
43.1600 1003.80
43.1847 813.130
43.2094 517.682
43.2339 327.789
43.2583 220.030
43.2828 157.211
43.3072 118.433
43.3561 75.7884
43.4050 54.3219
43.4539 42.0438
43.5028 34.3562
43.6006 25.5808
43.6984 20.9017
43.7962 18.0912
43.9918 15.0435
44.1873 13.7085
44.3829 13.7456
44.4807 14.7684
44.5785 17.8790
44.6274 21.6220
44.6763 29.5609
44.7008 37.1333
44.7252 49.9001
44.7497 72.9024
44.7741 115.923
44.7971 180.835
44.8200 225.740
44.8430 184.737
44.8659 120.787
44.8932 73.7437
44.9205 49.8577
44.9478 37.0601
44.9752 29.6246
45.0298 21.9389
45.0844 18.3663
45.1937 15.5960
45.3029 15.3221
45.4122 17.0199
45.4668 19.0688
45.5214 22.7136
45.5760 29.6004
45.6307 44.2473
45.6580 58.2856
45.6853 82.0887
45.7126 125.376
45.7399 207.419
45.7524 263.935
45.7650 328.923
45.7900 412.536
45.8151 335.156
45.8401 215.177
45.8592 152.143
45.8783 111.395
45.8974 84.9371
45.9165 67.2610
45.9547 46.2776
45.9929 34.9758
46.0310 28.2689
46.0692 23.9956
46.1456 19.1220
46.2220 16.6391
46.2984 15.3221
46.4511 14.5691
46.6039 15.8193
46.6802 17.5613
46.7566 20.7934
46.8330 27.1942
46.8712 32.8875
46.9094 41.9527
46.9475 57.5350
46.9857 87.2256
47.0048 112.867
47.0239 152.063
47.0430 214.118
47.0526 258.067
47.0621 313.177
47.0741 399.504
47.0861 498.795
47.1100 626.871
47.1220 593.861
47.1340 509.473
47.1579 326.927
47.1796 217.365
47.2012 152.241
47.2229 112.963
47.2445 88.2277
47.2879 60.8709
47.3312 47.5616
47.3745 40.7527
47.4178 37.5289
47.5045 37.7910
47.5911 46.4741
47.6344 55.6448
47.6777 70.6547
47.7210 96.2560
47.7644 143.418
47.7860 182.721
47.8077 241.228
47.8293 332.209
47.8510 480.222
47.8510 480.397
47.8511 480.922
47.8511 481.448
