47-Ag_n-tot
> 47-Ag-107:0.518390
> 47-Ag-109:0.481610
1.008460e+02 4.96423892e+00
1.009170e+02 4.96994579e+00
1.009870e+02 4.98360704e+00
1.010220e+02 4.99702640e+00
1.010580e+02 5.01943755e+00
1.010930e+02 5.05897340e+00
1.011280e+02 5.12962820e+00
1.011640e+02 5.24308418e+00
1.012000e+02 5.31894135e+00
1.012360e+02 5.24104404e+00
1.012720e+02 5.12545977e+00
1.012970e+02 5.07069209e+00
1.013210e+02 5.03374375e+00
1.013700e+02 4.99101558e+00
1.014190e+02 4.96900228e+00
1.014680e+02 4.95617485e+00
1.015650e+02 4.94194758e+00
1.016630e+02 4.93385059e+00
1.018590e+02 4.92358699e+00
1.020540e+02 4.91599537e+00
1.028360e+02 4.89087564e+00
1.031150e+02 4.88258577e+00
1.038930e+02 4.86265590e+00
1.044000e+02 4.85342305e+00
1.046720e+02 4.84887723e+00
1.050610e+02 4.85041558e+00
1.052560e+02 4.85749125e+00
1.054500e+02 4.87484968e+00
1.056450e+02 4.91693839e+00
1.057420e+02 4.95952294e+00
1.058400e+02 5.03446649e+00
1.059370e+02 5.18013485e+00
1.059640e+02 5.25075171e+00
1.059860e+02 5.30837210e+00
1.060340e+02 5.50961126e+00
1.060830e+02 5.84847857e+00
1.061320e+02 6.46830752e+00
1.061560e+02 6.98349217e+00
1.061800e+02 7.73586012e+00
1.062050e+02 8.86351148e+00
1.062290e+02 1.05537812e+01
1.062650e+02 1.41570355e+01
1.063000e+02 1.66797994e+01
1.063360e+02 1.44271577e+01
1.063550e+02 1.25067595e+01
1.063710e+02 1.08897032e+01
1.063990e+02 8.99897495e+00
1.064260e+02 7.78890006e+00
1.064540e+02 7.00502233e+00
1.064810e+02 6.48489229e+00
1.065360e+02 5.86784340e+00
1.065910e+02 5.53582575e+00
1.066460e+02 5.33759455e+00
1.067010e+02 5.21042490e+00
1.067460e+02 5.15020094e+00
1.068120e+02 5.06308900e+00
