Mn-55(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
22011.9 0.0146552
22121.5 0.0134969
22231.1 0.0126488
22285.9 0.0123970
22313.3 0.0126046
22327.0 0.0139231
22333.9 0.0191450
22337.3 0.0380447
22339.0 0.0989350
22339.9 0.262094
22340.3 0.580571
22340.7 1.89567
22341.0 3.78098
22341.3 1.89656
22341.7 0.754223
22342.0 0.385930
22342.6 0.155139
22343.9 0.0572267
22346.4 0.0247873
22351.4 0.0153539
22361.5 0.0127816
22381.6 0.0120470
22421.8 0.0117518
22502.2 0.0116388
22582.7 0.0125290
22602.8 0.0135983
22622.9 0.0166379
22633.0 0.0207777
22638.0 0.0248214
22643.0 0.0319947
22648.1 0.0466666
22650.6 0.0605721
22653.1 0.0843432
22655.6 0.130463
22656.9 0.171581
22658.1 0.237107
22659.4 0.352557
22660.6 0.577163
22661.3 0.778904
22661.9 1.09849
22662.5 1.62866
22663.1 2.50491
22663.8 4.00460
22664.5 5.00595
22665.2 4.00498
22665.9 2.50525
22666.8 1.42048
22667.6 0.878382
22668.4 0.587687
22669.2 0.418676
22670.1 0.312126
22670.9 0.242644
22672.5 0.159753
22674.2 0.114100
22675.8 0.0866923
22679.1 0.0566779
22682.4 0.0414666
22685.7 0.0327666
22692.2 0.0236708
22698.8 0.0192712
22705.4 0.0168151
22718.5 0.0143152
22744.8 0.0124907
22771.1 0.0118579
22876.2 0.0114422
23086.5 0.0127051
23191.6 0.0143007
23296.7 0.0171642
23401.9 0.0225090
23507.0 0.0328203
23696.0 0.0607425
23791.0 0.0519774
23886.0 0.0353321
23954.4 0.0267412
24022.8 0.0210580
24159.7 0.0148067
24296.5 0.0118846
24364.9 0.0113320
24382.1 0.0115257
24399.2 0.0124409
24416.3 0.0180516
24424.8 0.0398841
24429.1 0.118857
24431.2 0.375798
24431.8 0.594136
24432.3 1.06562
24432.8 2.39720
24433.1 4.16675
24433.4 7.95633
24433.6 12.8245
24433.8 15.9166
24433.9 12.8177
24434.1 7.95104
24434.3 5.39729
24434.5 3.72585
24434.8 2.00710
24435.4 0.837518
24436.0 0.454468
24436.7 0.285871
24439.2 0.0899863
24444.3 0.0315669
24454.4 0.0155414
24474.6 0.0112163
24515.1 0.00986536
24596.0 0.00913502
24758.0 0.00845788
25081.8 0.00795492
25405.6 0.00816830
25567.5 0.00868688
25648.5 0.00923589
25688.9 0.00982028
25709.2 0.0108545
25719.3 0.0140376
25724.4 0.0255759
25726.9 0.0664274
25728.1 0.194953
25728.8 0.522251
25729.1 1.13524
25729.4 3.36320
25729.7 6.72129
25729.9 3.36343
25730.1 1.70565
25730.3 0.960104
25730.7 0.422376
25731.4 0.150573
25732.9 0.0515113
25735.9 0.0215010
25741.9 0.0132916
25753.9 0.0113686
25777.8 0.0114971
25825.7 0.0141636
25849.7 0.0176036
25861.7 0.0208045
25873.7 0.0262603
25885.6 0.0367799
25891.6 0.0461695
25897.6 0.0613415
25903.6 0.0881197
25909.6 0.141571
25912.6 0.190250
25915.6 0.268525
25918.6 0.401596
25921.6 0.633172
25924.7 1.00691
25927.8 1.25612
25931.0 1.00716
25934.1 0.633504
25936.0 0.472881
25937.9 0.359361
25941.7 0.222726
25945.4 0.150559
25949.2 0.109137
25953.0 0.0833977
25956.8 0.0664788
25964.3 0.0464784
25971.9 0.0356094
25979.4 0.0291133
25994.5 0.0221300
26009.6 0.0187401
26024.8 0.0169212
26055.0 0.0153452
26085.2 0.0150037
26115.4 0.0152737
26145.6 0.0159661
26160.7 0.0164570
26175.9 0.0170489
26191.0 0.0177511
26206.1 0.0185780
26221.2 0.0195497
26236.3 0.0206930
26251.4 0.0220436
26266.5 0.0236491
26281.6 0.0255726
26296.7 0.0278990
26311.8 0.0307436
26327.0 0.0342643
26342.1 0.0386793
26357.2 0.0442916
26372.3 0.0515199
26387.4 0.0609294
26402.5 0.0732323
26417.6 0.0891582
26450.0 0.134931
26482.4 0.164659
26514.8 0.134898
26547.2 0.0915320
26581.6 0.0634426
26615.9 0.0493088
26650.3 0.0426351
26684.6 0.0401014
26753.3 0.0422629
26822.0 0.0514653
26917.5 0.0734502
27013.0 0.0879326
27108.5 0.0710642
27204.0 0.0466558
27278.0 0.0337565
27352.0 0.0254733
27426.0 0.0201230
27500.0 0.0165560
27596.0 0.0135069
27692.0 0.0115114
27883.9 0.00916334
28075.9 0.00790406
28171.9 0.00752835
28219.9 0.00754724
28243.9 0.00823403
28255.9 0.0111330
28261.9 0.0218556
28264.9 0.0577705
28266.4 0.159238
28267.1 0.374564
28267.5 0.677176
28267.9 1.43999
28268.3 2.87237
28268.8 1.44007
28269.3 0.568680
28269.8 0.283646
28270.7 0.112079
28272.6 0.0401059
28276.5 0.0164076
28284.1 0.00955052
28299.5 0.00766910
28330.1 0.00710800
28391.4 0.00683293
28514.0 0.00655693
