In-115(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
198.453 5.05063
198.518 5.11164
198.582 5.22838
198.647 5.47539
198.679 5.70125
198.711 6.04587
198.756 6.73813
198.800 7.19837
198.845 6.73098
198.889 6.03125
198.924 5.65862
198.959 5.42116
199.028 5.16582
199.097 5.04338
199.167 4.97556
199.306 4.90400
199.445 4.86536
200.000 4.78370
200.694 4.70829
201.388 4.63302
202.081 4.55640
202.775 4.49040
203.122 4.47478
203.469 4.49171
203.816 4.58407
204.163 4.86474
204.336 5.16499
204.510 5.68830
204.683 6.64678
204.856 8.54392
204.943 10.2146
205.030 12.8130
205.117 17.0997
205.203 24.7584
205.247 31.0006
205.290 40.1143
205.333 54.1340
205.377 76.9616
205.420 117.500
205.442 150.295
205.463 197.670
205.485 269.601
205.507 383.433
205.529 571.521
205.550 885.291
205.575 1443.24
205.600 1837.08
205.625 1498.42
205.650 957.241
205.674 611.260
205.698 410.889
205.722 292.217
205.746 218.340
205.770 169.448
205.794 135.742
205.843 93.7788
205.891 69.5772
205.939 54.4073
206.035 37.0694
206.131 27.8401
206.228 22.3115
206.324 18.7144
206.420 16.2303
206.613 13.0791
206.805 11.2092
206.998 9.99279
207.190 9.14841
207.575 8.06688
207.960 7.41276
208.346 6.97874
208.731 6.67171
209.501 6.27070
210.271 6.03617
210.656 5.97309
211.041 5.98221
211.234 6.06106
211.330 6.14899
211.426 6.30521
211.522 6.60177
211.619 7.23181
211.667 7.83437
211.715 8.84859
211.763 10.6763
211.811 14.0953
211.856 19.1275
211.900 22.4734
211.945 19.1173
211.989 14.0727
212.021 11.5870
212.052 9.93469
212.084 8.83606
212.115 8.08728
212.179 7.18001
