Cd-110(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1136.75 0.557446
1136.85 0.434923
1137.06 0.285536
1137.27 0.202683
1137.68 0.118109
1138.10 0.0780826
1138.51 0.0560021
1139.34 0.0336968
1141.00 0.0172847
1142.66 0.0112777
1145.98 0.00668002
1149.30 0.00488130
1155.93 0.00340812
1162.57 0.00281565
1175.84 0.00240225
1189.11 0.00237622
1215.66 0.00299424
1222.30 0.00341374
1228.93 0.00429934
1235.57 0.00807422
1237.23 0.0117459
1238.89 0.0219938
1239.72 0.0361072
1240.55 0.0755448
1240.96 0.129447
1241.17 0.182657
1241.38 0.277763
1241.58 0.476318
1241.69 0.667904
1241.79 1.00002
1241.89 1.66893
1241.95 2.28707
1242.00 3.29559
1242.05 5.19218
1242.08 6.80790
1242.10 9.28839
1242.13 13.3472
1242.15 20.5443
1242.18 34.5725
1242.19 46.5413
1242.20 62.2577
1242.23 100.986
1242.25 125.333
1242.27 99.0169
1242.29 62.2600
1242.31 39.5439
1242.32 26.3260
1242.34 18.4667
1242.36 13.7617
1242.40 8.19905
1242.44 5.45629
1242.47 3.84782
1242.51 2.87564
1242.59 1.76717
1242.66 1.19419
1242.74 0.860627
1242.89 0.509574
1243.04 0.336239
1243.18 0.239321
1243.48 0.139452
1243.78 0.0918899
1244.08 0.0655959
1244.68 0.0390552
1245.88 0.0198026
1247.07 0.0130320
1249.47 0.00826362
1251.86 0.00670897
1256.64 0.00588028
1261.43 0.00593966
1271.00 0.00693887
1280.57 0.00879582
1290.14 0.0119079
1299.71 0.0176445
1304.49 0.0228232
1309.28 0.0325000
1311.67 0.0423669
1312.87 0.0508798
1314.06 0.0651191
1315.26 0.0935350
1315.86 0.120809
1316.46 0.169587
1317.05 0.271976
1317.35 0.372613
1317.65 0.553872
1317.80 0.705492
1317.95 0.933055
1318.10 1.30325
1318.25 1.95491
1318.32 2.49179
1318.40 3.28976
1318.47 4.54943
1318.55 6.66920
1318.62 10.7849
1318.66 14.4897
1318.70 20.2544
1318.74 30.5335
1318.77 49.9007
1318.79 67.3509
1318.81 92.8862
1318.83 136.204
1318.85 202.555
1318.87 321.919
1318.89 400.623
1318.91 321.927
1318.94 202.565
1318.95 148.444
1318.96 110.741
1318.99 67.3570
1319.02 44.4552
1319.04 31.2781
1319.07 23.1097
1319.10 17.7334
1319.15 11.3563
1319.21 7.87967
1319.26 5.78471
1319.37 3.49964
1319.48 2.34857
1319.58 1.68944
1319.69 1.27747
1319.80 1.00305
1320.02 0.671876
1320.23 0.487475
1320.45 0.374552
1320.66 0.300560
1321.10 0.213053
1321.53 0.165679
1322.39 0.119950
1323.26 0.100863
1324.12 0.0927206
1325.85 0.0907365
1329.31 0.112961
1332.76 0.166275
1334.49 0.212545
1335.36 0.243902
1336.22 0.283117
1337.09 0.333040
1337.52 0.363193
1337.95 0.397714
1338.38 0.437482
1338.81 0.483608
1339.25 0.537514
1339.68 0.601046
1340.11 0.676818
1340.54 0.767725
1341.41 1.01475
1341.84 1.18564
1342.27 1.40361
1342.70 1.68761
1343.13 2.06706
1343.57 2.58971
1344.00 3.33697
1344.43 4.45662
1344.86 6.23845
1345.29 9.30921
1345.51 11.7383
1345.73 15.2045
1345.94 20.3427
1346.16 28.2841
1346.37 41.0433
1346.59 61.7831
1346.85 99.2868
1347.11 124.451
1347.37 99.2334
1347.63 61.7327
1347.80 44.9608
1347.96 33.3912
1348.29 19.8883
1348.62 12.9482
1348.96 9.02542
1349.29 6.61744
1349.62 5.05200
1350.28 3.21077
1350.94 2.21399
1351.61 1.61765
1352.93 0.969974
1354.26 0.645284
1355.58 0.459911
1356.91 0.344269
1358.23 0.267380
1360.88 0.174588
1363.53 0.122933
1366.18 0.0912418
1368.83 0.0704253
1374.13 0.0456325
1379.43 0.0319977
1384.72 0.0237072
1390.02 0.0182941
1400.62 0.0118912
1411.22 0.00839506
1421.82 0.00628151
1432.42 0.00490888
1453.61 0.00329857
1474.81 0.00243280
1517.20 0.00160314
1559.59 0.00127074
1601.99 0.00116807
1644.38 0.00128099
1665.57 0.00169117
1676.17 0.00309308
1681.47 0.00846756
1682.80 0.0139656
1684.12 0.0294696
1684.78 0.0508545
1685.45 0.110375
1685.78 0.191047
1685.94 0.270162
1686.11 0.410212
1686.27 0.699039
1686.36 0.973738
1686.44 1.44079
1686.52 2.35921
1686.56 3.19702
1686.60 4.52489
1686.65 6.94293
1686.67 8.92654
1686.69 11.6877
1686.71 16.1316
1686.73 22.9567
1686.75 35.1756
1686.77 55.7015
