16-S_n-tot
>   16-S-32:0.949995
>   16-S-33:0.007501
>   16-S-34:0.042504
1.601960e+05 5.15051443e+00
1.601970e+05 8.15794197e+00
1.602000e+05 1.57666321e+01
1.602010e+05 1.82149590e+01
1.602030e+05 1.85427071e+01
1.602050e+05 1.61612594e+01
1.602080e+05 1.28738013e+01
1.602110e+05 1.06595526e+01
1.602150e+05 9.14554506e+00
1.602180e+05 8.14431646e+00
1.602240e+05 6.87462840e+00
1.602300e+05 6.13235857e+00
1.602360e+05 5.65115686e+00
1.602420e+05 5.31576039e+00
1.602540e+05 4.88098420e+00
1.602660e+05 4.61241913e+00
1.602790e+05 4.43041749e+00
1.603030e+05 4.19976524e+00
1.603270e+05 4.05969502e+00
1.603520e+05 3.96551894e+00
1.604010e+05 3.84663053e+00
1.604490e+05 3.77432049e+00
1.604980e+05 3.72539921e+00
1.605960e+05 3.66276346e+00
1.606930e+05 3.62364021e+00
1.607910e+05 3.59629678e+00
1.609860e+05 3.55932745e+00
1.613770e+05 3.51501899e+00
1.617670e+05 3.48566359e+00
1.625300e+05 3.44730270e+00
1.633280e+05 3.40718638e+00
1.633880e+05 3.40497670e+00
1.664510e+05 3.29213928e+00
1.695740e+05 3.19276645e+00
1.711360e+05 3.14135098e+00
1.719170e+05 3.10406755e+00
1.721120e+05 3.08791151e+00
1.723070e+05 3.06080203e+00
1.724050e+05 3.03638403e+00
1.725020e+05 2.99058178e+00
1.725510e+05 2.94674270e+00
1.726000e+05 2.86243383e+00
1.726240e+05 2.78153866e+00
1.726490e+05 2.62846275e+00
1.726610e+05 2.48600945e+00
1.726730e+05 2.23007925e+00
1.726790e+05 2.00893864e+00
1.726850e+05 1.65490323e+00
1.726910e+05 1.07705850e+00
1.726940e+05 8.78121561e-01
1.726960e+05 1.18180430e+00
1.726970e+05 2.75238341e+00
1.726990e+05 6.59167394e+00
1.727000e+05 1.26971302e+01
1.727010e+05 1.47721566e+01
1.727030e+05 1.30566079e+01
1.727040e+05 1.03113122e+01
1.727060e+05 8.41491294e+00
1.727090e+05 6.47895575e+00
1.727130e+05 5.51635380e+00
