48-Cd_n-tot
> 48-Cd-106:0.014972
> 48-Cd-108:0.010660
> 48-Cd-110:0.149599
> 48-Cd-111:0.153312
> 48-Cd-112:0.289017
> 48-Cd-113:0.146365
> 48-Cd-114:0.146365
> 48-Cd-116:0.089711
6.679780e+01 1.10807051e+03
6.681560e+01 7.02090708e+02
6.683080e+01 4.67853419e+02
6.684610e+01 3.24211284e+02
6.686130e+01 2.35122492e+02
6.687660e+01 1.77604139e+02
6.690700e+01 1.11647673e+02
6.693750e+01 7.72154029e+01
6.696800e+01 5.71461046e+01
6.699850e+01 4.44620487e+01
6.705940e+01 2.99413154e+01
6.706860e+01 2.87799336e+01
6.708430e+01 2.67982990e+01
6.712040e+01 2.22418841e+01
6.718140e+01 1.76591742e+01
6.724230e+01 1.47017531e+01
6.730330e+01 1.26761758e+01
6.734530e+01 1.18035023e+01
6.742520e+01 1.01433201e+01
6.754710e+01 8.66758753e+00
6.766900e+01 7.72483056e+00
6.769450e+01 7.59024045e+00
6.779090e+01 7.08180148e+00
6.799950e+01 6.39308552e+00
6.803480e+01 6.27676442e+00
6.817590e+01 6.00334435e+00
6.827860e+01 5.80541339e+00
6.830460e+01 5.77304488e+00
6.852240e+01 5.50539309e+00
6.860970e+01 5.43159576e+00
6.876220e+01 5.30715866e+00
6.876620e+01 5.30408086e+00
6.891480e+01 5.23578819e+00
6.906730e+01 5.18234172e+00
6.914360e+01 5.16969885e+00
6.921980e+01 5.17772198e+00
6.925390e+01 5.20069027e+00
6.928320e+01 5.22674373e+00
6.929610e+01 5.23827107e+00
6.933420e+01 5.30518291e+00
6.937240e+01 5.41383637e+00
6.941050e+01 5.59730961e+00
6.944860e+01 5.92483153e+00
6.948680e+01 6.55197775e+00
6.952490e+01 7.80897835e+00
6.955750e+01 9.58628872e+00
6.959000e+01 1.08068663e+01
6.962260e+01 9.65791487e+00
6.965510e+01 7.88164592e+00
6.968730e+01 6.73743097e+00
6.971560e+01 6.16048931e+00
6.971940e+01 6.08301407e+00
6.974160e+01 5.81663519e+00
6.975160e+01 5.69774368e+00
6.978370e+01 5.45874446e+00
6.981590e+01 5.30020893e+00
6.984800e+01 5.18946728e+00
6.991230e+01 5.04689921e+00
6.997670e+01 4.95928529e+00
7.004100e+01 4.89909777e+00
7.016960e+01 4.81798128e+00
7.022920e+01 4.79160260e+00
7.029820e+01 4.76540005e+00
7.039050e+01 4.73814436e+00
7.042680e+01 4.72751981e+00
7.068410e+01 4.66660898e+00
7.071690e+01 4.65990734e+00
7.094130e+01 4.62566009e+00
7.119850e+01 4.58997610e+00
7.169220e+01 4.52587491e+00
7.171300e+01 4.52394105e+00
7.218000e+01 4.48337277e+00
7.260510e+01 4.44615404e+00
7.266750e+01 4.44075961e+00
7.274200e+01 4.43575945e+00
7.364280e+01 4.37745896e+00
7.377090e+01 4.37062173e+00
7.461820e+01 4.32612518e+00
7.464440e+01 4.32500385e+00
7.481970e+01 4.31765038e+00
7.500000e+01 4.31015688e+00
7.582880e+01 4.27572326e+00
7.656880e+01 4.24517466e+00
7.703430e+01 4.22953070e+00
7.710890e+01 4.22711573e+00
7.712880e+01 4.22659692e+00
7.788670e+01 4.20683336e+00
7.814160e+01 4.20023046e+00
7.823020e+01 4.19822535e+00
7.851940e+01 4.19143700e+00
7.924890e+01 4.17776857e+00
7.949480e+01 4.17560418e+00
7.957330e+01 4.17533283e+00
7.994460e+01 4.17957907e+00
8.035620e+01 4.18453675e+00
8.047010e+01 4.18821247e+00
8.080560e+01 4.20227699e+00
8.090990e+01 4.20833082e+00
8.095770e+01 4.21259472e+00
8.097360e+01 4.21420074e+00
8.118670e+01 4.23605186e+00
8.120160e+01 4.23874757e+00
8.132510e+01 4.26312719e+00
8.139430e+01 4.29228771e+00
8.142170e+01 4.32572942e+00
8.144540e+01 4.35494535e+00
8.146350e+01 4.37789414e+00
8.152000e+01 4.50197723e+00
8.157650e+01 4.39897967e+00
8.162750e+01 4.34441494e+00
8.167850e+01 4.33105629e+00
8.168920e+01 4.33168966e+00
8.172970e+01 4.33639104e+00
8.178050e+01 4.34267418e+00
8.181110e+01 4.35077279e+00
8.188380e+01 4.37600626e+00
8.193310e+01 4.39340475e+00
8.198450e+01 4.42090767e+00
8.200250e+01 4.43228270e+00
8.203780e+01 4.45476470e+00
