34-Se_n-g
>  34-Se-74:0.008900
>  34-Se-76:0.093700
>  34-Se-77:0.076300
>  34-Se-78:0.237700
>  34-Se-80:0.496100
>  34-Se-82:0.087300
3.598910e+02 1.33625460e-01
3.610680e+02 1.42298404e-01
3.618780e+02 1.50887549e-01
3.627470e+02 1.60858990e-01
3.636110e+02 1.73369307e-01
3.638450e+02 1.77027535e-01
3.653440e+02 2.08426265e-01
3.656020e+02 2.14486845e-01
3.662100e+02 2.32157884e-01
3.666220e+02 2.45608782e-01
3.666440e+02 2.46503239e-01
3.670770e+02 2.66507609e-01
3.675100e+02 2.91983757e-01
3.677270e+02 3.09301708e-01
3.679440e+02 3.33174057e-01
3.680110e+02 3.44800242e-01
3.681600e+02 3.72197078e-01
3.682690e+02 4.02252818e-01
3.683770e+02 4.45051361e-01
3.684570e+02 4.93471598e-01
3.684850e+02 5.10744297e-01
3.685930e+02 6.20161947e-01
3.687020e+02 8.16602279e-01
3.688100e+02 1.19000496e+00
3.689050e+02 1.71545663e+00
3.690000e+02 2.06679934e+00
3.690950e+02 1.72633757e+00
3.691900e+02 1.21150741e+00
3.692610e+02 9.48483531e-01
3.693320e+02 7.79187331e-01
3.693990e+02 6.76368380e-01
3.694030e+02 6.70305761e-01
3.694740e+02 5.99924094e-01
3.696160e+02 5.20547162e-01
3.697570e+02 4.82574299e-01
3.698990e+02 4.64383100e-01
3.700410e+02 4.56622263e-01
3.703250e+02 4.56672886e-01
3.706080e+02 4.66570051e-01
3.707880e+02 4.75787909e-01
3.708920e+02 4.85179455e-01
3.713120e+02 5.27633790e-01
3.714590e+02 5.45071400e-01
3.720260e+02 6.15911058e-01
3.721760e+02 6.35057974e-01
3.725940e+02 7.12676458e-01
3.727400e+02 7.40038339e-01
3.728020e+02 7.53063849e-01
3.728700e+02 7.67351448e-01
3.732170e+02 8.57512272e-01
3.733910e+02 9.08508053e-01
3.735650e+02 9.64223502e-01
3.737280e+02 1.02189079e+00
3.737380e+02 1.02544053e+00
3.739120e+02 1.09339736e+00
3.739990e+02 1.13016006e+00
3.740850e+02 1.16893502e+00
3.741670e+02 1.20767921e+00
3.741720e+02 1.21024958e+00
3.742590e+02 1.25740450e+00
3.744320e+02 1.36009878e+00
3.746060e+02 1.47596525e+00
3.747800e+02 1.60790127e+00
3.749530e+02 1.75935141e+00
3.751270e+02 1.93553258e+00
3.753000e+02 2.14254682e+00
3.754740e+02 2.38925597e+00
3.755950e+02 2.59759638e+00
3.756470e+02 2.69158811e+00
3.758210e+02 3.07267862e+00
3.759940e+02 3.54522473e+00
3.759970e+02 3.55557169e+00
3.761680e+02 4.14543111e+00
3.763420e+02 4.92603019e+00
3.765150e+02 5.97265685e+00
3.766890e+02 7.42592822e+00
3.768620e+02 9.53059654e+00
3.770230e+02 1.25004275e+01
3.770360e+02 1.27414899e+01
3.772090e+02 1.79885360e+01
3.773800e+02 2.70853273e+01
3.773830e+02 2.72451055e+01
3.774700e+02 3.46740717e+01
3.775570e+02 4.52713160e+01
3.776430e+02 6.06640557e+01
3.777300e+02 8.29136446e+01
3.777360e+02 8.50975283e+01
3.778650e+02 1.32058054e+02
3.779150e+02 1.44183363e+02
3.780000e+02 1.64800405e+02
3.780930e+02 1.42266602e+02
3.781350e+02 1.32092127e+02
3.782660e+02 8.45199089e+01
3.782700e+02 8.30673231e+01
3.782720e+02 8.25878361e+01
3.783890e+02 5.45452029e+01
3.784500e+02 4.57894733e+01
3.785080e+02 3.74682480e+01
3.786270e+02 2.71011234e+01
3.786290e+02 2.69907327e+01
3.787460e+02 2.05429079e+01
3.788070e+02 1.86576368e+01
3.789830e+02 1.32345810e+01
3.789860e+02 1.31886137e+01
3.791640e+02 1.04825592e+01
3.792210e+02 9.62361217e+00
3.793430e+02 8.62272553e+00
3.794590e+02 7.69112832e+00
3.795210e+02 7.40953016e+00
3.796970e+02 6.64625991e+00
3.796990e+02 6.64262098e+00
3.798780e+02 6.36019216e+00
3.801720e+02 6.04798229e+00
3.802350e+02 6.08019055e+00
3.805920e+02 6.63147184e+00
3.806480e+02 6.81831453e+00
3.809490e+02 8.03378713e+00
3.811230e+02 9.12794855e+00
3.811270e+02 9.15455648e+00
3.813050e+02 1.07545607e+01
3.814840e+02 1.29697495e+01
3.815990e+02 1.50098672e+01
3.816620e+02 1.61403216e+01
3.818410e+02 2.08568027e+01
3.820190e+02 2.81719325e+01
3.820740e+02 3.18944297e+01
3.821980e+02 4.03073793e+01
3.823760e+02 6.21155915e+01
3.824650e+02 7.98767484e+01
3.825550e+02 1.05504568e+02
3.826440e+02 1.43263426e+02
3.827330e+02 1.98741868e+02
3.828670e+02 3.17188801e+02
3.830000e+02 3.95885657e+02
3.830250e+02 3.81061572e+02
3.831340e+02 3.16440778e+02
3.832680e+02 1.97670761e+02
3.833820e+02 1.30441749e+02
3.834960e+02 8.94403182e+01
3.836100e+02 6.41178168e+01
3.837240e+02 4.78314809e+01
3.839520e+02 2.92519703e+01
3.839760e+02 2.82380273e+01
3.841800e+02 1.96307639e+01
3.844080e+02 1.40636663e+01
3.846360e+02 1.05682431e+01
3.849270e+02 8.03438434e+00
3.850920e+02 6.60265369e+00
3.855480e+02 4.52850234e+00
3.858780e+02 3.64232191e+00
3.860040e+02 3.30694103e+00
3.864600e+02 2.53105358e+00
3.869160e+02 2.00331781e+00
3.869350e+02 1.98963039e+00
3.873430e+02 1.69571828e+00
3.877800e+02 1.38096973e+00
3.878280e+02 1.34715438e+00
3.887400e+02 9.77245257e-01
3.896520e+02 7.41722207e-01
3.896820e+02 7.36403187e-01
3.905640e+02 5.86719918e-01
3.915840e+02 4.78148928e-01
3.923880e+02 3.95868012e-01
3.934860e+02 3.29858179e-01
3.942120e+02 2.88508557e-01
3.960360e+02 2.21744939e-01
3.964190e+02 2.11940344e-01
3.972900e+02 1.89683689e-01
3.978600e+02 1.76306005e-01
4.010940e+02 1.27838185e-01
4.015070e+02 1.22168599e-01
4.051550e+02 9.24975038e-02
4.054960e+02 9.06323825e-02
4.087030e+02 7.31848035e-02
4.088030e+02 7.27081820e-02
4.124510e+02 6.05311763e-02
4.145720e+02 5.57696657e-02
4.152010e+02 5.43801835e-02
4.163110e+02 5.19408944e-02
4.197470e+02 4.53104543e-02
4.236480e+02 4.05720065e-02
4.239190e+02 4.02612890e-02
4.270430e+02 3.71854826e-02
4.281870e+02 3.64460498e-02
4.304560e+02 3.52003989e-02
4.327250e+02 3.43114658e-02
4.343380e+02 3.43062370e-02
4.349940e+02 3.44225027e-02
4.361280e+02 3.54323931e-02
4.372630e+02 3.77529039e-02
4.383980e+02 4.32721549e-02
4.389650e+02 4.89032584e-02
4.391350e+02 5.19469171e-02
4.395320e+02 5.90968461e-02
4.400990e+02 7.98968375e-02
4.403830e+02 9.93459479e-02
4.406670e+02 1.32214321e-01
