As-75(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
2021.80 1.91981
2021.91 1.47306
2022.13 0.947636
2022.34 0.662561
2022.55 0.492724
2022.98 0.308468
2023.41 0.216074
2023.84 0.163552
2024.70 0.109555
2025.56 0.0841342
2026.41 0.0706206
2028.13 0.0586233
2031.56 0.0567993
2034.98 0.0700416
2038.41 0.105237
2040.13 0.141439
2041.84 0.207347
2042.70 0.262467
2043.56 0.345603
2044.41 0.479494
2045.27 0.715375
2045.70 0.907448
2046.13 1.19071
2046.56 1.63312
2046.99 2.37711
2047.42 3.77824
2047.63 4.98666
2047.84 6.86903
2048.06 10.0334
2048.27 15.8079
2048.38 20.6002
2048.49 27.6578
2048.59 38.3129
2048.70 54.4073
2048.85 87.0389
2049.00 108.787
2049.15 87.0257
2049.30 54.3939
2049.44 34.7428
2049.58 23.2838
2049.71 16.4102
2049.85 12.0852
2050.12 7.24543
2050.40 4.80085
2050.67 3.40127
2050.95 2.53534
2051.50 1.56194
2052.05 1.05872
2052.59 0.765725
2053.14 0.580442
2053.69 0.455927
2054.79 0.304221
2055.89 0.218839
2056.99 0.166069
2058.08 0.131180
2060.28 0.0893346
2062.48 0.0661082
2066.87 0.0424641
2071.26 0.0311822
2075.65 0.0248638
2084.44 0.0182806
2102.00 0.0130543
2119.57 0.0109029
2154.70 0.00934114
2172.27 0.0102323
2176.66 0.0114996
2181.05 0.0151951
2183.25 0.0203185
2185.45 0.0345727
2186.54 0.0538141
2187.64 0.105725
2188.19 0.173219
2188.47 0.236890
2188.74 0.345245
2189.02 0.553834
2189.15 0.737474
2189.29 1.03003
2189.43 1.53492
2189.56 2.50610
2189.63 3.36166
2189.70 4.66654
2189.77 6.79751
2189.84 10.2104
2189.92 16.3423
2190.00 20.3518
2190.08 16.2621
2190.16 10.2096
2190.25 6.27529
2190.33 4.09591
2190.41 2.82238
2190.49 2.05326
2190.57 1.54938
2190.65 1.21149
2190.82 0.795087
2190.98 0.561212
2191.14 0.417472
2191.47 0.258149
2191.79 0.176203
2192.12 0.128899
2192.77 0.0790357
2194.07 0.0410964
2195.37 0.0271771
2197.98 0.0169381
2200.58 0.0133027
2205.79 0.0107830
2211.00 0.0101235
2221.42 0.0115542
2226.63 0.0187342
2227.93 0.0258440
2229.24 0.0450934
2229.89 0.0703637
2230.54 0.135896
2230.86 0.217164
2231.19 0.409105
2231.35 0.621888
2231.51 1.05395
2231.60 1.45674
2231.68 2.11056
2231.76 3.24739
2231.84 5.28243
2231.92 8.45779
2232.00 10.5362
2232.08 8.41633
2232.16 5.28282
2232.25 3.03491
2232.35 1.88908
2232.44 1.26187
2232.53 0.899073
2232.72 0.518241
2232.90 0.336720
2233.27 0.176713
2233.64 0.110637
2234.38 0.0580960
2235.12 0.0381661
2236.60 0.0233301
2238.08 0.0181750
2244.00 0.0157091
2246.96 0.0191598
2249.92 0.0301959
2251.40 0.0455188
2252.88 0.0875365
2253.62 0.143228
2253.99 0.196513
2254.36 0.289215
2254.73 0.472168
2254.91 0.638848
2255.10 0.913553
2255.28 1.41216
2255.37 1.83061
2255.47 2.45239
2255.56 3.45072
2255.65 5.12710
2255.74 8.18064
2255.84 13.9896
2255.92 22.3922
2256.00 27.8877
2256.08 22.2836
2256.17 13.9886
2256.23 9.68309
2256.29 6.89253
2256.35 5.07875
2256.41 3.86570
2256.54 2.42700
2256.66 1.65820
2256.78 1.19839
2256.91 0.905567
2257.16 0.570187
2257.40 0.391986
2257.65 0.287124
2258.15 0.174502
2258.64 0.118715
2259.14 0.0871154
2260.12 0.0545657
2262.10 0.0304528
2264.08 0.0219378
2268.04 0.0163817
2272.00 0.0156866
2275.96 0.0179964
2277.94 0.0210037
2279.92 0.0268002
2281.89 0.0393954
2283.87 0.0744996
2284.86 0.121717
2285.36 0.167452
2285.85 0.247888
2286.35 0.410254
2286.60 0.561978
2286.84 0.817321
2287.09 1.30094
2287.21 1.72118
2287.34 2.37299
2287.46 3.47746
2287.58 5.49940
2287.65 7.20432
2287.71 9.73945
2287.77 13.6126
2287.83 19.4250
2287.92 31.2007
2288.00 38.9496
2288.09 31.0514
2288.17 19.4234
2288.25 12.1080
2288.33 7.98640
2288.41 5.54399
2288.50 4.05357
2288.58 3.06968
2288.66 2.40612
2288.82 1.58356
2288.98 1.11886
2289.15 0.832129
2289.47 0.513134
2289.80 0.348493
2290.12 0.253241
2290.77 0.152633
2291.43 0.103519
2292.08 0.0759459
2293.38 0.0477354
2294.68 0.0343501
2295.98 0.0269839
2298.59 0.0196270
2301.19 0.0162812
2303.80 0.0145725
2309.00 0.0132855
2314.21 0.0135731
2319.42 0.0159307
2322.03 0.0193443
2324.63 0.0287157
2325.93 0.0412785
2327.23 0.0752432
2327.88 0.119776
2328.54 0.235102
2328.86 0.377891
2329.02 0.506540
2329.19 0.714385
2329.35 1.08644
2329.43 1.39301
