Mo-94(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
6713.80 0.733389
6714.41 1.03546
6714.71 1.40627
6715.01 2.03214
6715.32 3.06068
6715.62 4.74380
6715.92 7.53138
6716.22 12.2708
6716.53 20.6616
6716.68 27.2601
6716.83 36.3548
6716.98 49.2730
6717.13 67.6648
6717.29 94.4812
6717.44 132.917
6717.72 243.659
6718.00 346.414
6718.14 346.762
6718.28 312.958
6718.57 219.683
6718.80 160.091
6719.04 120.524
6719.27 94.3641
6719.51 76.5938
6719.98 54.7237
6720.45 42.3714
6720.92 34.6333
6721.39 29.4395
6722.34 23.0055
6723.28 19.2394
6724.22 16.7996
6725.17 15.1025
6726.11 13.8606
6727.99 12.1692
6729.88 11.0782
6731.76 10.3182
6733.65 9.75940
6737.42 8.99395
6741.19 8.49500
6744.96 8.14416
6748.73 7.88402
6756.27 7.52354
6763.81 7.28516
6771.36 7.11528
6778.90 6.98772
6793.98 6.80784
6809.06 6.68590
6824.15 6.59679
6839.23 6.52809
6869.39 6.42733
6899.56 6.35506
6914.64 6.32557
6929.73 6.29940
6944.81 6.27718
6952.35 6.27342
6956.12 6.29829
6957.06 6.32788
6958.01 6.41178
6958.48 6.52477
6958.95 6.82184
6959.18 7.19505
6959.42 8.08728
6959.54 9.09187
6959.66 11.1692
6959.71 13.1289
6959.77 16.4174
6959.83 22.3275
6959.89 33.2421
6959.95 49.4060
6960.00 60.3554
6960.06 49.5051
6960.11 33.3656
6960.15 25.1197
6960.19 19.6892
6960.23 16.1570
6960.27 13.7932
6960.36 10.9877
6960.44 9.47799
6960.60 8.01250
6960.77 7.35578
6961.09 6.80166
6961.42 6.58063
6962.08 6.40705
6962.73 6.34133
6965.35 6.27114
6970.60 6.24607
6981.08 6.22771
7002.06 6.20134
7023.03 6.17815
7044.01 6.15681
7085.96 6.11822
7106.93 6.10070
7117.42 6.09316
7122.66 6.09307
7125.28 6.10696
7126.59 6.16496
7127.25 6.36373
7127.41 6.53730
7127.58 6.93627
7127.74 8.18276
7127.82 10.0261
7127.86 11.8441
7127.90 14.8063
7127.95 20.0519
7128.00 23.5316
7128.05 20.0610
7128.10 14.8086
7128.14 11.6347
7128.19 9.77329
7128.28 7.97859
7128.46 6.82953
7128.82 6.32348
7129.54 6.15120
7130.97 6.09966
7133.85 6.08367
7139.60 6.07558
7151.11 6.06583
7174.12 6.04846
7220.14 6.01576
7312.18 5.95450
7496.27 5.83123
7588.31 5.75525
7634.34 5.70655
7680.36 5.64302
7726.38 5.54953
7749.39 5.48040
7772.40 5.38176
7783.91 5.31369
7795.41 5.22513
7806.92 5.10434
7818.42 4.92860
7824.18 4.80642
7829.93 4.64741
7835.68 4.43169
7841.43 4.12234
7844.31 3.91122
7847.19 3.64222
7850.06 3.28865
7852.94 2.80661
7854.38 2.49607
7855.82 2.12437
7857.25 1.68075
7858.69 1.17129
7860.13 0.692666
7860.85 0.598731
7861.21 0.659806
7861.57 0.858253
7861.93 1.28958
7862.29 2.11963
7862.65 3.67061
7862.83 4.89395
7863.01 6.56702
7863.19 8.90441
7863.37 12.1986
7863.55 16.9199
7863.72 23.7783
7863.90 34.0857
7864.08 49.8764
7864.26 74.5400
7864.44 112.851
