Br-79(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
889.088 3.66606
889.782 3.68118
890.129 3.72305
890.475 3.81540
890.822 4.00896
891.169 4.42475
891.516 5.40238
891.689 6.39455
891.863 8.15429
892.036 11.5942
892.123 14.6188
892.210 19.3512
892.296 27.2114
892.340 33.1699
892.383 41.2780
892.427 52.6142
892.470 68.7331
892.513 92.1167
892.557 125.763
892.592 163.109
892.628 206.936
892.700 267.658
892.736 256.890
892.772 222.971
892.844 145.865
892.929 87.5384
893.014 57.1854
893.099 40.5860
893.184 30.7588
893.270 24.4972
893.355 20.2803
893.525 15.1133
893.695 12.1741
893.866 10.3329
894.206 8.21595
894.547 7.07045
894.888 6.36889
895.228 5.90083
895.569 5.56887
896.250 5.13151
896.931 4.85664
898.294 4.52678
899.657 4.32941
901.019 4.19167
903.744 3.99626
906.470 3.84642
909.195 3.71307
911.920 3.59019
912.601 3.56902
913.283 3.57507
913.623 3.61550
913.794 3.66309
913.964 3.75164
914.134 3.92779
914.304 4.32223
914.390 4.71369
914.475 5.39356
914.560 6.66430
914.645 9.14162
914.723 12.9076
914.800 15.7290
914.878 13.6510
914.955 10.0658
915.014 8.12388
915.073 6.84887
915.133 6.00793
915.192 5.43908
915.310 4.75033
915.428 4.36870
915.665 3.98098
915.901 3.79370
916.374 3.61474
916.848 3.52601
918.740 3.36988
920.633 3.30976
922.525 3.36088
923.471 3.47931
924.418 3.73154
925.364 4.24989
926.310 5.34991
927.256 7.91251
927.729 10.4986
928.203 15.0641
928.676 23.9303
928.912 31.6852
929.149 43.7458
929.385 63.6339
929.622 98.8261
929.859 166.453
929.977 223.118
930.095 303.794
930.298 503.979
930.500 654.397
930.703 544.720
930.905 354.768
931.040 262.727
931.175 198.790
931.445 123.557
931.715 84.5165
931.985 62.1500
932.255 48.2324
932.525 38.9917
933.064 27.8371
933.604 21.5728
934.144 17.6733
935.224 13.2134
936.303 10.8091
937.383 9.33817
938.462 8.35813
939.542 7.66368
941.701 6.75148
943.860 6.18210
946.020 5.79323
948.179 5.51011
952.497 5.12243
956.816 4.86526
965.453 4.53298
974.089 4.31419
982.726 4.14778
991.363 4.00785
1000.00 3.87937
1005.92 3.79063
1007.40 3.76838
1008.88 3.74997
1009.63 3.74840
1010.00 3.75439
1010.37 3.77207
1010.74 3.81882
1010.92 3.86797
1011.11 3.95606
1011.29 4.12858
1011.38 4.28106
1011.48 4.51631
1011.57 4.90961
1011.66 5.60114
1011.75 6.95369
1011.85 9.69631
1011.92 13.6487
1012.00 16.5214
1012.08 14.2848
1012.16 10.5563
1012.21 8.79343
1012.26 7.55610
1012.35 6.09133
1012.45 5.31737
1012.55 4.86879
1012.65 4.58743
1012.75 4.39948
1012.95 4.17094
1013.15 4.04069
1013.35 3.95904
1013.74 3.86321
1014.14 3.80872
1014.53 3.77307
1015.33 3.72685
1016.91 3.67002
1018.50 3.62688
1020.08 3.58751
1020.88 3.56984
1021.67 3.55740
1022.46 3.56308
1022.86 3.58602
1023.25 3.64529
1023.65 3.79874
1023.85 3.96058
1024.05 4.25372
1024.24 4.83629
1024.34 5.35433
1024.44 6.17097
1024.54 7.53797
1024.64 10.0057
1024.74 14.8735
1024.79 19.1022
1024.84 25.1218
1024.92 39.6841
1025.00 50.7558
1025.08 42.9315
1025.16 29.1768
1025.25 19.2849
1025.34 13.8715
1025.43 10.7987
1025.52 8.93022
1025.61 7.71939
1025.70 6.89186
1025.87 5.86851
1026.05 5.27396
1026.23 4.89900
1026.58 4.46070
1026.94 4.21922
1027.29 4.06963
1028.00 3.89654
1028.72 3.80452
1029.43 3.76856
1029.78 3.78773
1029.96 3.82051
1030.14 3.88634
1030.31 4.02337
1030.49 4.33527
1030.58 4.65044
1030.67 5.20609
1030.76 6.26340
1030.85 8.34578
1030.92 11.4407
1031.00 13.6807
1031.08 11.9041
1031.16 8.97117
1031.25 6.76846
1031.34 5.61849
1031.43 4.98743
1031.52 4.61212
1031.61 4.37226
1031.70 4.20964
1031.88 4.00834
1032.07 3.89141
1032.25 3.81594
1032.61 3.72428
1033.34 3.63176
1034.07 3.57987
1035.52 3.51332
1036.98 3.47077
1037.71 3.46028
1038.43 3.46416
1039.16 3.49755
1039.89 3.59902
1040.25 3.70491
1040.62 3.88482
1040.98 4.20346
1041.34 4.80783
1041.71 6.08511
1041.89 7.29048
1042.07 9.30696
1042.25 12.9744
1042.44 20.4679
1042.53 27.3498
1042.62 38.4813
1042.71 57.3718
1042.75 71.3608
1042.80 89.6224
1042.85 116.137
1042.90 146.539
1043.00 188.097
1043.05 179.849
1043.10 155.780
1043.20 101.902
1043.29 68.0057
1043.39 47.9141
1043.48 35.5417
1043.57 27.7312
1043.76 18.7816
1043.94 14.1138
1044.13 11.3775
1044.31 9.63220
1044.68 7.60542
1045.05 6.49929
1045.42 5.82315
1045.79 5.37485
1046.16 5.06008
1046.90 4.64989
1047.64 4.39804
1048.38 4.22816
1049.12 4.10612
1050.60 3.94114
1052.08 3.83314
1055.03 3.69491
1057.99 3.60415
1060.95 3.53529
1066.86 3.42790
1078.69 3.25768
1090.52 3.10203
1114.18 2.77009
1126.01 2.57467
1131.93 2.46675
1133.41 2.44219
1134.89 2.43037
1135.63 2.44476
1136.00 2.46851
1136.37 2.51935
1136.74 2.63592
1136.92 2.75112
1137.10 2.94948
1137.29 3.32880
1137.38 3.65825
1137.47 4.16059
1137.57 4.99061
1137.66 6.43222
1137.75 9.17152
1137.84 14.6734
1137.92 22.5938
1138.00 28.1784
1138.08 23.4157
