Zr-94(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
19747.1 15.9857
19756.2 15.5362
19765.3 15.0547
19783.6 13.9439
19801.9 12.4755
19811.0 11.4897
19820.1 10.2025
19829.3 8.40468
19833.8 7.20247
19838.4 5.71318
19843.0 3.88177
19845.3 2.87972
19847.5 1.94887
19848.7 1.60087
19849.8 1.44573
19851.0 1.64114
19851.5 1.95342
19852.1 2.47753
19852.7 3.28883
19853.2 4.49073
19853.8 6.22573
19854.4 8.69049
19855.0 12.1555
19855.5 16.9883
19856.1 23.6750
19856.7 32.8225
19857.5 52.1861
19858.3 79.2384
19860.0 140.605
19860.8 154.780
19861.7 152.206
19863.3 123.991
19864.4 105.418
19865.5 90.3873
19867.6 69.7119
19869.8 57.0774
19871.9 48.9090
19874.0 43.2517
19876.2 39.1748
19880.4 33.6987
19884.7 30.2227
19889.0 27.8277
19897.5 24.7418
19906.1 22.8311
19914.6 21.5231
19931.7 19.8296
19965.8 18.0389
20000.0 17.1417
20049.9 16.7249
20074.8 16.9538
20099.7 17.6827
20124.6 19.3917
20137.1 20.9684
20149.6 23.4616
20162.0 27.6020
20174.5 34.9379
20186.9 49.0355
20193.2 60.8587
20199.4 77.7011
20209.7 117.189
20220.0 143.871
20230.3 117.658
20240.6 78.2627
20248.2 58.3573
20255.8 45.3548
20263.3 36.8161
20270.9 31.0467
20286.0 24.1042
20301.2 20.2894
20316.3 17.9726
20331.5 16.4547
20361.7 14.6226
20392.0 13.5678
20422.3 12.8789
20482.9 12.0092
20543.4 11.4537
20604.0 11.0468
20725.1 10.4532
20846.3 10.0136
20967.4 9.65921
21209.7 9.09353
21451.9 8.62132
21694.2 8.14624
21815.3 7.85697
21875.9 7.67884
21936.4 7.46023
21997.0 7.17353
22027.3 6.98939
22057.6 6.76429
22087.9 6.48289
22103.0 6.31647
22118.1 6.13422
22133.3 5.95205
22140.8 5.88034
22148.4 5.85654
22152.2 5.88558
22156.0 5.96996
22159.8 6.15852
22163.6 6.55916
22165.5 6.91687
22167.3 7.46499
22169.2 8.34798
22171.1 9.86926
22173.0 12.7883
22174.0 15.3346
22174.9 19.2727
22175.9 25.9449
22176.8 38.0612
22177.3 48.3682
22177.8 63.2886
22178.2 85.8177
22178.7 119.840
22179.4 188.693
22180.0 232.935
22180.7 185.921
22181.3 117.738
22181.9 78.1796
22182.5 54.3447
22183.0 39.7751
22183.6 30.4788
22184.7 19.9569
22185.9 14.5743
22187.0 11.4301
22188.1 9.46606
22190.4 7.19428
22192.7 5.95882
22194.9 5.18421
22197.2 4.64218
22199.5 4.22776
22204.0 3.58945
22208.6 3.06393
22217.7 2.07719
22226.7 1.04559
22231.3 0.550030
22233.6 0.341153
22235.8 0.191316
22238.1 0.147213
22240.4 0.289056
22241.5 0.471227
22242.6 0.757877
22243.8 1.19011
22244.9 1.80896
22246.0 2.69305
22247.2 3.91969
22248.3 5.64171
22249.4 8.01053
22250.6 11.3253
22251.7 15.8793
22252.9 22.2307
22254.0 30.8587
22255.5 47.0787
22257.0 69.0029
22260.0 114.962
22261.5 123.169
22263.0 118.237
22266.0 92.3862
22269.1 69.3861
22272.1 54.0786
22275.1 44.0649
22278.1 37.2912
22284.2 28.9343
22290.2 24.1378
22296.3 21.0709
22302.4 18.9657
22314.5 16.2773
22326.6 14.6453
22338.7 13.5533
22362.9 12.1871
22387.1 11.3659
22411.3 10.8168
22459.8 10.1249
22508.2 9.70226
22556.6 9.41382
22653.5 9.03824
22847.2 8.62757
23041.0 8.40013
23234.7 8.27301
23331.6 8.25084
23428.4 8.27791
23476.9 8.32512
23525.3 8.41380
23573.7 8.57688
23622.2 8.88958
23646.4 9.15517
23670.6 9.55664
23694.8 10.1981
23719.0 11.3055
23743.3 13.4490
23755.4 15.3538
23767.5 18.4014
23779.6 23.6992
23791.7 33.9839
23797.8 43.0554
23803.8 57.2007
23809.9 80.2239
23815.9 118.208
23823.0 185.011
23830.0 229.759
23837.1 185.225
23844.1 118.586
23851.9 72.5762
23859.8 48.4231
23867.6 35.1614
23875.5 27.3327
23883.3 22.3807
23891.1 19.0801
23906.8 15.1067
23922.5 12.9090
23938.1 11.5732
23969.5 10.1041
24000.8 9.36197
24032.2 8.94339
24094.9 8.55078
24157.5 8.49267
24188.9 8.59643
24220.2 8.86180
24251.6 9.47671
24267.3 10.0715
24282.9 11.0784
24298.6 12.9401
24306.4 14.5072
24314.3 16.8672
24322.1 20.6252
24329.9 26.9908
24337.8 38.5937
24345.6 60.6074
24352.8 93.4379
24360.0 116.121
24367.2 95.1123
24374.4 62.7389
24380.1 45.3171
24385.8 34.2709
24391.5 27.2047
24397.1 22.5313
24408.5 17.0398
24419.9 14.1037
24431.2 12.3632
24442.6 11.2510
24465.3 9.96027
24488.0 9.26401
24510.8 8.84279
24556.2 8.37247
24601.6 8.12234
24647.1 7.96842
24738.0 7.78700
24828.9 7.67961
24919.8 7.60499
25101.6 7.50046
25283.3 7.42389
25465.1 7.36097
25556.0 7.33293
25646.9 7.30792
25692.4 7.29871
25737.8 7.29963
25760.5 7.31523
25771.9 7.33544
25783.3 7.37682
25794.6 7.47223
25800.3 7.57043
25806.0 7.75130
25808.8 7.90354
25811.7 8.13427
25814.5 8.50641
25817.3 9.16014
25820.2 10.4609
25821.6 11.6509
25823.0 13.6154
25824.4 17.1796
25825.1 20.1449
25825.9 24.5849
25826.6 31.5962
25827.3 43.3969
25828.0 64.6791
25828.7 104.608
25829.4 163.933
25830.0 203.166
25830.7 164.446
25831.3 106.452
25831.8 76.7597
25832.3 57.2449
25832.8 44.4064
25833.2 35.7348
25834.2 25.3384
25835.1 19.7281
25836.1 16.3332
25837.1 14.1744
25839.0 11.6528
25840.9 10.2981
25842.8 9.49483
25844.7 8.97682
25846.6 8.62301
25850.4 8.18265
25854.3 7.92975
25858.1 7.76981
25861.9 7.66235
25869.6 7.52991
25877.2 7.45375
25892.5 7.37218
25907.8 7.33002
25923.1 7.30425
25953.7 7.27338
25984.3 7.25419
26014.9 7.23996
26076.0 7.21802
26198.4 7.18381
26320.8 7.15426
26565.5 7.10066
26810.2 7.05096
27299.7 6.95767
27789.1 6.86745
28278.6 6.77364
28768.0 6.66149
29012.8 6.58414
29257.5 6.46228
29379.9 6.35651
29441.1 6.27688
29502.2 6.16205
29563.4 5.97819
29594.0 5.83581
29624.6 5.62840
29655.2 5.29681
29670.5 5.04295
29685.8 4.68028
29693.4 4.43359
29701.1 4.12018
29708.7 3.70982
29716.4 3.15352
29724.0 2.36670
29727.8 1.84966
29731.7 1.23839
29735.5 0.571721
29737.4 0.287843
29739.3 0.161525
29740.3 0.232222
29741.2 0.468206
29742.2 0.982425
29743.1 1.94434
29744.1 3.69029
29745.0 6.73155
29746.0 12.1038
29747.0 21.2697
29747.7 32.9090
29748.5 48.6986
29750.0 82.2806
29750.8 88.7500
29751.5 85.6375
29753.1 67.6077
29754.1 55.3622
29755.2 45.9941
29756.3 39.0689
29757.4 33.9183
29759.6 26.9938
29761.8 22.6975
29763.9 19.8060
29766.1 17.7654
29770.5 15.0852
29774.8 13.4238
29779.2 12.3004
29787.9 10.8860
29796.6 10.0358
29805.3 9.46986
29814.0 9.06662
29822.7 8.76491
29840.1 8.34379
29857.5 8.06394
29892.3 7.71506
29927.1 7.50603
29961.9 7.36678
30031.5 7.19277
