U-235(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
33.6280 122.630
33.6500 98.8360
33.6985 61.2183
33.7375 46.6784
33.7765 39.2361
33.8546 32.5556
33.9326 30.8163
34.0107 32.2793
34.0887 37.8023
34.1277 43.3421
34.1667 52.6624
34.2058 69.8332
34.2253 84.4033
34.2448 106.780
34.2643 143.570
34.2838 209.513
34.2936 263.141
34.3033 340.453
34.3131 454.142
34.3228 620.656
34.3304 793.399
34.3380 990.728
34.3531 1235.76
34.3607 1168.20
34.3683 1006.64
34.3835 666.081
34.3870 604.402
34.3961 475.804
34.4053 384.956
34.4235 274.293
34.4418 215.444
34.4600 182.167
34.4965 149.952
34.5330 135.183
34.6065 117.750
34.6800 122.672
34.7289 148.467
34.7778 202.020
34.8251 287.192
34.8724 359.886
34.8961 350.385
34.9197 307.051
34.9670 213.801
34.9870 196.222
35.0176 202.241
35.0482 253.417
35.0788 366.876
35.0941 457.444
35.1094 578.219
35.1110 592.788
35.1148 628.794
35.1186 666.863
35.1262 748.591
35.1413 925.962
35.1716 1170.72
35.2027 1035.86
35.2338 760.383
35.2360 742.690
35.2419 697.156
35.2478 654.789
35.2597 579.155
35.2833 459.933
35.3306 310.185
35.3779 225.987
35.4252 174.682
35.4547 152.236
35.4842 134.083
35.5814 95.9360
35.6786 74.7060
35.7758 61.4774
35.8730 52.4829
36.0620 39.7785
36.1560 34.7354
36.2500 31.6534
36.4603 27.8439
36.6705 25.1932
36.8808 23.0329
37.0910 20.9970
37.1705 20.4992
37.2500 21.0054
37.4090 23.2005
37.6015 23.4204
37.7940 24.2207
37.9865 27.4280
38.0828 31.3411
38.1790 38.7939
38.2565 47.9901
38.3340 53.2088
38.4115 44.2991
38.4890 32.3445
38.5655 25.5011
38.6421 22.2534
38.7186 20.9197
38.7951 20.7269
38.8716 21.4604
38.9482 23.3161
39.0247 27.2366
39.0629 31.2331
39.0821 34.8911
39.1012 41.8691
39.1149 51.0076
39.1285 61.2253
39.1557 59.7759
39.1798 59.2012
39.2039 65.2415
39.2280 76.6305
39.2521 94.6229
39.2761 122.879
39.3002 168.865
39.3243 247.620
39.3484 387.822
39.3610 498.636
39.3736 636.037
39.3988 877.880
39.4114 876.568
39.4240 777.848
39.4492 503.670
39.4699 340.369
39.4907 238.924
39.5114 176.081
39.5321 135.812
39.5736 90.3168
39.6150 67.3922
39.6565 55.0158
39.6979 48.6036
39.7394 46.5146
39.7808 48.6880
39.8849 72.2538
39.9110 73.5332
39.9370 68.7024
39.9891 51.9144
40.0340 40.5185
40.0790 33.2890
40.1239 28.8007
40.1689 26.0546
40.2138 24.6000
40.2587 24.4345
40.3037 26.0800
40.3486 30.9503
40.3752 36.4257
40.4017 44.6706
40.4548 67.4360
40.4814 75.3743
40.5079 76.2935
40.5610 64.6370
40.5985 55.3649
40.6360 48.2577
40.7110 39.5334
40.7860 35.1424
40.8610 33.1202
41.0110 33.9279
41.0860 37.1760
41.1610 43.6135
41.3000 61.8560
41.3980 59.9337
41.4390 62.4719
41.5350 81.1028
41.5693 81.6893
41.6035 75.4469
41.6720 57.6535
