Bi-209(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
25206.0 12.8344
25216.5 14.0922
25227.0 16.5840
25232.3 18.8212
25237.6 22.3642
25242.8 28.2586
25248.1 38.2018
25254.1 55.5210
25260.0 67.5663
25266.0 56.5739
25271.9 39.5341
25278.8 27.3440
25285.6 21.0410
25292.5 17.6140
25299.3 15.5984
25306.2 14.3271
25313.1 13.4780
25326.8 12.4531
25340.5 11.8811
25354.2 11.5289
25381.6 11.1332
25409.1 10.9244
25436.5 10.7986
25464.0 10.7152
25491.4 10.6558
25546.3 10.5757
25601.1 10.5220
25656.0 10.4812
25710.9 10.4473
25820.6 10.3893
25930.3 10.3355
26149.8 10.2198
26369.3 10.0648
26479.0 9.95504
26588.8 9.80290
26643.6 9.70027
26698.5 9.56912
26753.4 9.39414
26808.2 9.14686
26835.7 8.97971
26863.1 8.76793
26890.5 8.49062
26918.0 8.11302
26945.4 7.57353
26959.1 7.21275
26972.8 6.77227
26986.6 6.25400
26993.4 5.98954
27000.3 5.77314
27007.1 5.72242
27014.0 6.15476
27020.9 7.96551
27024.3 10.0692
27027.7 13.6938
27030.8 18.9294
27033.9 26.4419
27040.0 43.9589
27046.2 47.9988
27052.3 40.5950
27059.0 32.5390
27065.7 27.0999
27072.4 23.5307
27079.1 21.1093
27085.8 19.3874
27092.5 18.1172
27105.9 16.3830
27119.4 15.2667
27132.8 14.4930
27159.6 13.4961
27186.4 12.8838
27213.2 12.4701
27240.0 12.1719
27266.9 11.9465
27320.5 11.6276
27374.1 11.4117
27427.8 11.2549
27481.4 11.1350
27588.7 10.9614
27696.0 10.8393
27910.5 10.6716
28125.1 10.5536
28339.7 10.4589
28446.9 10.4162
28554.2 10.3749
28661.5 10.3340
28715.1 10.3165
28728.6 10.3171
28742.0 10.3324
28748.7 10.3616
28755.4 10.4525
28758.7 10.5785
28760.4 10.7000
28762.1 10.9077
28763.8 11.3073
28764.6 11.6566
28765.4 12.1962
28766.3 13.1098
28767.1 14.7822
28767.5 16.1650
28767.9 18.1904
28768.4 21.2240
28768.8 25.6339
28769.4 35.3219
28770.0 41.9578
28770.6 35.8713
28771.2 26.5265
28771.7 21.5579
28772.2 18.3995
28772.6 16.2951
28773.1 14.9133
28774.0 13.2438
28775.0 12.3382
28775.9 11.7969
28776.8 11.4486
28778.7 11.0441
28780.5 10.8243
28782.4 10.6917
28786.1 10.5456
28793.5 10.4246
28801.0 10.3745
28815.8 10.3306
28830.7 10.3095
28860.4 10.2852
28890.1 10.2683
28949.6 10.2417
28964.4 10.2394
28979.3 10.2507
28986.7 10.2775
28994.1 10.3680
28997.9 10.5005
28999.7 10.6322
29001.6 10.8646
29003.4 11.3308
29004.4 11.7560
29005.3 12.4517
29006.2 13.6924
29007.1 16.1841
29007.6 18.4804
29008.1 22.0946
29008.5 28.1666
29009.0 38.5718
29009.5 56.4336
29010.0 68.5727
29010.5 57.3500
29011.0 40.1806
29011.4 31.7162
29011.7 26.0043
29012.1 22.1565
29012.4 19.5696
29013.1 16.3268
29013.8 14.5112
29014.5 13.4033
29015.2 12.6803
29016.5 11.8267
29017.9 11.3606
29019.3 11.0777
29022.1 10.7645
29024.8 10.6020
29027.6 10.5065
29033.1 10.4022
29044.2 10.3155
29055.2 10.2783
29077.3 10.2438
29099.4 10.2275
29121.5 10.2225
29143.6 10.2430
29154.6 10.2872
29160.2 10.3354
29165.7 10.4257
29171.2 10.6166
29174.0 10.7981
29176.7 11.1072
29179.5 11.6891
29180.9 12.1890
29182.2 12.9594
29183.6 14.2215
29185.0 16.4542
29186.4 20.7738
29187.1 24.4313
29187.8 29.6884
29188.9 41.9051
29190.0 50.4604
29191.1 42.8467
29192.2 30.8657
29193.5 22.4816
29194.7 18.0431
29196.0 15.5523
29197.2 14.0760
29198.4 13.1264
29199.7 12.4922
29202.1 11.7164
29204.6 11.2804
29207.1 11.0109
29212.0 10.7073
29216.9 10.5478
29221.9 10.4525
29231.8 10.3473
29241.6 10.2916
29251.5 10.2573
29271.3 10.2165
29310.8 10.1739
29350.3 10.1470
29429.3 10.1074
29449.1 10.1028
29468.8 10.1141
29478.7 10.1447
29483.7 10.1804
29488.6 10.2502
29493.5 10.4040
29496.0 10.5555
29498.5 10.8214
29501.0 11.3415
29502.2 11.8071
29503.4 12.5438
29504.7 13.8191
29505.9 16.2113
29506.5 18.2689
29507.1 21.3175
29507.7 26.1240
29508.4 33.4885
29509.2 48.3778
29510.0 58.7520
29510.8 49.6069
29511.7 35.2611
29512.4 26.1427
29513.2 20.8993
29514.0 17.7368
29514.8 15.7797
29516.4 13.5779
29517.9 12.4594
29519.5 11.8098
29521.1 11.4038
29524.2 10.9374
29527.3 10.6884
29530.5 10.5395
29536.7 10.3749
29543.0 10.2887
29549.2 10.2368
29561.8 10.1778
29586.8 10.1233
29611.9 10.0951
29662.0 10.0604
29712.1 10.0349
29812.3 9.99158
29912.6 9.95121
30313.5 9.78603
30714.4 9.59384
31115.3 9.35324
31516.2 9.03167
31917.2 8.56691
32117.6 8.24343
32318.1 7.82177
32518.5 7.25183
32618.8 6.88690
32668.9 6.68067
32681.4 6.63083
32693.9 6.59598
32700.2 6.60332
32706.5 6.68608
32709.6 6.82935
32711.2 6.97697
32712.7 7.23905
32714.3 7.76235
32715.1 8.22951
32715.9 8.97820
32716.7 10.2926
32717.4 12.7780
32717.8 14.9194
32718.2 18.1811
32718.6 23.3125
32719.0 31.5726
32719.5 47.4157
32720.0 58.4151
32720.5 48.7911
32721.0 33.2945
32721.4 25.8070
32721.7 20.6655
32722.1 17.2032
32722.4 14.8193
32723.1 11.8986
32723.8 10.2893
32724.5 9.29221
32725.2 8.64236
32726.6 7.87811
32728.0 7.45472
32729.4 7.19690
32732.2 6.90384
32735.0 6.74551
32737.7 6.64646
32743.3 6.52613
32754.5 6.39455
32765.6 6.30658
32810.3 6.02103
32854.9 5.67197
32866.1 5.53071
32877.2 5.30353
32882.8 5.10633
32885.6 4.95962
32888.4 4.75171
32891.2 4.42911
32893.9 3.85241
32895.3 3.34888
32896.7 2.53536
32898.1 1.14886
32898.8 0.633307
32899.2 1.63179
32899.3 3.35856
32899.5 7.23071
32899.6 12.0432
32899.8 18.9464
32900.0 35.5441
32900.1 40.0941
32900.2 40.3418
32900.5 34.0683
32900.8 26.4745
32901.0 21.4421
32901.3 18.1312
32901.6 15.8743
32902.1 13.0760
32902.7 11.4460
32903.2 10.3924
32903.7 9.65975
32904.8 8.71228
32905.9 8.12813
32907.0 7.73246
32909.1 7.23042
32911.3 6.92424
32913.5 6.71703
32917.8 6.45217
32922.1 6.28761
32926.4 6.17363
32935.1 6.02261
32969.6 5.76453
33038.7 5.83155
33107.9 6.97636
33142.4 8.43378
33177.0 11.0043
33210.3 15.0736
33243.5 21.1366
33310.0 36.1114
33376.5 40.9188
33443.0 35.7886
33519.6 29.1999
33596.1 24.6664
33672.7 21.6864
33749.3 19.6574
33825.9 18.2129
33902.4 17.1424
34055.6 15.6748
34208.7 14.7226
34361.8 14.0567
34438.4 13.7934
34515.0 13.5639
34553.3 13.4599
34591.6 13.3638
34610.7 13.3214
34629.8 13.2929
34639.4 13.2981
34649.0 13.3590
34653.8 13.4624
34656.2 13.5663
34658.5 13.7483
34660.9 14.1006
34662.1 14.4084
34663.3 14.8834
