41-Nb_n-g
>  41-Nb-93:1.000000
3.929390e+02 3.50127000e+00
3.929980e+02 2.62088000e+00
3.930580e+02 2.03914000e+00
3.931770e+02 1.34663000e+00
3.932960e+02 9.66937000e-01
3.934150e+02 7.37372000e-01
3.936530e+02 4.85349000e-01
3.938910e+02 3.57135000e-01
3.941280e+02 2.82800000e-01
3.946040e+02 2.03596000e-01
3.950800e+02 1.63646000e-01
3.955560e+02 1.40095000e-01
3.965070e+02 1.13719000e-01
3.984100e+02 8.95465000e-02
4.003130e+02 7.73926000e-02
4.041200e+02 6.42470000e-02
4.079260e+02 5.70091000e-02
4.155380e+02 4.93551000e-02
4.231510e+02 4.56366000e-02
4.307630e+02 4.37803000e-02
4.383750e+02 4.32665000e-02
4.459880e+02 4.49792000e-02
4.497940e+02 4.85202000e-02
4.516970e+02 5.24875000e-02
4.536000e+02 6.04296000e-02
4.544270e+02 6.65500000e-02
4.552540e+02 7.59409000e-02
4.560810e+02 9.14030000e-02
4.569080e+02 1.19520000e-01
4.573210e+02 1.43128000e-01
4.577350e+02 1.79038000e-01
4.581480e+02 2.37544000e-01
4.585620e+02 3.42448000e-01
4.587690e+02 4.29379000e-01
4.589750e+02 5.59823000e-01
4.591820e+02 7.68562000e-01
4.593890e+02 1.13329000e+00
4.595950e+02 1.85861000e+00
4.596990e+02 2.52465000e+00
4.598020e+02 3.63045000e+00
4.599060e+02 5.66533000e+00
4.599570e+02 7.38512000e+00
4.600090e+02 9.99807000e+00
4.600610e+02 1.42328000e+01
4.601120e+02 2.16234000e+01
4.601640e+02 3.57000000e+01
4.601900e+02 4.74351000e+01
4.602160e+02 6.41028000e+01
4.602370e+02 8.20937000e+01
4.602580e+02 1.02545000e+02
4.603000e+02 1.28071000e+02
4.603420e+02 1.02438000e+02
4.603850e+02 6.40149000e+01
4.604240e+02 4.07602000e+01
4.604630e+02 2.71818000e+01
4.605020e+02 1.90917000e+01
4.605410e+02 1.40375000e+01
4.606200e+02 8.41189000e+00
4.606980e+02 5.56893000e+00
4.607760e+02 3.94916000e+00
4.608550e+02 2.94622000e+00
4.610110e+02 1.82268000e+00
4.611680e+02 1.24223000e+00
4.613250e+02 9.04813000e-01
4.614810e+02 6.91450000e-01
4.616380e+02 5.48249000e-01
4.619510e+02 3.73854000e-01
4.622640e+02 2.75819000e-01
4.625780e+02 2.15309000e-01
4.628910e+02 1.75373000e-01
4.635180e+02 1.27580000e-01
4.641440e+02 1.01176000e-01
4.647710e+02 8.50703000e-02
4.653970e+02 7.45319000e-02
4.666500e+02 6.20358000e-02
4.679040e+02 5.51993000e-02
4.704100e+02 4.83830000e-02
4.729160e+02 4.52666000e-02
4.754220e+02 4.36539000e-02
4.804350e+02 4.24271000e-02
4.854480e+02 4.28620000e-02
4.879540e+02 4.39045000e-02
4.904600e+02 4.61131000e-02
4.929670e+02 5.11409000e-02
4.942200e+02 5.62490000e-02
4.954730e+02 6.56155000e-02
4.960990e+02 7.35162000e-02
4.967260e+02 8.55703000e-02
4.973530e+02 1.05272000e-01
4.979790e+02 1.40734000e-01
4.982920e+02 1.70210000e-01
4.986060e+02 2.14596000e-01
4.989190e+02 2.85921000e-01
4.992320e+02 4.11280000e-01
4.993890e+02 5.13045000e-01
4.995460e+02 6.62676000e-01
4.997020e+02 8.95790000e-01
4.998590e+02 1.28704000e+00
5.000160e+02 2.01833000e+00
5.000940e+02 2.64621000e+00
5.001720e+02 3.61850000e+00
5.002510e+02 5.22929000e+00
5.003290e+02 8.13992000e+00
5.003680e+02 1.05267000e+01
5.004070e+02 1.39880000e+01
5.004460e+02 1.91442000e+01
5.004850e+02 2.67744000e+01
5.005430e+02 4.28134000e+01
5.006000e+02 5.35060000e+01
5.006570e+02 4.27880000e+01
5.007150e+02 2.67568000e+01
5.007700e+02 1.68192000e+01
5.008240e+02 1.11124000e+01
5.008790e+02 7.75720000e+00
5.009340e+02 5.68009000e+00
