29-Cu_n-g
>  29-Cu-63:0.691500
>  29-Cu-65:0.308500
2.446880e+03 6.97048724e-02
2.455000e+03 8.09687425e-02
2.457990e+03 8.66652200e-02
2.463130e+03 9.68754258e-02
2.471250e+03 1.19703863e-01
2.479380e+03 1.53723948e-01
2.483440e+03 1.77443923e-01
2.487500e+03 2.07930537e-01
2.491560e+03 2.48048829e-01
2.494200e+03 2.83208767e-01
2.495630e+03 3.02511117e-01
2.499690e+03 3.78860490e-01
2.503750e+03 4.89020230e-01
2.507810e+03 6.55200484e-01
2.511880e+03 9.18397653e-01
2.515940e+03 1.35556739e+00
2.520000e+03 2.09255903e+00
2.524500e+03 3.31522417e+00
2.529000e+03 4.05703037e+00
2.530420e+03 3.78230773e+00
2.533500e+03 3.18741539e+00
2.538000e+03 1.99515321e+00
2.542720e+03 1.21992941e+00
2.547440e+03 8.00134640e-01
2.548530e+03 7.45532568e-01
2.552150e+03 5.66053737e-01
2.556870e+03 4.27321562e-01
2.561590e+03 3.40307252e-01
2.566300e+03 2.83367224e-01
2.566640e+03 2.81025997e-01
2.575690e+03 2.25640905e-01
2.575740e+03 2.25383399e-01
2.584750e+03 2.10843880e-01
2.585170e+03 2.10907966e-01
2.593800e+03 2.27245959e-01
2.594610e+03 2.31657855e-01
2.602850e+03 2.86608557e-01
2.607380e+03 3.40152319e-01
2.611910e+03 4.22589026e-01
2.613480e+03 4.68705236e-01
2.616440e+03 5.57843754e-01
2.620960e+03 7.91512418e-01
2.623230e+03 9.75428711e-01
2.625490e+03 1.23740924e+00
2.627750e+03 1.62780823e+00
2.630020e+03 2.24296467e+00
2.632280e+03 3.28798597e+00
2.632340e+03 3.33121778e+00
2.633410e+03 4.10253494e+00
2.634540e+03 5.24674158e+00
2.635680e+03 6.91200977e+00
2.636810e+03 9.42232999e+00
2.637940e+03 1.33274887e+01
2.639070e+03 1.94344525e+01
2.640540e+03 3.11352927e+01
2.642000e+03 3.92446938e+01
2.643470e+03 3.16721843e+01
2.644930e+03 1.98440500e+01
2.646240e+03 1.28203169e+01
2.647550e+03 8.64238291e+00
2.648860e+03 6.11685039e+00
2.650170e+03 4.51954599e+00
2.651210e+03 3.80829545e+00
2.652790e+03 2.72800333e+00
2.655410e+03 1.81562616e+00
2.658030e+03 1.29335872e+00
2.660650e+03 9.68341649e-01
2.665890e+03 6.02608746e-01
2.670080e+03 4.50637083e-01
2.671130e+03 4.12650843e-01
2.676380e+03 3.01801295e-01
2.681620e+03 2.31317158e-01
2.686860e+03 1.83626935e-01
2.688950e+03 1.71881550e-01
2.697340e+03 1.25349920e-01
2.707820e+03 9.21140634e-02
2.718300e+03 7.11116027e-02
2.726690e+03 5.96696489e-02
2.728780e+03 5.69237299e-02
2.749750e+03 3.98624829e-02
