Ca-43(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
3.70000E+06 0.000929964
3.75000E+06 0.000915781
3.80000E+06 0.000901998
3.85000E+06 0.000895117
3.90000E+06 0.000888376
3.95000E+06 0.000881770
4.00000E+06 0.000875296
4.05000E+06 0.000869345
4.10000E+06 0.000863507
4.15000E+06 0.000857779
4.20000E+06 0.000852156
4.25000E+06 0.000841781
4.30000E+06 0.000831651
4.35000E+06 0.000821757
4.40000E+06 0.000812093
4.50000E+06 0.000821442
4.60000E+06 0.000830689
4.62918E+06 0.000825609
4.71459E+06 0.000811094
4.80000E+06 0.000797089
4.90000E+06 0.000791386
5.00000E+06 0.000785837
5.10000E+06 0.000795859
5.20000E+06 0.000805811
5.30000E+06 0.000793367
5.40000E+06 0.000781343
5.50000E+06 0.000808197
5.60000E+06 0.000835464
5.80000E+06 0.000812482
6.00000E+06 0.000799210
6.20000E+06 0.000865752
6.40000E+06 0.000852609
6.60000E+06 0.000926917
6.80000E+06 0.000926075
7.00000E+06 0.000926039
7.20000E+06 0.00102155
7.40000E+06 0.00102084
7.60000E+06 0.00106309
7.76977E+06 0.00110934
7.80000E+06 0.00111767
8.00000E+06 0.00111741
8.11926E+06 0.00114458
8.11927E+06 0.00114458
8.50000E+06 0.00123298
8.64996E+06 0.00126606
8.64996E+06 0.00126606
8.75930E+06 0.00129037
8.91428E+06 0.00132509
9.00000E+06 0.00134443
9.30368E+06 0.00140641
9.30369E+06 0.00140641
9.34791E+06 0.00141550
9.36545E+06 0.00141911
9.50000E+06 0.00144687
9.95645E+06 0.00153685
1.00000E+07 0.00154550
1.04910E+07 0.00163056
1.05000E+07 0.00163212
1.07394E+07 0.00166071
1.09268E+07 0.00168298
1.09600E+07 0.00168692
1.10000E+07 0.00169166
1.12804E+07 0.00173016
1.15000E+07 0.00176024
1.15530E+07 0.00176315
1.15756E+07 0.00176439
1.15870E+07 0.00176502
