Co-59(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
26451.0 0.00452210
26608.7 0.00462220
26766.3 0.00551227
26923.9 0.00794255
27002.7 0.0105119
27081.5 0.0152596
27120.9 0.0192600
27160.3 0.0253897
27199.7 0.0364312
27209.6 0.0415958
27219.4 0.0510663
27224.3 0.0611349
27229.3 0.0849804
27231.7 0.114140
27233.0 0.140667
27234.2 0.184864
27235.4 0.266950
27236.0 0.337964
27236.6 0.445993
27237.3 0.627841
27237.9 0.950819
27238.2 1.21931
27238.5 1.61088
27238.8 2.19463
27239.1 3.02961
27239.6 4.81954
27240.0 6.01627
27240.5 4.82602
27240.9 3.03521
27241.3 2.06670
27241.6 1.47096
27242.0 1.08907
27242.3 0.836295
27243.0 0.536648
27243.7 0.380080
27244.4 0.286916
27245.1 0.228868
27246.5 0.162254
27248.0 0.127552
27249.4 0.107428
27252.2 0.0866584
27257.8 0.0726036
27263.5 0.0696013
27286.0 0.0793772
27377.0 0.154893
27422.5 0.126865
27468.0 0.0805783
27522.4 0.0460021
27576.9 0.0285672
27631.3 0.0193171
27685.7 0.0139885
27740.1 0.0106848
27794.6 0.00851294
27903.4 0.00594509
28012.3 0.00455981
28121.1 0.00374399
28338.8 0.00292317
28556.5 0.00263787
28774.2 0.00268206
28991.9 0.00310132
29100.8 0.00362082
29155.2 0.00428823
29182.4 0.00579907
29196.0 0.0109129
29202.8 0.0295592
29206.2 0.0941323
29207.0 0.152038
29207.9 0.289884
29208.3 0.445598
29208.7 0.756278
29209.2 1.54663
29209.4 2.39983
29209.6 3.98012
29209.8 6.40725
29210.0 7.95546
29210.2 6.41439
29210.4 3.98575
29210.6 2.29792
29210.9 1.43460
29211.3 0.686420
29211.8 0.391794
29212.3 0.254581
29213.2 0.131961
29214.1 0.0813696
29217.8 0.0259010
29225.3 0.0102014
29240.1 0.00619495
29269.8 0.00563686
29299.5 0.00621344
29329.2 0.00742315
29358.9 0.00986081
29373.7 0.0121353
29388.6 0.0160396
29403.4 0.0237115
29410.9 0.0307262
29418.3 0.0423536
29425.7 0.0637774
29429.4 0.0818950
29433.1 0.109546
29436.8 0.154434
29438.7 0.188014
29440.5 0.233125
29442.4 0.295806
29444.3 0.383832
29446.1 0.510589
29448.0 0.689697
29449.5 0.880378
29451.0 1.09445
29454.0 1.33822
29455.5 1.24457
29457.0 1.04980
29460.0 0.654830
29462.0 0.478945
29463.9 0.357721
29467.8 0.215966
29471.7 0.142766
29475.5 0.101430
29479.4 0.0760242
29483.3 0.0594858
29491.0 0.0400387
29498.8 0.0295413
29506.5 0.0232899
29522.0 0.0166134
29537.5 0.0133913
29553.0 0.0116759
29584.0 0.0102096
29646.0 0.0101681
29708.0 0.0117077
29769.9 0.0144731
29831.9 0.0188571
29893.9 0.0257892
29924.9 0.0307100
29940.4 0.0337817
29948.1 0.0360383
29952.0 0.0394740
29954.0 0.0496808
29954.9 0.0841095
29955.4 0.186566
29955.6 0.426372
29955.9 1.98371
29956.0 3.92845
29956.1 1.98435
29956.3 0.492014
29956.5 0.226985
29956.9 0.100856
29957.7 0.0556613
29959.4 0.0425427
29962.6 0.0396111
29969.1 0.0401839
29982.0 0.0432154
30021.3 0.0547242
30060.5 0.0678566
30139.0 0.0838567
