78-Pt_n-tot
> 78-Pt-192:0.007821
> 78-Pt-194:0.328626
> 78-Pt-195:0.337827
> 78-Pt-196:0.252120
> 78-Pt-198:0.073606
1.370510e+01 1.71687129e+01
1.395420e+01 1.57551503e+01
1.440410e+01 1.41455872e+01
1.442250e+01 1.41061846e+01
1.445870e+01 1.40286874e+01
1.446220e+01 1.40211938e+01
1.456890e+01 1.37927546e+01
1.467910e+01 1.35568220e+01
1.485400e+01 1.31823900e+01
1.489940e+01 1.31300092e+01
1.500000e+01 1.30139696e+01
1.534020e+01 1.26216776e+01
1.575370e+01 1.21452285e+01
1.621810e+01 1.18767745e+01
1.622160e+01 1.18747531e+01
1.631530e+01 1.18208217e+01
1.655710e+01 1.17613416e+01
1.666240e+01 1.17354462e+01
1.687690e+01 1.16833714e+01
1.710310e+01 1.17275090e+01
1.743840e+01 1.17956386e+01
1.754390e+01 1.18792650e+01
1.771920e+01 1.20207986e+01
1.776420e+01 1.20919149e+01
1.798460e+01 1.24455439e+01
1.800000e+01 1.24711411e+01
1.811410e+01 1.27936517e+01
1.819330e+01 1.30175383e+01
1.819970e+01 1.30466833e+01
1.830720e+01 1.35470880e+01
1.838660e+01 1.39289154e+01
1.841480e+01 1.41549492e+01
1.852240e+01 1.50549197e+01
1.857610e+01 1.55348482e+01
1.857990e+01 1.55718510e+01
1.862990e+01 1.63913576e+01
1.868370e+01 1.73602794e+01
1.871060e+01 1.79075686e+01
1.873750e+01 1.85308721e+01
1.876430e+01 1.92814779e+01
1.877320e+01 1.96062924e+01
1.879120e+01 2.04415020e+01
1.881810e+01 2.21187092e+01
1.884500e+01 2.45789261e+01
1.886990e+01 2.77822029e+01
1.887250e+01 2.81493731e+01
1.890000e+01 3.10798892e+01
1.892750e+01 3.01833725e+01
1.895500e+01 2.83254963e+01
1.896650e+01 2.80160605e+01
1.898770e+01 2.79205771e+01
1.902030e+01 2.87996859e+01
1.905300e+01 3.01753895e+01
1.905710e+01 3.03773167e+01
1.906320e+01 3.06777496e+01
1.908560e+01 3.27742190e+01
1.911830e+01 3.59579113e+01
1.915090e+01 3.91998024e+01
1.915980e+01 4.00996302e+01
1.920810e+01 4.80061968e+01
1.921630e+01 4.99569808e+01
1.925650e+01 5.95646042e+01
1.928060e+01 6.74037711e+01
1.928160e+01 6.78089162e+01
1.930480e+01 7.72204551e+01
1.932890e+01 8.97035381e+01
1.934690e+01 1.01735619e+02
1.935310e+01 1.05882254e+02
1.937730e+01 1.27331865e+02
1.940140e+01 1.56481274e+02
1.942560e+01 1.97338372e+02
1.944980e+01 2.56716499e+02
1.947390e+01 3.46798755e+02
1.947750e+01 3.68106879e+02
1.949810e+01 4.90041160e+02
1.952220e+01 7.28767798e+02
1.952850e+01 8.34226750e+02
1.954640e+01 1.13386412e+03
1.957320e+01 1.82286968e+03
1.960000e+01 2.29475720e+03
1.960810e+01 2.16126910e+03
1.962680e+01 1.85309463e+03
1.965360e+01 1.17176820e+03
1.967530e+01 7.97540738e+02
1.969690e+01 5.62048718e+02
1.971860e+01 4.12770142e+02
1.973880e+01 3.21140822e+02
1.974020e+01 3.14790360e+02
1.978350e+01 2.00629940e+02
1.982680e+01 1.40163748e+02
1.987010e+01 1.04620406e+02
1.991340e+01 8.20405014e+01
1.995260e+01 7.02916562e+01
2.000000e+01 5.60851720e+01
2.011320e+01 3.93399634e+01
2.014210e+01 3.71045338e+01
2.022650e+01 3.05761513e+01
2.028420e+01 2.79373631e+01
2.029630e+01 2.73839951e+01
2.033970e+01 2.53998225e+01
2.039280e+01 2.38419645e+01
2.045300e+01 2.20763170e+01
2.056840e+01 2.00913927e+01
2.058920e+01 1.97336283e+01
2.059260e+01 1.96751972e+01
2.067940e+01 1.81842205e+01
2.078560e+01 1.71872247e+01
2.088380e+01 1.62675482e+01
2.090590e+01 1.60612288e+01
2.098190e+01 1.56523055e+01
2.108010e+01 1.51293107e+01
2.113680e+01 1.48337592e+01
2.117830e+01 1.46174420e+01
2.118520e+01 1.45826360e+01
2.119860e+01 1.45150998e+01
2.122740e+01 1.44323860e+01
2.127650e+01 1.43017561e+01
2.132560e+01 1.41896236e+01
2.137470e+01 1.41136818e+01
2.142380e+01 1.41187077e+01
2.144840e+01 1.41864386e+01
2.147290e+01 1.43445592e+01
2.149130e+01 1.45951435e+01
2.149750e+01 1.46885232e+01
2.150970e+01 1.49980317e+01
2.152200e+01 1.54520684e+01
2.152820e+01 1.57596680e+01
2.153430e+01 1.61423661e+01
2.154040e+01 1.66229471e+01
2.154660e+01 1.72311795e+01
2.155270e+01 1.80110637e+01
2.155880e+01 1.90140703e+01
2.156500e+01 2.03095870e+01
2.157110e+01 2.19612755e+01
2.157830e+01 2.44097546e+01
2.158560e+01 2.72216298e+01
2.160000e+01 3.08090242e+01
2.160720e+01 2.98233101e+01
2.161450e+01 2.73768313e+01
2.162890e+01 2.21149532e+01
2.164050e+01 1.92364046e+01
2.165210e+01 1.74133669e+01
2.166370e+01 1.62478716e+01
2.167530e+01 1.54750579e+01
2.169850e+01 1.45547910e+01
2.172170e+01 1.40469761e+01
2.174490e+01 1.37305913e+01
2.176810e+01 1.35140572e+01
2.177770e+01 1.34550345e+01
2.181450e+01 1.32288419e+01
2.186080e+01 1.30374203e+01
2.190720e+01 1.28887784e+01
2.195360e+01 1.27625762e+01
2.200000e+01 1.26492421e+01
2.207670e+01 1.24790765e+01
2.209120e+01 1.24592144e+01
2.218230e+01 1.23485764e+01
2.227350e+01 1.22450290e+01
2.227360e+01 1.22449199e+01
2.236460e+01 1.21456463e+01
2.237030e+01 1.21396312e+01
2.254690e+01 1.19534449e+01
2.266200e+01 1.18349113e+01
2.268810e+01 1.18177687e+01
2.272920e+01 1.17907686e+01
2.309380e+01 1.15569398e+01
2.324740e+01 1.14597905e+01
2.345830e+01 1.13788373e+01
2.365270e+01 1.13051286e+01
2.418750e+01 1.11026481e+01
2.441810e+01 1.10158747e+01
2.454710e+01 1.09865992e+01
2.491670e+01 1.09028521e+01
2.493520e+01 1.08986802e+01
2.558890e+01 1.07514271e+01
2.637500e+01 1.06375979e+01
2.750000e+01 1.04752318e+01
2.782550e+01 1.04430624e+01
2.783330e+01 1.04422921e+01
2.841710e+01 1.03847084e+01
2.867370e+01 1.03593807e+01
2.941040e+01 1.02866865e+01
2.952190e+01 1.02781284e+01
2.982230e+01 1.02550757e+01
3.019960e+01 1.02261219e+01
3.121820e+01 1.01483390e+01
3.122740e+01 1.01476369e+01
3.132070e+01 1.01405091e+01
3.170860e+01 1.01170123e+01
3.403770e+01 9.97547315e+00
3.461100e+01 9.94054301e+00
3.500000e+01 9.91684356e+00
3.559280e+01 9.88670495e+00
3.600640e+01 9.86555802e+00
3.701280e+01 9.81412705e+00
3.783970e+01 9.77187960e+00
